day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456975	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456975	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	2	[]	0	0
2	123456975	237	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	3	[]	0	0
3	123456975	215	5	0	0	19	0	1	0	0	0	0	0	0	0	0	0	240	2	0	1	0	0	0	0	0	50	6	[1A]	1	1
4	123456975	210	7	3	0	19	0	1	0	0	0	0	0	0	0	0	0	240	3	0	1	0	0	0	0	0	50	9	[1A]	1	4
5	123456975	203	13	4	0	19	0	1	0	0	0	0	0	0	0	0	0	240	3	0	1	0	0	0	0	0	50	10	[1A]	1	4
6	123456975	201	14	4	1	19	0	1	0	0	0	0	0	0	0	0	0	240	5	0	1	0	0	0	0	0	50	12	[1A]	1	4
7	123456975	196	15	8	1	19	0	1	0	0	0	0	0	0	0	0	0	240	5	0	1	0	0	0	0	0	50	17	[1A]	1	5
8	123456975	184	22	11	3	19	0	1	0	0	0	0	0	0	0	0	0	240	5	0	1	0	0	0	0	0	50	20	[1A]	1	7
9	123456975	173	29	14	4	19	0	0	1	0	0	0	0	0	0	0	0	240	5	0	1	0	0	0	0	0	50	24	[1A]	1	7
10	123456975	37	3	0	0	155	17	21	7	0	0	0	0	0	0	0	0	460	6	0	22	0	0	0	0	0	50	24	[1A 1B 1D 2A 2B 2C 2D 3A 3C 3D]	10	9
11	123456975	36	3	1	0	155	11	25	9	0	0	0	0	0	0	0	0	460	6	0	22	0	0	0	0	0	50	24	[1A 1B 1D 2A 2B 2C 2D 3A 3C 3D]	10	10
12	123456975	35	3	1	1	155	6	25	14	0	0	0	0	0	0	0	0	460	6	0	22	0	0	0	0	0	50	24	[1A 1B 1D 2A 2B 2C 2D 3A 3C 3D]	10	10
13	123456975	35	2	2	1	155	5	25	15	0	0	0	0	0	0	0	0	460	6	0	22	0	0	0	0	0	50	24	[1A 1B 1D 2A 2B 2C 2D 3A 3C 3D]	10	11
14	123456975	35	2	2	1	155	2	26	17	0	0	0	0	0	0	0	0	460	6	0	22	0	0	0	0	0	50	24	[1A 1B 1D 2A 2B 2C 2D 3A 3C 3D]	10	11
15	123456975	35	2	1	2	155	1	21	23	0	0	0	0	0	0	0	0	460	6	0	22	0	0	0	0	0	50	24	[1A 1B 1D 2A 2B 2C 2D 3A 3C 3D]	10	10
16	123456975	31	5	2	2	155	1	20	24	0	0	0	0	0	0	0	0	460	6	0	22	0	0	0	0	0	50	24	[1A 1B 1D 2A 2B 2C 2D 3A 3C 3D]	10	11
17	123456975	19	0	0	1	167	4	21	28	0	0	0	0	0	0	0	0	520	7	0	26	0	0	0	0	0	50	24	[1B 1D 2A 2B 2C 2D 3A 3C 3D 1C 3B]	11	11
18	123456975	19	0	0	1	167	3	21	29	0	0	0	0	0	0	0	0	520	7	0	26	0	0	0	0	0	50	24	[1B 1D 2A 2B 2C 2D 3A 3C 3D 1C 3B]	11	11
19	123456975	19	0	0	1	167	2	18	33	0	0	0	0	0	0	0	0	520	7	0	26	0	0	0	0	0	50	24	[1B 1D 2A 2B 2C 2D 3A 3C 3D 1C 3B]	11	9
20	123456975	19	0	0	1	167	1	17	35	0	0	0	0	0	0	0	0	520	7	0	26	0	0	0	0	0	50	24	[1B 1D 2A 2B 2C 2D 3A 3C 3D 1C 3B]	11	8
21	123456975	18	1	0	1	167	0	16	37	0	0	0	0	0	0	0	0	520	7	0	26	0	0	0	0	0	50	25	[1B 1D 2A 2B 2C 2D 3A 3C 3D 1C 3B]	11	9
22	123456975	17	1	1	1	167	0	15	38	0	0	0	0	0	0	0	0	520	7	0	26	0	0	0	0	0	50	25	[1B 1D 2A 2B 2C 2D 3A 3C 3D 1C 3B]	11	10
23	123456975	16	2	1	1	167	0	13	40	0	0	0	0	0	0	0	0	520	7	0	26	0	0	0	0	0	50	25	[1B 1D 2A 2B 2C 2D 3A 3C 3D 1C 3B]	11	9
24	123456975	134	2	0	44	47	1	5	7	0	0	0	0	0	0	0	0	720	7	0	27	0	0	0	0	0	50	27	[1C 3B 1A]	3	3
25	123456975	130	5	1	44	47	1	5	7	0	0	0	0	0	0	0	0	720	7	0	27	0	0	0	0	0	50	30	[1C 3B 1A]	3	4
26	123456975	128	6	2	44	47	0	6	7	0	0	0	0	0	0	0	0	720	8	0	27	0	0	0	0	0	50	30	[1C 3B 1A]	3	5
27	123456975	128	4	3	45	47	0	5	8	0	0	0	0	0	0	0	0	720	8	0	27	0	0	0	0	0	50	30	[1C 3B 1A]	3	4
28	123456975	126	5	4	45	47	0	5	8	0	0	0	0	0	0	0	0	720	8	0	27	0	0	0	0	0	50	32	[1C 3B 1A]	3	5
29	123456975	124	6	4	46	47	0	5	8	0	0	0	0	0	0	0	0	720	8	0	27	0	0	0	0	0	50	34	[1C 3B 1A]	3	6
30	123456975	118	10	4	48	47	0	3	10	0	0	0	0	0	0	0	0	720	8	0	27	0	0	0	0	0	50	37	[1C 3B 1A]	3	5
31	123456975	113	8	0	39	48	4	5	23	0	0	0	0	0	0	0	0	940	8	0	32	0	0	0	0	0	50	41	[1A 1D 3C 3D]	4	3
32	123456975	111	7	3	39	48	4	5	23	0	0	0	0	0	0	0	0	940	8	0	32	0	0	0	0	0	50	42	[1A 1D 3C 3D]	4	5
33	123456975	96	6	6	32	48	3	4	25	11	0	2	7	0	0	0	0	940	9	0	32	1	0	0	0	0	50	43	[1A 1D 3C 3D 3B]	5	7
34	123456975	94	6	7	33	48	2	3	27	11	0	2	7	0	0	0	0	940	9	0	32	1	0	0	0	0	50	45	[1A 1D 3C 3D 3B]	5	8
35	123456975	72	4	1	23	48	1	4	27	11	0	0	9	21	1	7	11	940	9	2	32	1	2	0	0	0	50	46	[1A 1D 3C 3D 3B 3A 2B]	7	6
