day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456955	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456955	234	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	50	6	[]	0	0
2	123456955	225	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	50	10	[]	0	3
3	123456955	216	16	8	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	50	13	[]	0	6
4	123456955	196	27	15	2	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	50	15	[]	0	10
5	123456955	180	35	23	2	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	50	15	[]	0	10
6	123456955	177	30	28	5	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	50	18	[]	0	10
7	123456955	174	27	32	7	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0	0	50	21	[]	0	11
8	123456955	125	20	26	9	27	6	6	1	0	0	0	0	12	4	2	2	23	7	1	2	0	1	0	0	0	50	22	[3C 2B 3B]	3	11
9	123456955	112	28	24	16	27	4	8	1	0	0	0	0	12	3	3	2	23	7	1	2	0	1	0	0	0	50	23	[3C 2B 3B]	3	12
10	123456955	99	33	29	19	27	4	7	2	0	0	0	0	12	2	4	2	23	7	1	2	0	1	0	0	0	50	25	[3C 2B 3B]	3	12
11	123456955	78	31	33	18	27	2	9	2	0	0	0	0	23	4	7	6	23	8	2	2	0	2	0	0	0	50	27	[3C 2B 3B 1D]	4	12
12	123456955	69	31	40	20	27	1	8	4	0	0	0	0	23	3	8	6	23	8	2	2	0	2	0	0	0	50	27	[3C 2B 3B 1D]	4	12
13	123456955	68	24	42	26	27	1	7	5	0	0	0	0	23	2	9	6	23	9	2	2	0	2	0	0	0	50	28	[3C 2B 3B 1D]	4	12
