day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456804	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456804	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	50	2	[]	0	0
2	123456804	233	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	50	7	[]	0	0
3	123456804	226	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24	3	0	0	0	0	0	0	0	50	13	[]	0	1
4	123456804	219	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24	4	0	0	0	0	0	0	0	50	19	[]	0	2
5	123456804	208	22	10	0	0	0	0	0	0	0	0	0	0	0	0	0	24	4	0	0	0	0	0	0	0	50	22	[]	0	7
6	123456804	190	13	14	3	0	0	0	0	0	0	0	0	18	0	2	0	24	5	1	0	0	1	0	0	0	50	22	[2C]	1	9
7	123456804	187	14	15	4	0	0	0	0	0	0	0	0	18	0	1	1	24	6	1	0	0	1	0	0	0	50	25	[2C]	1	9
8	123456804	147	19	11	3	29	4	5	2	0	0	0	0	18	0	1	1	35	6	1	2	0	1	0	0	0	50	29	[2C 1D 3D]	3	10
9	123456804	143	20	12	5	29	2	7	2	0	0	0	0	18	0	1	1	35	6	1	2	0	1	0	0	0	50	30	[2C 1D 3D]	3	9
10	123456804	107	15	12	6	55	8	14	3	0	0	0	0	18	0	1	1	44	7	1	4	0	1	0	0	0	50	34	[2C 1D 3D 1C 2A]	5	10
11	123456804	101	15	15	9	55	7	15	3	0	0	0	0	18	0	1	1	44	7	1	4	0	1	0	0	0	50	35	[2C 1D 3D 1C 2A]	5	11
12	123456804	91	22	17	10	55	6	14	5	0	0	0	0	18	0	1	1	44	7	1	4	0	1	0	0	0	50	36	[2C 1D 3D 1C 2A]	5	11
13	123456804	79	15	18	8	55	4	15	6	12	1	4	3	18	0	1	1	44	8	1	4	1	1	0	0	0	50	36	[2C 1D 3D 1C 2A 3C]	6	11
14	123456804	71	10	11	8	55	3	14	8	12	1	4	3	26	0	11	3	44	8	2	4	1	2	0	0	0	50	36	[2C 1D 3D 1C 2A 3C 3A]	7	10
15	123456804	43	5	7	5	81	5	19	15	12	1	3	4	26	0	10	4	54	8	2	6	1	2	0	0	0	50	38	[2C 1D 3D 1C 2A 3C 3A 2B 2D]	9	11
16	123456804	38	8	9	5	81	4	17	18	12	1	2	5	26	0	7	7	54	8	2	6	1	2	0	0	0	50	39	[2C 1D 3D 1C 2A 3C 3A 2B 2D]	9	11
17	123456804	35	10	9	6	81	3	17	19	12	1	2	5	26	0	5	9	57	8	2	6	1	2	0	0	0	50	39	[2C 1D 3D 1C 2A 3C 3A 2B 2D]	9	11
18	123456804	34	10	9	7	81	2	15	22	12	1	2	5	26	0	3	11	57	8	2	6	1	2	0	0	0	50	39	[2C 1D 3D 1C 2A 3C 3A 2B 2D]	9	11
19	123456804	32	7	13	8	81	1	10	28	12	1	2	5	26	0	3	11	57	8	2	6	1	2	0	0	0	50	39	[2C 1D 3D 1C 2A 3C 3A 2B 2D]	9	10
20	123456804	50	4	16	10	81	1	8	30	12	0	3	5	8	0	2	10	57	9	2	6	1	2	0	0	0	50	39	[1D 3D 1C 2A 3C 3A 2B 2D]	8	9
21	123456804	50	3	15	12	81	1	6	32	12	0	3	5	8	0	2	10	57	9	2	6	1	2	0	0	0	50	39	[1D 3D 1C 2A 3C 3A 2B 2D]	8	8
22	123456804	57	2	3	18	72	0	20	28	12	0	3	5	8	0	2	10	69	9	2	8	1	2	0	0	0	50	39	[1C 2A 3C 3A 2B 2D 1B 3B]	8	8
23	123456804	55	4	2	19	72	0	15	33	12	0	3	5	8	0	1	11	69	9	2	8	1	2	0	0	0	50	39	[1C 2A 3C 3A 2B 2D 1B 3B]	8	8
24	123456804	79	4	4	33	46	0	7	27	12	0	2	6	8	0	1	11	75	9	2	8	1	2	0	0	0	50	40	[3C 3A 2B 2D 1B 3B]	6	6
25	123456804	75	8	4	33	46	0	7	27	12	0	2	6	8	0	1	11	75	10	2	8	1	2	0	0	0	50	42	[3C 3A 2B 2D 1B 3B]	6	6
26	123456804	75	6	6	33	46	0	7	27	12	0	2	6	8	0	1	11	75	10	2	8	1	2	0	0	0	50	42	[3C 3A 2B 2D 1B 3B]	6	6
27	123456804	81	3	1	35	46	0	6	28	0	0	0	0	14	2	6	18	75	10	3	8	1	3	0	0	0	50	42	[3A 2B 2D 1B 3B 1A]	6	6
28	123456804	87	5	1	47	46	0	6	28	0	0	0	0	6	2	4	8	75	11	3	8	1	3	0	0	0	50	44	[2B 2D 1B 3B 1A]	5	5
29	123456804	107	9	3	61	20	0	3	17	0	0	0	0	6	1	5	8	84	12	3	8	1	3	0	0	0	50	49	[1B 3B 1A]	3	4
30	123456804	104	12	3	61	20	0	2	18	0	0	0	0	6	1	4	9	84	14	3	8	1	3	0	0	0	50	51	[1B 3B 1A]	3	4
31	123456804	88	11	5	56	20	0	2	18	0	0	0	0	17	4	3	16	92	15	4	8	1	4	0	0	0	50	54	[1B 3B 1A 1D]	4	6
32	123456804	73	10	5	52	20	0	2	18	12	2	1	5	17	3	4	16	92	17	4	8	2	4	0	0	0	50	54	[1B 3B 1A 1D 1C]	5	8
33	123456804	72	9	7	52	20	0	1	19	12	1	2	5	17	3	4	16	92	17	4	8	2	4	0	0	0	50	54	[1B 3B 1A 1D 1C]	5	8
34	123456804	71	9	8	52	20	0	1	19	12	1	1	6	17	1	5	17	92	17	4	8	2	4	0	0	0	50	55	[1B 3B 1A 1D 1C]	5	9
35	123456804	69	6	11	54	20	0	1	19	12	1	0	7	17	1	4	18	92	18	4	8	2	4	0	0	0	50	57	[1B 3B 1A 1D 1C]	5	8
