day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456880	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456880	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	0	[]	0	0
2	123456880	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	50	2	[]	0	0
3	123456880	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	50	4	[]	0	2
4	123456880	229	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	50	6	[]	0	2
5	123456880	220	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	50	8	[]	0	3
6	123456880	218	13	7	2	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	50	10	[]	0	4
7	123456880	216	10	12	2	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	50	12	[]	0	5
8	123456880	208	13	16	3	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	50	14	[]	0	6
9	123456880	190	14	9	7	13	1	6	0	0	0	0	0	0	0	0	0	24	4	0	1	0	0	0	0	0	50	17	[3C]	1	5
10	123456880	176	24	10	10	13	0	6	1	0	0	0	0	0	0	0	0	24	4	0	1	0	0	0	0	0	50	23	[3C]	1	6
11	123456880	136	23	12	9	29	2	6	3	0	0	0	0	15	2	1	2	34	7	1	2	0	1	0	0	0	50	27	[3C 1C 3B]	3	9
12	123456880	112	24	12	12	29	2	5	4	0	0	0	0	32	2	4	2	34	7	2	2	0	2	0	0	0	50	27	[3C 1C 3B 2B]	4	8
13	123456880	112	18	16	14	29	1	6	4	0	0	0	0	32	0	6	2	34	9	2	2	0	2	0	0	0	50	27	[3C 1C 3B 2B]	4	11
14	123456880	112	16	18	14	29	0	6	5	0	0	0	0	32	0	6	2	34	9	2	2	0	2	0	0	0	50	27	[3C 1C 3B 2B]	4	11
15	123456880	99	21	25	15	29	0	4	7	0	0	0	0	32	0	5	3	34	10	2	2	0	2	0	0	0	50	30	[3C 1C 3B 2B]	4	11
16	123456880	89	25	16	10	29	0	2	9	0	0	0	0	33	0	15	12	41	10	3	2	0	3	0	0	0	50	31	[3C 1C 3B 2B 2C]	5	11
17	123456880	80	27	21	12	29	0	2	9	0	0	0	0	33	0	15	12	41	10	3	2	0	3	0	0	0	50	31	[3C 1C 3B 2B 2C]	5	11
18	123456880	65	28	30	17	29	0	2	9	0	0	0	0	33	0	13	14	41	10	3	2	0	3	0	0	0	50	31	[3C 1C 3B 2B 2C]	5	12
19	123456880	56	31	30	23	29	0	2	9	0	0	0	0	33	0	12	15	41	10	3	2	0	3	0	0	0	50	31	[3C 1C 3B 2B 2C]	5	12
20	123456880	47	13	24	16	29	0	1	10	5	5	6	4	37	3	16	24	41	11	4	2	1	4	0	0	0	50	31	[3C 1C 3B 2B 2C 1B 3A]	7	11
21	123456880	40	7	19	14	29	0	1	10	5	2	9	4	42	7	18	33	41	11	5	2	1	5	0	0	0	50	33	[3C 1C 3B 2B 2C 1B 3A 2D]	8	11
22	123456880	33	7	14	6	29	0	1	10	5	2	6	7	43	7	24	46	41	11	6	2	1	6	0	0	0	50	33	[3C 1C 3B 2B 2C 1B 3A 2D 2A]	9	11
23	123456880	39	5	6	10	16	0	1	3	8	5	17	10	43	6	21	50	44	12	6	2	2	6	0	0	0	50	33	[1C 3B 2B 2C 1B 3A 2D 2A 1A]	9	11
24	123456880	35	8	6	11	16	0	1	3	8	3	15	14	43	3	22	52	44	12	6	2	2	6	0	0	0	50	33	[1C 3B 2B 2C 1B 3A 2D 2A 1A]	9	11
25	123456880	63	9	7	21	0	0	0	0	8	3	12	17	28	3	16	53	44	12	6	2	2	6	0	0	0	50	33	[2B 2C 1B 3A 2D 2A 1A]	7	9
26	123456880	74	13	9	24	0	0	0	0	8	3	8	21	11	2	15	52	44	12	6	2	2	6	0	0	0	50	35	[2C 1B 3A 2D 2A 1A]	6	8
27	123456880	69	13	13	25	0	0	0	0	8	2	7	23	11	1	15	53	44	13	6	2	2	6	0	0	0	50	40	[2C 1B 3A 2D 2A 1A]	6	10
28	123456880	68	11	14	27	0	0	0	0	8	2	4	26	11	1	13	55	44	13	6	2	2	6	0	0	0	50	41	[2C 1B 3A 2D 2A 1A]	6	10
29	123456880	61	16	14	29	0	0	0	0	8	2	4	26	11	1	11	57	44	13	6	2	2	6	0	0	0	50	43	[2C 1B 3A 2D 2A 1A]	6	9
30	123456880	50	6	5	39	11	4	14	11	8	1	4	27	10	0	7	43	51	13	6	4	2	6	0	0	0	50	43	[1B 3A 2D 2A 1A 1D 3D]	7	9
31	123456880	49	6	4	41	11	3	13	13	8	1	4	27	10	0	2	48	51	13	6	4	2	6	0	0	0	50	44	[1B 3A 2D 2A 1A 1D 3D]	7	9
32	123456880	45	9	4	42	11	3	12	14	8	1	3	28	10	0	2	48	51	14	6	4	2	6	0	0	0	50	44	[1B 3A 2D 2A 1A 1D 3D]	7	8
33	123456880	41	11	5	43	11	2	12	15	8	1	2	29	10	0	2	48	51	14	6	4	2	6	0	0	0	50	44	[1B 3A 2D 2A 1A 1D 3D]	7	9
34	123456880	50	9	7	74	11	2	10	17	3	0	2	15	6	0	2	32	51	14	6	4	2	6	0	0	0	50	44	[2D 2A 1A 1D 3D]	5	9
35	123456880	55	9	5	91	11	2	8	19	3	0	2	15	1	0	1	18	51	14	6	4	2	6	0	0	0	50	44	[2A 1A 1D 3D]	4	8
