day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457750	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123457750	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	1	[]	0	0
2	123457750	235	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	5	[]	0	0
3	123457750	234	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	6	[]	0	2
4	123457750	232	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	6	[]	0	3
5	123457750	227	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	8	[]	0	4
6	123457750	223	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	12	[]	0	4
7	123457750	221	8	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	14	[]	0	7
8	123457750	211	15	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	16	[]	0	7
9	123457750	200	20	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	50	20	[]	0	7
10	123457750	183	25	25	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	50	22	[]	0	9
11	123457750	158	43	30	9	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	50	26	[]	0	10
12	123457750	145	48	32	15	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	50	28	[]	0	10
13	123457750	140	31	33	16	0	0	0	0	3	6	6	5	0	0	0	0	0	7	0	0	1	0	0	0	0	50	30	[3A]	1	11
14	123457750	126	24	33	17	0	0	0	0	3	3	9	5	12	1	6	1	0	8	1	0	1	1	0	0	0	50	32	[3A 2A]	2	11
15	123457750	107	26	30	17	0	0	0	0	8	4	18	10	12	1	5	2	0	9	1	0	2	1	0	0	0	50	33	[3A 2A 2B]	3	12
16	123457750	66	24	31	19	0	0	0	0	21	7	21	11	26	4	6	4	0	11	2	0	3	2	0	0	0	50	33	[3A 2A 2B 2D 1C]	5	12
17	123457750	54	29	35	22	0	0	0	0	21	7	16	16	26	3	6	5	0	12	2	0	3	2	0	0	0	50	33	[3A 2A 2B 2D 1C]	5	12
18	123457750	39	30	31	20	0	0	0	0	21	6	17	16	28	7	16	9	0	12	3	0	3	3	0	0	0	50	33	[3A 2A 2B 2D 1C 3B]	6	12
19	123457750	33	28	33	26	0	0	0	0	21	4	17	18	28	6	16	10	0	12	3	0	3	3	0	0	0	50	34	[3A 2A 2B 2D 1C 3B]	6	12
20	123457750	25	16	28	31	0	0	0	0	21	3	13	23	36	8	21	15	0	12	4	0	3	4	0	0	0	50	34	[3A 2A 2B 2D 1C 3B 3D]	7	12
21	123457750	25	13	29	33	0	0	0	0	21	2	13	24	36	5	21	18	0	12	4	0	3	4	0	0	0	50	34	[3A 2A 2B 2D 1C 3B 3D]	7	12
22	123457750	20	17	27	36	0	0	0	0	21	2	11	26	36	3	22	19	0	13	4	0	3	4	0	0	0	50	34	[3A 2A 2B 2D 1C 3B 3D]	7	12
23	123457750	16	14	20	30	0	0	0	0	22	0	21	37	36	1	23	20	0	15	4	0	4	4	0	0	0	50	34	[3A 2A 2B 2D 1C 3B 3D 2C]	8	12
24	123457750	13	10	24	33	0	0	0	0	22	0	20	38	36	1	16	27	0	15	4	0	4	4	0	0	0	50	34	[3A 2A 2B 2D 1C 3B 3D 2C]	8	12
25	123457750	8	11	27	34	0	0	0	0	22	0	17	41	36	1	16	27	0	15	4	0	4	4	0	0	0	50	34	[3A 2A 2B 2D 1C 3B 3D 2C]	8	12
26	123457750	3	9	20	28	0	0	0	0	23	1	20	56	36	1	14	29	0	16	4	0	5	4	0	0	0	50	34	[3A 2A 2B 2D 1C 3B 3D 2C 1A]	9	12
27	123457750	6	7	21	46	0	0	0	0	20	0	13	47	36	0	13	31	0	16	4	0	5	4	0	0	0	50	34	[2A 2B 2D 1C 3B 3D 2C 1A]	8	10
28	123457750	18	6	18	58	0	0	0	0	20	0	11	49	24	0	10	26	0	17	4	0	5	4	0	0	0	50	34	[2B 2D 1C 3B 3D 2C 1A]	7	9
29	123457750	21	3	13	63	0	0	0	0	15	0	9	36	26	0	16	38	0	17	5	0	5	5	0	0	0	50	34	[2D 1C 3B 3D 2C 1A 3C]	7	9
