day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457032	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123457032	236	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	4	[]	0	0
2	123457032	233	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	7	[]	0	0
3	123457032	203	34	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	8	[]	0	3
4	123457032	154	69	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	50	11	[]	0	5
5	123457032	114	93	29	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	50	14	[]	0	6
6	123457032	112	58	41	9	0	0	0	0	0	0	0	0	0	13	7	0	0	5	1	0	0	1	0	0	0	50	16	[3B]	1	8
7	123457032	111	44	49	16	0	0	0	0	0	0	0	0	0	7	11	2	0	5	1	0	0	1	0	0	0	50	17	[3B]	1	9
8	123457032	76	70	49	25	0	0	0	0	0	0	0	0	0	4	13	3	0	5	1	0	0	1	0	0	0	50	19	[3B]	1	9
9	123457032	49	80	57	34	0	0	0	0	0	0	0	0	0	3	13	4	0	6	1	0	0	1	0	0	0	50	19	[3B]	1	10
10	123457032	29	62	49	20	0	0	0	0	0	1	10	9	0	9	37	14	0	7	3	0	1	3	0	0	0	50	19	[3B 1C 1D 3C]	4	11
11	123457032	19	45	38	18	0	0	0	0	0	6	19	15	0	11	48	21	0	9	4	0	2	4	0	0	0	50	19	[3B 1C 1D 3C 2B 1B]	6	11
12	123457032	16	26	29	9	0	0	0	0	0	4	19	17	0	18	61	41	0	9	6	0	2	6	0	0	0	50	19	[3B 1C 1D 3C 2B 1B 3A 2A]	8	11
13	123457032	16	11	24	9	0	0	0	0	0	7	27	26	0	12	53	55	0	10	6	0	3	6	0	0	0	50	19	[3B 1C 1D 3C 2B 1B 3A 2A 2D]	9	12
14	123457032	16	8	25	11	0	0	0	0	0	2	27	31	0	8	50	62	0	10	6	0	3	6	0	0	0	50	19	[3B 1C 1D 3C 2B 1B 3A 2A 2D]	9	12
15	123457032	0	23	25	12	0	0	0	0	0	1	23	36	0	4	45	71	0	10	6	0	3	6	0	0	0	50	19	[3B 1C 1D 3C 2B 1B 3A 2A 2D]	9	12
16	123457032	0	18	29	13	0	0	0	0	0	0	21	39	0	3	39	78	0	10	6	0	3	6	0	0	0	50	19	[3B 1C 1D 3C 2B 1B 3A 2A 2D]	9	12
17	123457032	0	13	25	22	0	0	0	0	0	0	21	39	0	2	35	83	0	10	6	0	3	6	0	0	0	50	19	[3B 1C 1D 3C 2B 1B 3A 2A 2D]	9	12
18	123457032	0	8	28	24	0	0	0	0	0	0	19	41	0	1	33	86	0	10	6	0	3	6	0	0	0	50	19	[3B 1C 1D 3C 2B 1B 3A 2A 2D]	9	12
19	123457032	0	5	28	27	0	0	0	0	0	0	16	44	0	1	29	90	0	10	6	0	3	6	0	0	0	50	19	[3B 1C 1D 3C 2B 1B 3A 2A 2D]	9	12
20	123457032	0	5	21	54	0	0	0	0	0	0	14	46	0	1	26	73	0	10	6	0	3	6	0	0	0	50	19	[1C 1D 3C 2B 1B 3A 2A 2D]	8	11
21	123457032	0	5	19	56	0	0	0	0	0	0	12	48	0	0	25	75	0	10	6	0	3	6	0	0	0	50	19	[1C 1D 3C 2B 1B 3A 2A 2D]	8	11
