day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457577	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123457577	236	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	4	[]	0	0
2	123457577	224	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	50	6	[]	0	1
3	123457577	214	23	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	50	7	[]	0	1
4	123457577	190	37	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	50	7	[]	0	3
5	123457577	160	56	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	50	9	[]	0	3
6	123457577	159	45	33	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	50	10	[]	0	6
7	123457577	157	34	45	4	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	50	12	[]	0	6
8	123457577	116	58	40	6	0	0	0	0	0	0	0	0	1	6	11	2	0	12	1	0	0	1	0	0	0	50	13	[1D]	1	7
9	123457577	96	65	48	11	0	0	0	0	0	0	0	0	1	4	13	2	0	12	1	0	0	1	0	0	0	50	14	[1D]	1	7
10	123457577	93	48	48	11	0	0	0	0	0	0	0	0	1	5	24	10	0	12	2	0	0	2	0	0	0	50	14	[1D 3A]	2	7
11	123457577	82	50	45	23	0	0	0	0	0	0	0	0	1	3	23	13	0	13	2	0	0	2	0	0	0	50	16	[1D 3A]	2	8
12	123457577	52	67	51	30	0	0	0	0	0	0	0	0	1	3	19	17	0	14	2	0	0	2	0	0	0	50	18	[1D 3A]	2	10
13	123457577	52	61	53	34	0	0	0	0	0	0	0	0	1	3	15	21	0	14	2	0	0	2	0	0	0	50	18	[1D 3A]	2	10
14	123457577	52	45	65	38	0	0	0	0	0	0	0	0	1	3	13	23	0	14	2	0	0	2	0	0	0	50	18	[1D 3A]	2	10
15	123457577	28	53	60	39	0	0	0	0	0	0	0	0	1	4	22	33	0	14	3	0	0	3	0	0	0	50	18	[1D 3A 2B]	3	11
16	123457577	23	39	55	43	0	0	0	0	0	0	0	0	1	12	30	37	0	15	4	0	0	4	0	0	0	50	18	[1D 3A 2B 1C]	4	11
