day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected	prob-outside-contagion
0	123456938	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0.02	0
1	123456938	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0.02	0
2	123456938	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0.02	0
3	123456938	70	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0.02	0
4	123456938	67	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	216	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	[]	0	0.02	1
5	123456938	62	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	215	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	[]	0	0.02	1
6	123456938	62	6	3	1	0	0	0	0	0	0	0	0	0	0	0	0	60	5	0	0	0	0	215	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	[]	0	0.02	4
7	123456938	60	7	4	1	0	0	0	0	0	0	0	0	0	0	0	0	60	5	0	0	0	0	215	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	[]	0	0.02	5
8	123456938	57	7	5	1	0	0	2	0	0	0	0	0	0	0	0	0	158	7	0	2	0	0	215	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	[]	0	0.02	7
9	123456938	51	11	7	1	0	0	2	0	0	0	0	0	0	0	0	0	158	7	0	2	0	0	212	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	17	[]	0	0.02	7
10	123456938	51	11	6	2	0	0	2	0	0	0	0	0	0	0	0	0	158	7	0	2	0	0	211	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	18	[]	0	0.02	6
11	123456938	46	10	11	3	0	0	2	0	0	0	0	0	0	0	0	0	158	7	0	2	0	0	207	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	19	[]	0	0.02	10
12	123456938	40	12	14	4	0	0	2	0	0	0	0	0	0	0	0	0	158	7	0	2	0	0	204	9	4	1	0	0	0	0	0	0	0	0	0	0	0	0	22	[]	0	0.02	10
13	123456938	34	10	10	6	6	2	2	2	0	0	0	0	0	0	0	0	196	9	0	5	0	0	177	6	5	2	26	1	0	1	0	0	0	0	0	0	0	0	23	[1A 2B]	2	0.02	10
14	123456938	34	8	11	7	6	1	3	2	0	0	0	0	0	0	0	0	196	9	0	5	0	0	177	5	6	2	26	1	0	1	0	0	0	0	0	0	0	0	23	[1A 2B]	2	0.02	10
15	123456938	30	7	10	6	7	0	6	6	0	0	0	0	0	0	0	0	284	9	0	9	0	0	166	2	7	1	37	2	1	2	0	0	0	0	0	0	0	0	24	[1A 2B 3D]	3	0.02	12
16	123456938	26	10	11	6	7	0	6	6	0	0	0	0	0	0	0	0	284	10	0	9	0	0	165	2	8	1	37	2	1	2	0	0	0	0	0	0	0	0	27	[1A 2B 3D]	3	0.02	12
17	123456938	24	12	9	8	7	0	4	8	0	0	0	0	0	0	0	0	284	11	0	9	0	0	164	3	8	1	37	2	1	2	0	0	0	0	0	0	0	0	27	[1A 2B 3D]	3	0.02	12
18	123456938	23	9	11	9	7	0	4	8	0	0	1	0	0	0	0	0	303	12	0	9	1	0	160	6	7	3	37	2	1	2	0	0	0	0	0	0	0	0	28	[1A 2B 3D]	3	0.02	12
