day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456802	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123456802	207	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	0
2	123456802	188	24	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	21	[]	0	4
3	123456802	164	44	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	29	[]	0	7
4	123456802	138	60	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	37	[]	0	8
5	123456802	111	72	29	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	41	[]	0	10
6	123456802	104	59	44	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	48	[]	0	11
7	123456802	94	51	58	13	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	58	[]	0	11
8	123456802	61	68	67	20	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	63	[]	0	12
9	123456802	42	68	72	34	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	66	[]	0	12
10	123456802	17	61	64	38	2	8	12	12	0	0	2	0	0	0	0	0	38	5	0	12	2	0	0	0	0	70	0	0	0	4	0	0	0	0	0	0	0	0	68	[1A 3C]	2	12
11	123456802	8	45	58	33	2	12	31	23	0	0	3	0	0	0	1	0	76	6	1	29	3	1	0	0	0	66	0	0	0	8	0	0	0	0	0	0	0	0	70	[1A 3C 1C 3A]	4	12
12	123456802	5	29	56	36	3	18	36	28	0	0	4	0	0	0	1	0	95	7	1	35	4	1	0	0	0	64	0	0	0	10	0	0	0	0	0	0	0	0	70	[1A 3C 1C 3A 3B]	5	12
13	123456802	5	16	64	41	3	14	35	33	0	0	3	1	0	0	1	0	95	8	1	35	4	1	0	0	0	64	0	0	0	10	0	0	0	0	0	0	0	0	70	[1A 3C 1C 3A 3B]	5	12
14	123456802	5	7	61	35	3	11	43	45	0	0	3	1	0	0	2	0	114	9	2	41	4	2	0	0	0	62	0	0	0	12	0	0	0	0	0	0	0	0	70	[1A 3C 1C 3A 3B 2D]	6	12
15	123456802	1	9	59	39	3	8	39	52	0	0	3	1	0	0	2	0	114	9	2	41	4	2	0	0	0	62	0	0	0	12	0	0	0	0	0	0	0	0	70	[1A 3C 1C 3A 3B 2D]	6	12
16	123456802	1	8	53	46	3	5	37	57	0	0	3	1	0	0	2	0	114	9	2	41	4	2	0	0	0	62	0	0	0	12	0	0	0	0	0	0	0	0	70	[1A 3C 1C 3A 3B 2D]	6	12
17	123456802	1	4	44	59	3	4	30	65	0	0	3	1	0	0	2	0	114	10	2	41	4	2	0	0	0	62	0	0	0	12	0	0	0	0	0	0	0	0	70	[1A 3C 1C 3A 3B 2D]	6	12
18	123456802	1	2	29	58	3	3	29	84	0	0	3	2	0	0	2	0	133	11	2	47	5	2	0	0	0	60	0	0	0	14	0	0	0	0	0	0	0	0	70	[1A 3C 1C 3A 3B 2D 2A]	7	12
19	123456802	1	2	23	64	3	2	26	88	0	0	3	2	0	0	1	1	133	11	2	47	5	2	0	0	0	60	0	0	0	14	0	0	0	0	0	0	0	0	70	[1A 3C 1C 3A 3B 2D 2A]	7	12
20	123456802	1	2	14	55	3	1	25	107	0	0	4	2	0	0	1	1	152	13	2	50	6	2	0	0	0	58	0	0	0	16	0	0	0	0	0	0	0	0	70	[1A 3C 1C 3A 3B 2D 2A 2B]	8	12
21	123456802	1	2	13	56	3	1	20	112	0	0	4	2	0	0	1	1	152	13	2	50	6	2	0	0	0	58	0	0	0	16	0	0	0	0	0	0	0	0	70	[1A 3C 1C 3A 3B 2D 2A 2B]	8	12
22	123456802	1	0	14	57	3	1	17	115	0	0	2	4	0	0	1	1	152	13	2	50	6	2	0	0	0	58	0	0	0	16	0	0	0	0	0	0	0	0	70	[1A 3C 1C 3A 3B 2D 2A 2B]	8	12
23	123456802	0	1	14	57	3	1	17	115	0	0	2	4	0	0	0	2	152	13	2	50	6	2	0	0	0	58	0	0	0	16	0	0	0	0	0	0	0	0	71	[1A 3C 1C 3A 3B 2D 2A 2B]	8	12
24	123456802	2	0	13	93	1	1	12	88	0	0	0	4	0	0	0	2	152	13	2	50	6	2	0	0	0	62	0	0	0	12	0	0	0	0	0	0	0	0	71	[1C 3A 3B 2D 2A 2B]	6	9
25	123456802	2	0	12	130	1	0	7	60	0	0	0	3	0	0	0	1	152	13	2	50	6	2	0	0	0	66	0	0	0	8	0	0	0	0	0	0	0	0	71	[3B 2D 2A 2B]	4	6
26	123456802	3	0	11	148	0	0	4	47	0	0	0	2	0	0	0	1	152	13	2	50	6	2	0	0	0	68	0	0	0	6	0	0	0	0	0	0	0	0	71	[2D 2A 2B]	3	5
27	123456802	3	0	9	150	0	0	2	49	0	0	0	2	0	0	0	1	152	13	2	50	6	2	0	0	0	68	0	0	0	6	0	0	0	0	0	0	0	0	71	[2D 2A 2B]	3	5
28	123456802	3	0	8	169	0	0	2	32	0	0	0	2	0	0	0	0	152	13	2	50	6	2	0	0	0	70	0	0	0	4	0	0	0	0	0	0	0	0	71	[2A 2B]	2	5
29	123456802	3	0	6	153	0	0	2	49	0	0	0	2	0	0	1	0	171	13	3	51	6	3	0	0	0	68	0	0	0	6	0	0	0	0	0	0	0	0	71	[2A 2B 1B]	3	5
30	123456802	3	0	5	154	0	0	1	50	0	0	0	2	0	0	1	0	171	13	3	51	6	3	0	0	0	68	0	0	0	6	0	0	0	0	0	0	0	0	71	[2A 2B 1B]	3	5
31	123456802	3	0	5	154	0	0	1	50	0	0	0	2	0	0	1	0	171	13	3	51	6	3	0	0	0	68	0	0	0	6	0	0	0	0	0	0	0	0	71	[2A 2B 1B]	3	5
32	123456802	3	0	4	173	0	0	0	34	0	0	0	1	0	0	1	0	171	14	3	51	6	3	0	0	0	70	0	0	0	4	0	0	0	0	0	0	0	0	71	[2B 1B]	2	3
33	123456802	3	0	4	173	0	0	0	34	0	0	0	1	0	0	1	0	171	14	3	51	6	3	0	0	0	70	0	0	0	4	0	0	0	0	0	0	0	0	71	[2B 1B]	2	3
34	123456802	3	0	3	192	0	0	0	17	0	0	0	0	0	0	1	0	171	14	3	51	6	3	0	0	0	72	0	0	0	2	0	0	0	0	0	0	0	0	71	[1B]	1	2
35	123456802	3	0	3	192	0	0	0	17	0	0	0	0	0	0	1	0	171	14	3	51	6	3	0	0	0	72	0	0	0	2	0	0	0	0	0	0	0	0	71	[1B]	1	2
36	123456802	3	0	3	192	0	0	0	17	0	0	0	0	0	0	1	0	171	17	3	51	6	3	0	0	0	72	0	0	0	2	0	0	0	0	0	0	0	0	71	[1B]	1	2
37	123456802	3	0	2	193	0	0	0	17	0	0	0	0	0	0	1	0	171	19	3	51	6	3	0	0	0	72	0	0	0	2	0	0	0	0	0	0	0	0	71	[1B]	1	2
38	123456802	3	0	2	193	0	0	0	17	0	0	0	0	0	0	1	0	171	20	3	51	6	3	0	0	0	72	0	0	0	2	0	0	0	0	0	0	0	0	71	[1B]	1	2
39	123456802	3	0	2	193	0	0	0	17	0	0	0	0	0	0	1	0	171	20	3	51	6	3	0	0	0	72	0	0	0	2	0	0	0	0	0	0	0	0	71	[1B]	1	2
40	123456802	3	0	2	193	0	0	0	17	0	0	0	0	0	0	1	0	171	20	3	51	6	3	0	0	0	72	0	0	0	2	0	0	0	0	0	0	0	0	71	[1B]	1	2
41	123456802	3	0	2	193	0	0	0	17	0	0	0	0	0	0	1	0	171	21	3	51	6	3	0	0	0	72	0	0	0	2	0	0	0	0	0	0	0	0	71	[1B]	1	2
42	123456802	2	1	2	193	0	0	0	17	0	0	0	0	0	0	1	0	171	22	3	51	6	3	0	0	0	72	0	0	0	2	0	0	0	0	0	0	0	0	72	[1B]	1	2
43	123456802	2	1	2	211	0	0	0	0	0	0	0	0	0	0	0	0	171	22	3	51	6	3	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	72	[]	0	1
44	123456802	2	1	2	211	0	0	0	0	0	0	0	0	0	0	0	0	171	23	3	51	6	3	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	72	[]	0	1
45	123456802	2	1	2	211	0	0	0	0	0	0	0	0	0	0	0	0	171	23	3	51	6	3	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	72	[]	0	1
46	123456802	2	0	2	212	0	0	0	0	0	0	0	0	0	0	0	0	171	23	3	51	6	3	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	72	[]	0	2
47	123456802	2	0	2	212	0	0	0	0	0	0	0	0	0	0	0	0	171	24	3	51	6	3	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	72	[]	0	2
48	123456802	1	1	2	212	0	0	0	0	0	0	0	0	0	0	0	0	171	24	3	51	6	3	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	73	[]	0	2
49	123456802	1	1	2	212	0	0	0	0	0	0	0	0	0	0	0	0	171	26	3	51	6	3	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	73	[]	0	2
50	123456802	1	1	2	212	0	0	0	0	0	0	0	0	0	0	0	0	171	27	3	51	6	3	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	73	[]	0	2
51	123456802	1	1	1	212	0	0	0	0	0	0	1	0	0	0	0	0	190	28	3	51	7	3	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	73	[]	0	2
