day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456958	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123456958	234	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	0
2	123456958	221	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	49	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	[]	0	0
3	123456958	196	38	6	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	48	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	[]	0	4
4	123456958	167	52	21	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	47	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	34	[]	0	8
5	123456958	124	67	28	1	10	4	4	1	0	0	0	0	0	0	1	0	79	4	1	4	0	1	46	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	45	[2B]	1	10
6	123456958	119	50	48	3	10	3	4	2	0	0	0	0	0	0	1	0	79	4	1	4	0	1	45	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	51	[2B]	1	11
7	123456958	106	31	35	8	15	16	20	6	0	0	0	0	0	0	3	0	117	4	3	19	0	3	44	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	60	[2B 1A 1B]	3	11
8	123456958	36	14	7	3	75	26	55	20	0	0	0	0	0	0	4	0	214	4	4	37	0	4	43	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	64	[2B 1A 1B 2C 1C 1D 2A 2D 3D]	9	12
9	123456958	8	19	10	3	90	20	59	26	0	0	0	0	0	0	4	1	233	4	5	39	0	5	43	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	66	[2B 1A 1B 2C 1C 1D 2A 2D 3D 3C]	10	12
10	123456958	5	16	15	4	90	13	61	31	0	0	0	0	0	0	4	1	233	4	5	39	0	5	43	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	67	[2B 1A 1B 2C 1C 1D 2A 2D 3D 3C]	10	12
11	123456958	1	13	22	4	90	8	62	35	0	0	0	0	0	0	4	1	233	4	5	39	0	5	43	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	67	[2B 1A 1B 2C 1C 1D 2A 2D 3D 3C]	10	12
12	123456958	0	12	21	7	90	7	55	43	0	0	0	0	0	0	4	1	233	4	5	39	0	5	43	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	67	[2B 1A 1B 2C 1C 1D 2A 2D 3D 3C]	10	12
13	123456958	0	7	10	3	90	9	60	55	0	0	1	0	0	0	4	1	252	5	5	49	1	5	43	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	67	[2B 1A 1B 2C 1C 1D 2A 2D 3D 3C 3B]	11	12
14	123456958	0	5	10	5	90	6	60	58	0	0	1	0	0	0	4	1	252	5	5	49	1	5	43	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	67	[2B 1A 1B 2C 1C 1D 2A 2D 3D 3C 3B]	11	12
15	123456958	0	0	0	0	90	9	65	70	0	0	1	0	0	0	4	1	257	5	5	51	1	5	43	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	67	[2B 1A 1B 2C 1C 1D 2A 2D 3D 3C 3B 3A]	12	12
16	123456958	0	0	0	0	90	7	61	76	0	0	1	0	0	0	4	1	257	5	5	51	1	5	43	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	67	[2B 1A 1B 2C 1C 1D 2A 2D 3D 3C 3B 3A]	12	12
17	123456958	0	0	0	0	90	3	55	86	0	0	1	0	0	0	4	1	257	5	5	51	1	5	43	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	67	[2B 1A 1B 2C 1C 1D 2A 2D 3D 3C 3B 3A]	12	12
18	123456958	0	0	0	0	90	3	47	94	0	0	1	0	0	0	4	1	257	5	5	51	1	5	43	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	67	[2B 1A 1B 2C 1C 1D 2A 2D 3D 3C 3B 3A]	12	12
19	123456958	9	1	0	10	80	2	41	92	0	0	1	0	0	0	3	1	257	5	5	51	1	5	43	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	68	[1A 1B 2C 1C 1D 2A 2D 3D 3C 3B 3A]	11	11
20	123456958	9	1	0	10	80	2	34	99	0	0	0	1	0	0	3	1	257	5	5	51	1	5	43	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	68	[1A 1B 2C 1C 1D 2A 2D 3D 3C 3B 3A]	11	11
21	123456958	14	1	0	45	75	0	22	80	0	0	0	1	0	0	2	0	257	5	5	51	1	5	43	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	68	[2C 1C 1D 2A 2D 3D 3C 3B 3A]	9	8
22	123456958	71	4	0	105	15	0	10	33	0	0	0	1	0	0	1	0	302	5	5	51	1	5	43	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	71	[3C 3B 3A]	3	3
23	123456958	84	6	0	110	0	0	7	32	0	0	0	1	0	0	0	0	302	6	5	51	1	5	43	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	73	[3B 3A]	2	2
24	123456958	83	6	1	110	0	0	6	33	0	0	0	1	0	0	0	0	302	6	5	51	1	5	42	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	75	[3B 3A]	2	3
25	123456958	77	10	3	110	0	0	6	33	0	0	0	1	0	0	0	0	302	6	5	51	1	5	42	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	78	[3B 3A]	2	4
26	123456958	69	15	5	111	0	0	5	34	0	0	0	1	0	0	0	0	302	6	5	51	1	5	42	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	82	[3B 3A]	2	5
27	123456958	64	14	10	132	0	0	4	16	0	0	0	0	0	0	0	0	302	7	5	51	1	5	42	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	87	[3A]	1	5
28	123456958	63	13	10	134	0	0	3	17	0	0	0	0	0	0	0	0	302	8	5	51	1	5	42	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	88	[3A]	1	6
29	123456958	54	14	6	144	3	1	5	13	0	0	0	0	0	0	0	0	400	10	5	55	1	5	42	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	90	[2B]	1	6
30	123456958	40	10	8	140	11	6	6	18	0	0	0	0	0	0	1	0	419	10	6	56	1	6	41	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	94	[2B 3C]	2	6
31	123456958	38	11	9	140	11	5	6	19	0	0	0	0	0	0	1	0	419	10	6	56	1	6	40	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	95	[2B 3C]	2	6
32	123456958	31	16	11	140	11	3	6	21	0	0	0	0	0	0	1	0	419	10	6	56	1	6	40	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	100	[2B 3C]	2	6
33	123456958	27	15	14	142	11	3	5	22	0	0	0	0	0	0	1	0	419	11	6	56	1	6	39	2	1	8	0	0	0	0	0	0	0	0	0	0	0	0	102	[2B 3C]	2	5
34	123456958	21	6	11	122	16	6	13	44	0	0	0	0	0	0	1	0	457	13	6	63	1	6	38	2	2	8	0	0	0	0	0	0	0	0	0	0	0	0	104	[2B 3C 1C 2A]	4	7
35	123456958	19	7	10	124	16	4	14	45	0	0	0	0	0	0	0	1	457	13	6	63	1	6	38	1	2	9	0	0	0	0	0	0	0	0	0	0	0	0	106	[2B 3C 1C 2A]	4	7
36	123456958	16	7	1	115	16	3	23	58	0	0	0	0	0	0	0	1	516	14	6	66	1	6	38	1	2	9	0	0	0	0	0	0	0	0	0	0	0	0	109	[2B 3C 1C 2A 2D]	5	7
