day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456831	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	74	0	0	0	0	[]	0	0
1	123456831	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	74	74	0	0	0	0	[]	0	0
2	123456831	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	74	74	0	0	0	0	[]	0	0
3	123456831	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	74	74	0	0	0	0	[]	0	0
4	123456831	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	74	74	0	0	0	0	[]	0	0
5	123456831	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	74	74	0	0	0	0	[]	0	0
6	123456831	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	74	74	0	0	0	0	[]	0	0
7	123456831	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	74	74	0	0	0	0	[]	0	0
8	123456831	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	74	74	0	0	0	0	[]	0	0
9	123456831	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	74	74	0	0	0	0	[]	0	0
10	123456831	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	74	74	0	0	0	0	[]	0	0
11	123456831	215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	74	74	0	0	0	1	[]	0	0
12	123456831	215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	74	74	0	0	0	1	[]	0	0
13	123456831	215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	74	74	0	0	0	1	[]	0	0
14	123456831	215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	74	74	0	0	0	1	[]	0	0
15	123456831	214	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	74	74	0	0	0	2	[]	0	0
16	123456831	213	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	74	74	0	0	0	3	[]	0	0
17	123456831	200	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	74	74	0	0	0	3	[]	0	2
18	123456831	187	22	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	74	74	0	0	0	3	[]	0	2
19	123456831	173	31	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	74	74	0	0	0	3	[]	0	2
20	123456831	173	25	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	74	74	0	0	0	3	[]	0	3
21	123456831	173	21	14	6	0	0	0	0	0	0	0	0	0	0	2	0	0	41	2	0	0	2	74	74	0	0	0	3	[]	0	3
22	123456831	147	42	18	7	0	0	0	0	0	0	0	0	0	0	2	0	0	41	2	0	0	2	74	74	0	0	0	3	[]	0	4
23	123456831	132	43	27	11	0	0	0	0	0	0	0	0	0	0	2	1	0	42	3	0	0	3	74	74	0	0	0	3	[]	0	5
24	123456831	114	47	39	13	0	0	0	0	0	0	0	0	0	0	0	3	0	43	3	0	0	3	74	74	0	0	0	3	[]	0	6
25	123456831	92	54	51	14	0	0	0	0	0	0	0	0	0	0	2	3	0	43	5	0	0	5	74	74	0	0	0	3	[]	0	7
26	123456831	85	51	51	20	0	0	0	0	0	0	2	0	0	0	3	4	0	47	7	0	2	7	74	74	0	0	0	3	[]	0	7
27	123456831	85	37	60	24	0	0	0	0	0	0	2	0	0	0	3	5	0	47	8	0	2	8	74	74	0	0	0	3	[]	0	10
28	123456831	85	26	49	41	0	0	0	0	0	0	2	0	0	0	8	5	0	49	13	0	2	13	74	74	0	0	0	3	[]	0	10
29	123456831	48	58	43	49	0	0	0	0	0	0	2	1	0	0	10	5	0	51	15	0	3	15	74	74	0	0	0	3	[]	0	11
30	123456831	38	51	55	53	0	0	0	0	0	0	3	1	0	0	8	7	0	52	15	0	4	15	74	74	0	0	0	3	[]	0	10
31	123456831	32	42	61	60	0	0	0	0	0	0	1	3	0	0	11	6	0	55	19	0	4	19	74	74	0	0	0	3	[]	0	10
32	123456831	20	43	59	68	0	0	0	0	0	0	2	3	0	0	14	7	0	57	23	0	5	23	74	74	0	0	0	3	[]	0	11
