day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457118	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	102	0	0	0	0	[]	0	0
1	123457118	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	146	102	0	0	0	0	[]	0	0
2	123457118	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	146	102	0	0	0	0	[]	0	0
3	123457118	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	146	102	0	0	0	0	[]	0	0
4	123457118	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	146	102	0	0	0	0	[]	0	0
5	123457118	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	146	102	0	0	0	0	[]	0	0
6	123457118	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	146	102	0	0	0	0	[]	0	0
7	123457118	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	146	102	0	0	0	0	[]	0	0
8	123457118	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	146	102	0	0	0	0	[]	0	0
9	123457118	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	146	102	0	0	0	0	[]	0	0
10	123457118	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	146	102	0	0	0	0	[]	0	0
11	123457118	187	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	146	102	0	0	0	1	[]	0	0
12	123457118	187	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	146	102	0	0	0	1	[]	0	0
13	123457118	187	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	146	102	0	0	0	1	[]	0	0
14	123457118	186	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	146	102	0	0	0	2	[]	0	0
15	123457118	179	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	146	102	0	0	0	2	[]	0	1
16	123457118	162	21	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	146	102	0	0	0	2	[]	0	2
17	123457118	147	32	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	146	102	0	0	0	2	[]	0	3
18	123457118	135	34	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	146	102	0	0	0	2	[]	0	3
19	123457118	119	35	32	2	0	0	0	0	0	0	0	0	0	0	0	0	0	29	1	0	0	1	146	102	0	0	0	2	[]	0	4
20	123457118	119	25	40	4	0	0	0	0	0	0	0	0	0	0	0	0	0	29	2	0	0	2	146	102	0	0	0	2	[]	0	5
21	123457118	119	18	41	10	0	0	0	0	0	0	0	0	0	0	0	0	0	31	3	0	0	3	146	102	0	0	0	2	[]	0	5
22	123457118	98	34	38	18	0	0	0	0	0	0	0	0	0	0	0	0	0	32	4	0	1	4	146	102	0	0	0	3	[]	0	5
23	123457118	78	44	42	24	0	0	0	0	0	0	0	0	0	0	0	0	0	34	4	0	2	4	146	102	0	0	0	3	[]	0	7
24	123457118	63	53	38	34	0	0	0	0	0	0	0	0	0	0	0	0	0	36	5	0	2	5	146	102	0	0	0	3	[]	0	8
25	123457118	49	46	57	36	0	0	0	0	0	0	0	0	0	0	0	0	0	38	6	0	2	6	146	102	0	0	0	3	[]	0	9
26	123457118	27	56	61	44	0	0	0	0	0	0	0	0	0	0	0	0	0	40	6	0	2	6	146	102	0	0	0	3	[]	0	10
27	123457118	27	42	56	63	0	0	0	0	0	0	0	0	0	0	0	0	0	43	8	0	3	8	146	102	0	0	0	3	[]	0	11
28	123457118	27	30	58	73	0	0	0	0	0	0	0	0	0	0	0	0	0	45	11	0	4	11	146	102	0	0	0	3	[]	0	11
29	123457118	14	32	62	80	0	0	0	0	0	0	0	0	0	0	0	0	0	48	12	0	6	12	146	102	0	0	0	3	[]	0	12
30	123457118	2	35	59	92	0	0	0	0	0	0	0	0	0	0	0	0	0	50	12	0	7	12	146	102	0	0	0	3	[]	0	11
31	123457118	2	27	61	98	0	0	0	0	0	0	0	0	0	0	0	0	0	53	14	0	8	14	146	102	0	0	0	3	[]	0	11
32	123457118	2	17	60	109	0	0	0	0	0	0	0	0	0	0	0	0	0	56	16	0	8	16	146	102	0	0	0	3	[]	0	11
33	123457118	0	12	61	115	0	0	0	0	0	0	0	0	0	0	0	0	0	59	16	0	9	16	146	102	0	0	0	3	[]	0	11
34	123457118	0	8	55	125	0	0	0	0	0	0	0	0	0	0	0	0	0	61	18	0	10	18	146	102	0	0	0	3	[]	0	11
35	123457118	0	5	51	132	0	0	0	0	0	0	0	0	0	0	0	0	0	64	19	0	12	19	146	102	0	0	0	3	[]	0	11
36	123457118	0	3	49	136	0	0	0	0	0	0	0	0	0	0	0	0	0	65	20	0	12	20	146	102	0	0	0	3	[]	0	11
37	123457118	0	2	43	143	0	0	0	0	0	0	0	0	0	0	0	0	0	67	20	0	12	20	146	102	0	0	0	3	[]	0	10
38	123457118	0	2	39	147	0	0	0	0	0	0	0	0	0	0	0	0	0	67	22	0	12	22	146	102	0	0	0	3	[]	0	10
39	123457118	0	2	33	153	0	0	0	0	0	0	0	0	0	0	0	0	0	70	25	0	12	25	146	102	0	0	0	3	[]	0	9
40	123457118	0	2	26	160	0	0	0	0	0	0	0	0	0	0	0	0	0	74	26	0	12	26	146	102	0	0	0	3	[]	0	9
41	123457118	0	1	25	162	0	0	0	0	0	0	0	0	0	0	0	0	0	76	26	0	12	26	146	102	0	0	0	3	[]	0	7
42	123457118	0	1	23	164	0	0	0	0	0	0	0	0	0	0	0	0	0	79	26	0	12	26	146	102	0	0	0	3	[]	0	7
43	123457118	0	1	21	166	0	0	0	0	0	0	0	0	0	0	0	0	0	80	26	0	12	26	146	102	0	0	0	3	[]	0	7
44	123457118	0	1	17	170	0	0	0	0	0	0	0	0	0	0	0	0	0	82	26	0	13	26	146	102	0	0	0	3	[]	0	7
