day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457219	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	32	0	0	0	0	[]	0	0
1	123457219	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	50	32	0	0	0	0	[]	0	0
2	123457219	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	50	32	0	0	0	0	[]	0	0
3	123457219	256	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	50	32	0	0	0	2	[]	0	0
4	123457219	247	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	50	32	0	0	0	2	[]	0	1
5	123457219	226	28	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	50	32	0	0	0	2	[]	0	2
6	123457219	225	21	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	50	32	0	0	0	3	[]	0	2
7	123457219	224	6	8	0	1	10	7	1	0	0	0	0	0	0	1	0	19	20	1	7	0	1	50	32	0	0	0	3	[1B]	1	3
8	123457219	200	14	4	0	12	7	18	1	0	0	1	0	0	0	0	1	38	22	1	13	1	1	50	32	0	0	0	3	[1B 3D]	2	3
9	123457219	187	10	1	0	16	12	24	5	0	0	1	1	0	0	0	1	57	25	1	19	2	1	50	32	0	0	0	3	[1B 3D 2B]	3	3
10	123457219	180	15	3	0	16	11	22	8	0	0	1	1	0	0	0	1	57	25	1	19	2	1	50	32	0	0	0	3	[1B 3D 2B]	3	4
11	123457219	174	16	7	1	16	8	22	11	0	0	1	1	0	0	0	1	57	29	1	19	2	1	50	32	0	0	0	3	[1B 3D 2B]	3	4
12	123457219	167	17	13	1	16	4	24	13	0	0	1	1	0	0	0	1	57	32	1	19	2	1	50	32	0	0	0	3	[1B 3D 2B]	3	4
13	123457219	167	10	17	4	16	4	22	15	0	0	1	1	0	0	0	1	57	32	1	19	2	1	50	32	0	0	0	3	[1B 3D 2B]	3	6
14	123457219	167	5	4	2	16	7	30	23	0	0	1	1	0	0	1	1	76	35	2	29	2	2	50	32	0	0	0	3	[1B 3D 2B 2C]	4	6
15	123457219	136	34	6	2	16	5	29	26	0	0	1	1	0	0	1	1	76	36	2	29	2	2	50	32	0	0	0	4	[1B 3D 2B 2C]	4	6
16	123457219	101	60	12	2	16	3	29	30	0	0	1	1	0	0	2	1	95	36	3	31	2	3	50	32	0	0	0	4	[1B 3D 2B 2C]	4	8
17	123457219	50	87	37	21	15	1	20	23	0	0	1	1	0	0	2	0	95	37	3	31	2	3	50	32	0	0	0	4	[3D 2B 2C]	3	9
18	123457219	44	76	40	35	4	11	25	19	0	0	1	0	0	0	3	0	114	37	4	40	2	4	50	32	0	0	0	5	[2B 2C 3B]	3	8
19	123457219	23	59	40	53	0	31	31	16	0	0	0	0	0	0	5	0	152	38	6	54	2	6	50	32	0	0	0	5	[2C 3B 3C 2A]	4	9
20	123457219	23	28	34	50	0	32	59	25	0	0	1	0	0	0	6	0	190	40	7	78	3	7	50	32	0	0	0	5	[2C 3B 3C 2A 1D 3A]	6	10
21	123457219	23	19	23	53	0	26	66	41	0	0	1	0	0	0	5	1	207	40	7	88	3	7	50	32	0	0	0	5	[2C 3B 3C 2A 1D 3A 2D]	7	10
22	123457219	9	31	23	55	0	20	64	49	0	0	1	0	0	0	3	3	207	42	7	88	3	7	50	32	0	0	0	5	[2C 3B 3C 2A 1D 3A 2D]	7	10
23	123457219	8	24	23	63	0	15	57	61	0	0	1	0	0	0	2	4	207	43	7	88	3	7	50	32	0	0	0	5	[2C 3B 3C 2A 1D 3A 2D]	7	10
24	123457219	8	12	16	79	0	18	61	56	0	0	1	0	0	0	4	3	245	43	9	98	3	9	50	32	0	0	0	5	[3B 3C 2A 1D 3A 2D 1A]	7	9
25	123457219	7	9	20	79	0	14	58	63	0	0	1	0	0	0	4	3	245	44	9	98	3	9	50	32	0	0	0	5	[3B 3C 2A 1D 3A 2D 1A]	7	9
