day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457021	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	111	0	0	0	0	[]	0	0
1	123457021	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	146	111	0	0	0	0	[]	0	0
2	123457021	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	146	111	0	0	0	0	[]	0	0
3	123457021	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	8	0	0	0	0	146	111	0	0	0	0	[]	0	0
4	123457021	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	11	0	0	0	0	146	111	0	0	0	0	[]	0	0
5	123457021	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	13	0	0	0	0	146	111	0	0	0	0	[]	0	0
6	123457021	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	15	0	0	0	0	146	111	0	0	0	0	[]	0	0
7	123457021	178	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	19	0	0	0	0	146	111	0	0	0	1	[]	0	0
8	123457021	178	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	22	0	0	0	0	146	111	0	0	0	1	[]	0	0
9	123457021	178	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	25	0	0	0	0	146	111	0	0	0	1	[]	0	0
10	123457021	178	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	27	0	0	0	0	146	111	0	0	0	1	[]	0	0
11	123457021	178	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	27	0	0	0	0	146	111	0	0	0	1	[]	0	0
12	123457021	178	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	31	0	0	0	0	146	111	0	0	0	1	[]	0	0
13	123457021	177	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	32	0	0	0	0	146	111	0	0	0	2	[]	0	0
14	123457021	176	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	34	0	0	0	0	146	111	0	0	0	3	[]	0	0
15	123457021	176	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	35	0	0	0	0	146	111	0	0	0	3	[]	0	0
16	123457021	172	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	180	37	0	0	0	0	146	111	0	0	0	3	[]	0	0
17	123457021	167	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	180	42	0	0	0	0	146	111	0	0	0	3	[]	0	1
18	123457021	157	14	8	0	0	0	0	0	0	0	0	0	0	0	0	0	180	43	0	0	0	0	146	111	0	0	0	3	[]	0	2
19	123457021	147	20	11	1	0	0	0	0	0	0	0	0	0	0	0	0	180	44	0	0	0	0	146	111	0	0	0	3	[]	0	2
20	123457021	147	11	19	2	0	0	0	0	0	0	0	0	0	0	0	0	180	46	0	0	0	0	146	111	0	0	0	3	[]	0	4
21	123457021	147	8	10	1	0	0	9	3	0	0	0	0	0	0	1	0	199	47	1	9	0	1	146	104	7	0	0	3	[3B]	1	4
22	123457021	139	6	1	2	4	4	18	4	0	0	0	0	0	0	1	0	291	49	1	19	0	1	146	101	10	0	0	3	[3B 2D]	2	4
23	123457021	123	20	3	2	4	4	17	5	0	0	0	0	0	0	1	0	291	52	1	19	0	1	146	101	10	0	0	3	[3B 2D]	2	4
24	123457021	108	29	8	3	4	2	18	6	0	0	0	0	0	0	1	0	291	54	1	19	0	1	146	101	10	0	0	3	[3B 2D]	2	5
25	123457021	90	38	16	4	4	1	18	7	0	0	0	0	0	0	1	0	291	57	1	19	0	1	146	101	10	0	0	3	[3B 2D]	2	5
26	123457021	68	37	8	4	4	10	32	12	0	0	1	0	0	0	3	0	348	58	3	35	1	3	146	89	22	0	0	3	[3B 2D 3D 3C]	4	9
27	123457021	67	18	11	4	5	12	39	17	0	0	2	0	0	0	3	1	405	61	4	45	2	4	146	82	29	0	0	3	[3B 2D 3D 3C 3A]	5	10
28	123457021	67	13	15	5	5	8	39	21	0	0	2	0	0	0	3	1	405	63	4	45	2	4	146	82	29	0	0	3	[3B 2D 3D 3C 3A]	5	10
29	123457021	42	17	9	6	16	8	49	25	0	0	2	0	0	0	4	1	485	63	5	55	2	5	146	68	43	0	0	3	[3B 2D 3D 3C 3A 1C 1A]	7	10
30	123457021	39	16	9	10	16	8	46	28	0	0	2	0	0	0	4	1	485	64	5	55	2	5	146	68	43	0	0	3	[3B 2D 3D 3C 3A 1C 1A]	7	10
31	123457021	39	12	4	22	16	9	45	26	0	0	1	1	0	0	3	1	502	64	5	60	2	5	146	68	43	0	0	3	[2D 3D 3C 3A 1C 1A 2B]	7	9
32	123457021	38	11	4	31	12	7	43	27	0	0	1	1	0	0	2	2	519	65	5	62	2	5	146	64	47	0	0	3	[3D 3C 3A 1C 1A 2B 1D]	7	9
33	123457021	34	13	5	32	12	6	41	30	0	0	1	1	0	0	2	2	519	65	5	62	2	5	146	64	47	0	0	3	[3D 3C 3A 1C 1A 2B 1D]	7	9
34	123457021	34	9	9	32	12	3	39	35	0	0	0	2	0	0	1	3	537	66	5	62	2	5	146	64	47	0	0	3	[3D 3C 3A 1C 1A 2B 1D]	7	9
35	123457021	34	4	14	32	12	2	38	37	0	0	0	2	0	0	1	3	537	67	5	62	2	5	146	64	47	0	0	3	[3D 3C 3A 1C 1A 2B 1D]	7	9
36	123457021	32	1	4	60	14	5	33	26	0	0	0	1	0	0	0	3	590	69	5	72	2	5	146	71	40	0	0	3	[3A 1C 1A 2B 1D 1B]	6	7
37	123457021	33	1	3	73	13	4	20	29	0	0	0	1	0	0	0	2	590	69	5	72	2	5	146	78	33	0	0	3	[1C 1A 2B 1D 1B]	5	5
38	123457021	33	1	3	73	13	3	20	30	0	0	0	1	0	0	0	2	590	70	5	72	2	5	146	78	33	0	0	3	[1C 1A 2B 1D 1B]	5	5
39	123457021	44	1	0	93	2	3	15	19	0	0	0	1	0	0	0	1	590	71	5	72	2	5	146	92	19	0	0	3	[2B 1D 1B]	3	3
40	123457021	44	1	0	93	2	1	15	21	0	0	0	1	0	0	0	1	590	72	5	72	2	5	146	92	19	0	0	3	[2B 1D 1B]	3	3
41	123457021	44	1	0	106	2	0	10	15	0	0	0	1	0	0	0	0	590	74	5	72	2	5	146	99	12	0	0	3	[1D 1B]	2	2
42	123457021	44	1	0	119	2	0	7	6	0	0	0	0	0	0	0	0	590	74	5	72	2	5	146	106	5	0	0	3	[1B]	1	1
43	123457021	44	1	0	119	2	0	5	8	0	0	0	0	0	0	0	0	645	74	5	72	2	5	146	106	5	0	0	3	[1B]	1	1
44	123457021	44	1	0	119	2	0	4	9	0	0	0	0	0	0	0	0	645	75	5	72	2	5	146	106	5	0	0	3	[1B]	1	1
45	123457021	44	1	0	119	2	0	4	9	0	0	0	0	0	0	0	0	645	77	5	72	2	5	146	106	5	0	0	3	[1B]	1	1
46	123457021	46	1	0	132	0	0	0	0	0	0	0	0	0	0	0	0	645	78	5	72	2	5	146	111	0	0	0	3	[]	0	0
47	123457021	46	1	0	132	0	0	0	0	0	0	0	0	0	0	0	0	645	79	5	72	2	5	146	111	0	0	0	3	[]	0	0
48	123457021	46	1	0	132	0	0	0	0	0	0	0	0	0	0	0	0	645	81	5	72	2	5	146	111	0	0	0	3	[]	0	0
49	123457021	46	1	0	132	0	0	0	0	0	0	0	0	0	0	0	0	645	83	5	72	2	5	146	111	0	0	0	3	[]	0	0
50	123457021	46	1	0	132	0	0	0	0	0	0	0	0	0	0	0	0	705	85	5	72	2	5	146	111	0	0	0	3	[]	0	0
51	123457021	46	1	0	132	0	0	0	0	0	0	0	0	0	0	0	0	705	89	5	72	2	5	146	111	0	0	0	3	[]	0	0
52	123457021	46	0	0	132	0	0	0	0	0	0	0	0	0	0	1	0	724	91	6	72	2	6	146	111	0	0	0	3	[]	0	1
53	123457021	46	0	0	132	0	0	0	0	0	0	0	0	0	0	1	0	724	94	6	72	2	6	146	111	0	0	0	3	[]	0	1
54	123457021	46	0	0	132	0	0	0	0	0	0	0	0	0	0	0	1	724	95	6	72	2	6	146	111	0	0	0	3	[]	0	0
55	123457021	46	0	0	132	0	0	0	0	0	0	0	0	0	0	0	1	724	95	6	72	2	6	146	111	0	0	0	3	[]	0	0
56	123457021	46	0	0	132	0	0	0	0	0	0	0	0	0	0	0	1	724	98	6	72	2	6	146	111	0	0	0	3	[]	0	0
57	123457021	46	0	0	132	0	0	0	0	0	0	0	0	0	0	0	1	803	103	6	72	2	6	146	111	0	0	0	3	[]	0	0
58	123457021	46	0	0	132	0	0	0	0	0	0	0	0	0	0	0	1	803	104	6	72	2	6	146	111	0	0	0	3	[]	0	0
59	123457021	46	0	0	132	0	0	0	0	0	0	0	0	0	0	0	1	803	107	6	72	2	6	146	111	0	0	0	3	[]	0	0
60	123457021	46	0	0	132	0	0	0	0	0	0	0	0	0	0	0	1	803	110	6	72	2	6	146	111	0	0	0	3	[]	0	0
