day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457004	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	116	0	0	0	0	[]	0	0
1	123457004	170	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	218	116	0	0	0	4	[]	0	0
2	123457004	161	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	218	116	0	0	0	10	[]	0	3
3	123457004	155	12	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	218	116	0	0	0	11	[]	0	3
4	123457004	146	18	8	1	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	1	0	218	116	0	0	0	12	[]	0	3
5	123457004	130	27	13	3	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	1	0	218	116	0	0	0	16	[]	0	4
6	123457004	128	27	14	4	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0	0	1	0	218	116	0	0	0	18	[]	0	5
7	123457004	128	17	21	7	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0	0	1	0	218	116	0	0	0	18	[]	0	7
8	123457004	116	27	19	9	0	0	0	0	0	0	0	1	0	0	2	0	0	13	2	0	1	2	218	116	0	0	0	19	[]	0	7
9	123457004	100	32	25	13	0	0	0	0	0	0	0	1	0	0	3	0	0	15	3	0	1	3	218	116	0	0	0	24	[]	0	9
10	123457004	85	38	32	15	0	0	0	0	0	0	0	1	0	0	2	1	0	15	3	0	1	3	218	116	0	0	0	25	[]	0	10
11	123457004	71	37	40	22	0	0	0	0	0	0	0	1	0	0	2	1	0	19	3	0	1	3	218	116	0	0	0	25	[]	0	10
12	123457004	55	43	45	27	0	0	0	0	0	0	0	1	0	0	2	1	0	20	3	0	1	3	218	116	0	0	0	25	[]	0	10
13	123457004	54	33	49	33	0	0	0	0	0	0	0	1	0	0	2	2	0	21	4	0	1	4	218	116	0	0	0	26	[]	0	11
14	123457004	53	24	49	42	0	0	0	0	0	0	1	0	0	0	3	2	0	24	5	0	2	5	218	116	0	0	0	27	[]	0	11
15	123457004	42	29	44	50	0	0	0	0	0	0	0	1	0	0	6	2	0	27	8	0	2	8	218	116	0	0	0	27	[]	0	12
16	123457004	31	34	41	55	0	0	0	0	0	0	1	1	0	0	9	2	0	30	11	0	3	11	218	116	0	0	0	28	[]	0	12
17	123457004	20	35	49	56	0	0	0	0	0	0	0	2	0	0	10	2	0	30	12	0	3	12	218	116	0	0	0	29	[]	0	12
18	123457004	14	29	54	65	0	0	0	0	0	0	0	2	0	0	6	4	0	33	12	0	3	12	218	116	0	0	0	29	[]	0	12
19	123457004	8	28	49	76	0	0	0	0	0	0	0	2	0	0	8	3	0	33	14	0	3	14	218	116	0	0	0	32	[]	0	11
20	123457004	8	18	54	80	0	0	0	0	0	0	0	2	0	0	6	6	0	33	15	0	3	15	218	116	0	0	0	32	[]	0	11
21	123457004	8	15	49	85	0	0	0	0	0	0	1	2	0	0	8	6	0	36	17	0	4	17	218	116	0	0	0	32	[]	0	11
22	123457004	6	14	45	90	0	0	0	0	0	0	2	2	0	0	7	8	0	38	18	0	5	18	218	116	0	0	0	33	[]	0	10
23	123457004	5	12	38	98	0	0	0	0	0	0	2	2	0	0	7	10	0	39	21	0	5	21	218	116	0	0	0	33	[]	0	10
24	123457004	4	9	36	106	0	0	0	0	0	0	1	2	0	0	7	9	0	39	21	0	5	21	218	116	0	0	0	33	[]	0	11
25	123457004	4	7	30	117	0	0	0	0	0	0	1	2	0	0	6	7	0	41	21	0	5	21	218	116	0	0	0	33	[]	0	10
26	123457004	3	6	28	124	0	0	0	0	0	0	1	1	0	0	7	4	0	45	22	0	5	22	218	116	0	0	0	33	[]	0	10
27	123457004	3	4	27	127	0	0	0	0	0	0	1	1	0	0	6	5	0	46	23	0	5	23	218	116	0	0	0	33	[]	0	9
28	123457004	2	2	25	131	0	0	0	0	0	0	0	2	0	0	4	8	0	46	24	0	5	24	218	116	0	0	0	34	[]	0	9
29	123457004	2	2	24	134	0	0	0	0	0	0	0	2	0	0	3	7	0	48	24	0	5	24	218	116	0	0	0	34	[]	0	9
30	123457004	2	2	20	138	0	0	0	0	0	0	0	2	0	0	2	8	0	52	25	0	5	25	218	116	0	0	0	34	[]	0	9
31	123457004	2	2	19	141	0	0	0	0	0	0	0	1	0	0	2	7	0	53	26	0	5	26	218	116	0	0	0	34	[]	0	9
32	123457004	2	1	18	145	0	0	0	0	0	0	0	0	0	0	2	6	0	54	26	0	5	26	218	116	0	0	0	34	[]	0	8
33	123457004	2	1	16	150	0	0	0	0	0	0	0	0	0	0	2	3	0	57	26	0	5	26	218	116	0	0	0	34	[]	0	8
34	123457004	2	1	16	150	0	0	0	0	0	0	0	0	0	0	2	3	0	61	26	0	5	26	218	116	0	0	0	34	[]	0	8
35	123457004	2	1	14	152	0	0	0	0	0	0	0	0	0	0	1	4	0	63	26	0	5	26	218	116	0	0	0	34	[]	0	8
36	123457004	2	0	10	158	0	0	0	0	0	0	0	0	0	0	1	3	0	65	26	0	5	26	218	116	0	0	0	34	[]	0	7
37	123457004	2	0	7	162	0	0	0	0	0	0	0	0	0	0	1	2	0	69	26	0	5	26	218	116	0	0	0	34	[]	0	5
38	123457004	2	0	7	163	0	0	0	0	0	0	0	0	0	0	1	1	0	69	26	0	5	26	218	116	0	0	0	34	[]	0	5
39	123457004	2	0	3	167	0	0	0	0	0	0	0	0	0	0	1	1	0	74	26	0	5	26	218	116	0	0	0	34	[]	0	4
40	123457004	2	0	3	168	0	0	0	0	0	0	0	0	0	0	1	0	0	77	26	0	5	26	218	116	0	0	0	34	[]	0	4
41	123457004	2	0	3	169	0	0	0	0	0	0	0	0	0	0	0	0	0	79	26	0	5	26	218	116	0	0	0	34	[]	0	3
42	123457004	2	0	2	170	0	0	0	0	0	0	0	0	0	0	0	0	0	83	26	0	5	26	218	116	0	0	0	34	[]	0	2
43	123457004	1	1	1	171	0	0	0	0	0	0	0	0	0	0	0	0	0	85	26	0	5	26	218	116	0	0	0	35	[]	0	1
44	123457004	1	1	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	86	26	0	5	26	218	116	0	0	0	35	[]	0	0
45	123457004	1	1	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	88	26	0	5	26	218	116	0	0	0	35	[]	0	0
46	123457004	1	1	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	90	26	0	5	26	218	116	0	0	0	35	[]	0	0
47	123457004	1	0	1	172	0	0	0	0	0	0	0	0	0	0	0	0	0	90	26	0	5	26	218	116	0	0	0	35	[]	0	0
48	123457004	1	0	1	172	0	0	0	0	0	0	0	0	0	0	0	0	0	92	26	0	5	26	218	116	0	0	0	35	[]	0	0
49	123457004	1	0	1	172	0	0	0	0	0	0	0	0	0	0	0	0	0	95	26	0	5	26	218	116	0	0	0	35	[]	0	0
50	123457004	1	0	1	172	0	0	0	0	0	0	0	0	0	0	0	0	0	97	26	0	5	26	218	116	0	0	0	35	[]	0	0
51	123457004	1	0	1	172	0	0	0	0	0	0	0	0	0	0	0	0	0	99	26	0	5	26	218	116	0	0	0	35	[]	0	0
52	123457004	1	0	1	172	0	0	0	0	0	0	0	0	0	0	0	0	0	101	26	0	5	26	218	116	0	0	0	35	[]	0	0
53	123457004	1	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	102	26	0	5	26	218	116	0	0	0	35	[]	0	0
54	123457004	1	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	104	26	0	5	26	218	116	0	0	0	35	[]	0	0
55	123457004	1	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	104	26	0	5	26	218	116	0	0	0	35	[]	0	0
56	123457004	1	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	104	26	0	5	26	218	116	0	0	0	35	[]	0	0
57	123457004	1	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	106	26	0	5	26	218	116	0	0	0	35	[]	0	0
58	123457004	1	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	108	26	0	5	26	218	116	0	0	0	35	[]	0	0
59	123457004	1	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	110	26	0	5	26	218	116	0	0	0	35	[]	0	0
60	123457004	1	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	112	26	0	5	26	218	116	0	0	0	35	[]	0	0
