day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457283	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	32	0	0	0	0	[]	0	0
1	123457283	254	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	32	0	0	0	4	[]	0	0
2	123457283	252	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	50	32	0	0	0	6	[]	0	0
3	123457283	246	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	50	32	0	0	0	10	[]	0	1
4	123457283	239	16	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	50	32	0	0	0	13	[]	0	3
5	123457283	222	28	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	50	32	0	0	0	18	[]	0	5
6	123457283	216	27	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	50	32	0	0	0	24	[]	0	8
7	123457283	215	22	18	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	50	32	0	0	0	25	[]	0	8
8	123457283	192	43	18	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	50	32	0	0	0	29	[]	0	7
9	123457283	155	63	35	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	50	32	0	0	0	32	[]	0	11
10	123457283	119	82	43	14	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	50	32	0	0	0	35	[]	0	9
11	123457283	86	87	62	21	0	0	0	0	0	0	1	0	0	0	1	0	0	8	1	0	1	1	50	32	0	0	0	40	[]	0	10
12	123457283	66	88	70	31	0	0	0	0	0	0	1	0	0	0	2	0	0	8	2	0	1	2	50	32	0	0	0	44	[]	0	11
13	123457283	66	67	82	39	0	0	0	0	0	0	2	0	0	0	2	0	0	9	2	0	2	2	50	32	0	0	0	44	[]	0	12
14	123457283	64	50	84	54	0	0	0	0	0	0	2	1	0	0	3	0	0	10	3	0	3	3	50	32	0	0	0	46	[]	0	12
15	123457283	43	57	82	69	0	0	0	0	0	0	2	1	0	0	3	1	0	10	4	0	3	4	50	32	0	0	0	48	[]	0	12
16	123457283	27	60	80	83	0	0	0	0	0	0	3	1	0	0	3	1	0	12	4	0	4	4	50	32	0	0	0	51	[]	0	12
17	123457283	17	54	81	97	0	0	0	0	0	0	2	2	0	0	3	2	0	13	5	0	4	5	50	32	0	0	0	51	[]	0	12
18	123457283	10	49	75	113	0	0	0	0	0	0	2	2	0	0	5	2	0	13	7	0	4	7	50	32	0	0	0	51	[]	0	12
19	123457283	1	41	83	120	0	0	0	0	0	0	2	2	0	0	6	3	0	13	9	0	4	9	50	32	0	0	0	51	[]	0	12
20	123457283	1	24	87	133	0	0	0	0	0	0	2	2	0	0	5	4	0	13	9	0	4	9	50	32	0	0	0	51	[]	0	12
21	123457283	1	16	88	139	0	0	0	0	0	0	2	2	0	0	6	4	0	13	10	0	4	10	50	32	0	0	0	51	[]	0	12
22	123457283	1	11	80	151	0	0	0	0	0	0	2	2	0	0	4	7	0	13	11	0	4	11	50	32	0	0	0	51	[]	0	12
23	123457283	1	7	76	158	0	0	0	0	0	0	3	2	0	0	3	8	0	14	11	0	5	11	50	32	0	0	0	51	[]	0	12
24	123457283	1	5	67	169	0	0	0	0	0	0	2	3	0	0	3	8	0	14	11	0	5	11	50	32	0	0	0	51	[]	0	12
25	123457283	1	4	57	182	0	0	0	0	0	0	2	2	0	0	3	7	0	14	11	0	5	11	50	32	0	0	0	51	[]	0	12
26	123457283	1	1	52	190	0	0	0	0	0	0	2	2	0	0	3	7	0	14	12	0	5	12	50	32	0	0	0	51	[]	0	12
27	123457283	1	0	50	194	0	0	0	0	0	0	2	1	0	0	2	8	0	14	12	0	5	12	50	32	0	0	0	51	[]	0	12
28	123457283	1	0	46	200	0	0	0	0	0	0	2	0	0	0	1	8	0	15	12	0	5	12	50	32	0	0	0	51	[]	0	11
29	123457283	1	0	40	206	0	0	0	0	0	0	2	0	0	0	1	8	0	16	13	0	5	13	50	32	0	0	0	51	[]	0	11
30	123457283	0	1	34	213	0	0	0	0	0	0	1	0	0	0	1	8	0	17	13	0	5	13	50	32	0	0	0	51	[]	0	11
31	123457283	0	0	34	215	0	0	0	0	0	0	1	0	0	0	1	7	0	17	13	0	5	13	50	32	0	0	0	51	[]	0	11
32	123457283	0	0	30	221	0	0	0	0	0	0	1	0	0	0	1	5	0	17	13	0	5	13	50	32	0	0	0	51	[]	0	11
33	123457283	0	0	24	228	0	0	0	0	0	0	1	0	0	0	2	3	0	17	14	0	5	14	50	32	0	0	0	51	[]	0	11
34	123457283	0	0	23	229	0	0	0	0	0	0	1	0	0	0	2	3	0	18	14	0	5	14	50	32	0	0	0	51	[]	0	11
35	123457283	0	0	20	233	0	0	0	0	0	0	1	0	0	0	1	3	0	20	14	0	5	14	50	32	0	0	0	51	[]	0	10
36	123457283	0	0	15	239	0	0	0	0	0	0	1	0	0	0	1	2	0	20	14	0	5	14	50	32	0	0	0	51	[]	0	9
37	123457283	0	0	12	243	0	0	0	0	0	0	0	0	0	0	1	2	0	20	14	0	5	14	50	32	0	0	0	51	[]	0	8
38	123457283	0	0	10	244	0	0	0	0	0	0	1	0	0	0	1	2	0	24	14	0	6	14	50	32	0	0	0	51	[]	0	8
39	123457283	0	0	9	245	0	0	0	0	0	0	1	0	0	0	1	2	0	26	14	0	6	14	50	32	0	0	0	51	[]	0	8
40	123457283	0	0	7	247	0	0	0	0	0	0	1	0	0	0	2	1	0	27	15	0	6	15	50	32	0	0	0	51	[]	0	7
41	123457283	0	0	5	249	0	0	0	0	0	0	1	0	0	0	0	3	0	28	15	0	6	15	50	32	0	0	0	51	[]	0	5
42	123457283	0	0	4	250	0	0	0	0	0	0	1	0	0	0	0	3	0	30	15	0	6	15	50	32	0	0	0	51	[]	0	4
43	123457283	0	0	4	251	0	0	0	0	0	0	1	0	0	0	0	2	0	31	15	0	6	15	50	32	0	0	0	51	[]	0	4
44	123457283	0	0	4	251	0	0	0	0	0	0	1	0	0	0	0	2	0	31	15	0	6	15	50	32	0	0	0	51	[]	0	4
45	123457283	0	0	3	251	0	0	0	0	0	0	1	0	0	0	1	2	0	31	16	0	6	16	50	32	0	0	0	51	[]	0	4
46	123457283	0	0	3	251	0	0	0	0	0	0	1	0	0	0	1	2	0	31	16	0	6	16	50	32	0	0	0	51	[]	0	4
47	123457283	0	0	1	254	0	0	0	0	0	0	1	0	0	0	1	1	0	31	16	0	6	16	50	32	0	0	0	51	[]	0	3
48	123457283	0	0	1	254	0	0	0	0	0	0	1	0	0	0	0	2	0	32	16	0	6	16	50	32	0	0	0	51	[]	0	2
49	123457283	0	0	1	254	0	0	0	0	0	0	1	0	0	0	0	2	0	33	16	0	6	16	50	32	0	0	0	51	[]	0	2
50	123457283	0	0	1	254	0	0	0	0	0	0	0	1	0	0	0	2	0	33	16	0	6	16	50	32	0	0	0	51	[]	0	1
51	123457283	0	0	1	254	0	0	0	0	0	0	0	1	0	0	0	2	0	33	16	0	6	16	50	32	0	0	0	51	[]	0	1
52	123457283	0	0	1	255	0	0	0	0	0	0	0	0	0	0	0	2	0	33	16	0	6	16	50	32	0	0	0	51	[]	0	1
53	123457283	0	0	1	255	0	0	0	0	0	0	0	0	0	0	0	2	0	33	16	0	6	16	50	32	0	0	0	51	[]	0	1
54	123457283	0	0	1	256	0	0	0	0	0	0	0	0	0	0	0	1	0	33	16	0	6	16	50	32	0	0	0	51	[]	0	1
55	123457283	0	0	1	256	0	0	0	0	0	0	0	0	0	0	0	1	0	34	16	0	6	16	50	32	0	0	0	51	[]	0	1
56	123457283	0	0	1	256	0	0	0	0	0	0	0	0	0	0	0	1	0	34	16	0	6	16	50	32	0	0	0	51	[]	0	1
57	123457283	0	0	1	256	0	0	0	0	0	0	0	0	0	0	0	1	0	34	16	0	6	16	50	32	0	0	0	51	[]	0	1
58	123457283	0	0	1	256	0	0	0	0	0	0	0	0	0	0	0	1	0	38	16	0	6	16	50	32	0	0	0	51	[]	0	1
59	123457283	0	0	1	257	0	0	0	0	0	0	0	0	0	0	0	0	0	38	16	0	6	16	50	32	0	0	0	51	[]	0	1
60	123457283	0	0	1	257	0	0	0	0	0	0	0	0	0	0	0	0	0	38	16	0	6	16	50	32	0	0	0	51	[]	0	1
