day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457092	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	0	0	0	0	[]	0	0
1	123457092	258	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	50	20	0	0	0	12	[]	0	0
2	123457092	204	60	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	50	20	0	0	0	23	[]	0	5
3	123457092	147	98	21	2	0	0	0	0	0	0	0	0	0	0	2	0	0	6	2	0	0	2	50	20	0	0	0	32	[]	0	7
4	123457092	104	110	48	5	0	0	0	0	0	0	0	0	0	0	3	0	0	6	3	0	0	3	50	20	0	0	0	41	[]	0	9
5	123457092	78	111	64	11	0	0	0	0	0	0	1	0	0	0	5	0	0	8	5	0	1	5	50	20	0	0	0	45	[]	0	10
6	123457092	77	68	96	20	0	0	0	0	0	0	2	0	0	0	7	0	0	9	7	0	2	7	50	20	0	0	0	46	[]	0	12
7	123457092	74	54	92	38	0	0	0	0	0	0	1	1	0	0	9	1	0	9	10	0	2	10	50	20	0	0	0	49	[]	0	12
8	123457092	53	62	93	49	0	0	0	0	0	0	1	1	0	0	9	2	0	11	11	0	2	11	50	20	0	0	0	51	[]	0	12
9	123457092	42	61	82	67	0	0	0	0	0	0	3	1	0	0	10	4	0	14	14	0	4	14	50	20	0	0	0	55	[]	0	12
10	123457092	36	53	82	81	0	0	0	0	0	0	3	1	0	0	10	4	0	15	14	0	4	14	50	20	0	0	0	58	[]	0	12
11	123457092	30	44	86	89	0	0	0	0	0	0	2	2	0	0	11	6	0	16	17	0	4	17	50	20	0	0	0	61	[]	0	12
12	123457092	28	30	89	101	0	0	0	0	0	0	2	2	0	0	11	7	0	16	18	0	4	18	50	20	0	0	0	62	[]	0	12
13	123457092	27	21	83	115	0	0	0	0	0	0	2	3	0	0	11	8	0	17	21	0	5	21	50	20	0	0	0	63	[]	0	12
14	123457092	26	13	83	124	0	0	0	0	0	0	3	3	0	0	9	9	0	20	21	0	6	21	50	20	0	0	0	64	[]	0	12
15	123457092	20	17	70	138	0	0	0	0	0	0	3	3	0	0	12	7	0	21	24	0	7	24	50	20	0	0	0	65	[]	0	12
16	123457092	15	17	63	149	0	0	0	0	0	0	4	2	0	0	13	7	0	22	27	0	8	27	50	20	0	0	0	67	[]	0	12
17	123457092	15	12	56	163	0	0	0	0	0	0	2	4	0	0	12	6	0	22	28	0	8	28	50	20	0	0	0	67	[]	0	12
18	123457092	15	9	48	174	0	0	0	0	0	0	1	5	0	0	13	5	0	24	29	0	8	29	50	20	0	0	0	67	[]	0	12
19	123457092	12	9	43	183	0	0	0	0	0	0	0	4	0	0	15	4	0	26	33	0	8	33	50	20	0	0	0	68	[]	0	12
20	123457092	12	5	40	189	0	0	0	0	0	0	0	4	0	0	14	6	0	27	34	0	8	34	50	20	0	0	0	68	[]	0	11
21	123457092	12	3	32	201	0	0	0	0	0	0	0	4	0	0	11	7	0	28	35	0	8	35	50	20	0	0	0	68	[]	0	11
22	123457092	11	3	32	203	0	0	0	0	0	0	0	4	0	0	9	8	0	29	35	0	8	35	50	20	0	0	0	68	[]	0	11
23	123457092	10	3	28	211	0	0	0	0	0	0	1	3	0	0	8	6	0	33	35	0	9	35	50	20	0	0	0	68	[]	0	11
24	123457092	9	3	24	216	0	0	0	0	0	0	1	2	0	0	8	7	0	33	36	0	9	36	50	20	0	0	0	68	[]	0	10
25	123457092	9	3	20	223	0	0	0	0	0	0	1	1	0	0	7	6	0	34	37	0	9	37	50	20	0	0	0	68	[]	0	10
26	123457092	9	2	21	227	0	0	0	0	0	0	1	0	0	0	6	4	0	36	37	0	9	37	50	20	0	0	0	68	[]	0	10
27	123457092	9	2	17	231	0	0	0	0	0	0	0	1	0	0	5	5	0	37	38	0	9	38	50	20	0	0	0	68	[]	0	10
28	123457092	9	2	14	235	0	0	0	0	0	0	0	1	0	0	5	4	0	40	38	0	9	38	50	20	0	0	0	68	[]	0	9
29	123457092	9	2	9	242	0	0	0	0	0	0	1	1	0	0	3	3	0	41	39	0	10	39	50	20	0	0	0	68	[]	0	7
30	123457092	8	2	10	243	0	0	0	0	0	0	1	1	0	0	1	4	0	43	39	0	10	39	50	20	0	0	0	68	[]	0	6
31	123457092	8	1	10	245	0	0	0	0	0	0	1	1	0	0	1	3	0	45	39	0	10	39	50	20	0	0	0	68	[]	0	6
32	123457092	7	1	11	245	0	0	0	0	0	0	1	1	0	0	1	3	0	46	39	0	10	39	50	20	0	0	0	69	[]	0	6
33	123457092	6	2	11	246	0	0	0	0	0	0	1	0	0	0	1	3	0	49	39	0	10	39	50	20	0	0	0	70	[]	0	6
34	123457092	5	2	11	248	0	0	0	0	0	0	1	0	0	0	1	2	0	51	39	0	10	39	50	20	0	0	0	71	[]	0	6
35	123457092	5	1	11	250	0	0	0	0	0	0	1	0	0	0	1	1	0	51	39	0	10	39	50	20	0	0	0	71	[]	0	6
36	123457092	5	0	9	253	0	0	0	0	0	0	1	0	0	0	0	2	0	52	39	0	10	39	50	20	0	0	0	71	[]	0	5
37	123457092	5	0	9	254	0	0	0	0	0	0	1	0	0	0	0	1	0	53	39	0	10	39	50	20	0	0	0	71	[]	0	5
38	123457092	5	0	9	254	0	0	0	0	0	0	1	0	0	0	0	1	0	54	39	0	10	39	50	20	0	0	0	71	[]	0	5
39	123457092	5	0	7	257	0	0	0	0	0	0	0	0	0	0	1	0	0	55	40	0	10	40	50	20	0	0	0	71	[]	0	4
40	123457092	4	1	7	257	0	0	0	0	0	0	0	0	0	0	1	0	0	57	40	0	10	40	50	20	0	0	0	72	[]	0	4
41	123457092	4	1	6	258	0	0	0	0	0	0	0	0	0	0	1	0	0	58	40	0	10	40	50	20	0	0	0	72	[]	0	3
42	123457092	4	1	6	258	0	0	0	0	0	0	0	0	0	0	1	0	0	59	40	0	10	40	50	20	0	0	0	72	[]	0	3
43	123457092	4	0	7	258	0	0	0	0	0	0	0	0	0	0	1	0	0	62	40	0	10	40	50	20	0	0	0	72	[]	0	3
44	123457092	3	1	4	260	0	0	0	0	0	0	1	0	0	0	1	0	0	66	40	0	11	40	50	20	0	0	0	73	[]	0	2
45	123457092	3	1	2	262	0	0	0	0	0	0	1	0	0	0	1	0	0	67	40	0	11	40	50	20	0	0	0	73	[]	0	2
46	123457092	3	1	1	263	0	0	0	0	0	0	1	0	0	0	1	0	0	69	40	0	11	40	50	20	0	0	0	73	[]	0	2
47	123457092	3	1	1	263	0	0	0	0	0	0	1	0	0	0	1	0	0	71	40	0	11	40	50	20	0	0	0	73	[]	0	2
48	123457092	2	2	1	263	0	0	0	0	0	0	1	0	0	0	0	1	0	73	40	0	11	40	50	20	0	0	0	74	[]	0	1
49	123457092	1	1	2	265	0	0	0	0	0	0	1	0	0	0	0	0	0	74	40	0	11	40	50	20	0	0	0	75	[]	0	2
50	123457092	1	1	2	265	0	0	0	0	0	0	1	0	0	0	0	0	0	76	40	0	11	40	50	20	0	0	0	75	[]	0	2
51	123457092	1	1	2	265	0	0	0	0	0	0	0	1	0	0	0	0	0	80	40	0	11	40	50	20	0	0	0	75	[]	0	1
52	123457092	1	1	1	266	0	0	0	0	0	0	0	1	0	0	0	0	0	82	40	0	11	40	50	20	0	0	0	75	[]	0	0
53	123457092	1	1	0	267	0	0	0	0	0	0	0	1	0	0	0	0	0	83	40	0	11	40	50	20	0	0	0	75	[]	0	0
54	123457092	1	0	1	268	0	0	0	0	0	0	0	0	0	0	0	0	0	84	40	0	11	40	50	20	0	0	0	75	[]	0	0
55	123457092	1	0	1	268	0	0	0	0	0	0	0	0	0	0	0	0	0	86	40	0	11	40	50	20	0	0	0	75	[]	0	0
