day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456866	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	32	0	0	0	0	[]	0	0
1	123456866	243	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	50	32	0	0	0	15	[]	0	0
2	123456866	216	39	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	50	32	0	0	0	28	[]	0	2
3	123456866	153	91	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	50	32	0	0	0	41	[]	0	5
4	123456866	59	151	45	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	1	50	32	0	0	0	50	[]	0	11
5	123456866	5	158	85	10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	6	50	32	0	0	0	50	[]	0	12
6	123456866	4	110	127	17	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	1	7	50	32	0	0	0	51	[]	0	12
7	123456866	3	77	140	38	0	0	0	0	0	0	0	0	0	0	0	0	0	10	14	0	2	14	50	32	0	0	0	52	[]	0	12
8	123456866	0	64	139	55	0	0	0	0	0	0	0	0	0	0	0	0	0	11	18	0	3	18	50	32	0	0	0	52	[]	0	12
9	123456866	0	42	143	73	0	0	0	0	0	0	0	0	0	0	0	0	0	15	24	0	5	24	50	32	0	0	0	52	[]	0	12
10	123456866	0	28	134	96	0	0	0	0	0	0	0	0	0	0	0	0	0	19	26	0	9	26	50	32	0	0	0	52	[]	0	12
11	123456866	0	23	124	111	0	0	0	0	0	0	0	0	0	0	0	0	0	21	28	0	9	28	50	32	0	0	0	52	[]	0	12
12	123456866	0	19	112	127	0	0	0	0	0	0	0	0	0	0	0	0	0	25	32	0	11	32	50	32	0	0	0	52	[]	0	12
13	123456866	0	11	100	147	0	0	0	0	0	0	0	0	0	0	0	0	0	28	34	0	13	34	50	32	0	0	0	52	[]	0	12
14	123456866	0	6	94	158	0	0	0	0	0	0	0	0	0	0	0	0	0	29	38	0	13	38	50	32	0	0	0	52	[]	0	12
15	123456866	0	4	88	166	0	0	0	0	0	0	0	0	0	0	0	0	0	29	39	0	13	39	50	32	0	0	0	52	[]	0	12
16	123456866	0	4	67	187	0	0	0	0	0	0	0	0	0	0	0	0	0	33	40	0	14	40	50	32	0	0	0	52	[]	0	12
17	123456866	0	3	56	199	0	0	0	0	0	0	0	0	0	0	0	0	0	35	43	0	16	43	50	32	0	0	0	52	[]	0	12
18	123456866	0	1	54	203	0	0	0	0	0	0	0	0	0	0	0	0	0	35	44	0	16	44	50	32	0	0	0	52	[]	0	12
19	123456866	0	1	48	209	0	0	0	0	0	0	0	0	0	0	0	0	0	37	46	0	17	46	50	32	0	0	0	52	[]	0	12
20	123456866	0	1	39	218	0	0	0	0	0	0	0	0	0	0	0	0	0	38	47	0	17	47	50	32	0	0	0	52	[]	0	12
21	123456866	0	0	36	222	0	0	0	0	0	0	0	0	0	0	0	0	0	38	48	0	17	48	50	32	0	0	0	52	[]	0	12
