day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457287	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	24	0	0	0	0	[]	0	0
1	123457287	251	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	50	24	0	0	0	15	[]	0	0
2	123457287	188	71	7	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	50	24	0	0	0	27	[]	0	5
3	123457287	128	92	26	0	10	4	5	0	0	0	0	0	0	0	1	0	79	7	1	5	0	1	50	24	0	0	0	34	[1D]	1	6
4	123457287	95	76	31	4	14	22	19	2	0	0	1	0	0	0	2	0	117	10	2	17	1	2	50	24	0	0	0	37	[1D 3C 3B]	3	9
5	123457287	67	66	30	3	14	32	40	9	0	0	1	0	0	0	4	0	155	10	4	33	1	4	50	24	0	0	0	39	[1D 3C 3B 1A 2B]	5	10
6	123457287	62	49	47	5	14	21	47	15	0	0	1	0	0	0	5	0	174	12	5	35	1	5	50	24	0	0	0	44	[1D 3C 3B 1A 2B]	5	11
7	123457287	57	34	28	4	14	23	74	24	0	0	1	1	0	0	4	2	212	14	6	58	2	6	50	24	0	0	0	49	[1D 3C 3B 1A 2B 1C 1B]	7	12
8	123457287	21	38	17	4	22	29	94	32	0	0	1	1	0	0	5	2	288	14	7	75	2	7	50	24	0	0	0	49	[1D 3C 3B 1A 2B 1C 1B 2A 3A]	9	12
9	123457287	7	42	24	7	22	21	93	41	0	0	1	1	0	0	5	2	288	14	7	75	2	7	50	24	0	0	0	50	[1D 3C 3B 1A 2B 1C 1B 2A 3A]	9	12
10	123457287	4	35	32	9	22	18	79	58	0	0	0	2	0	0	3	4	288	14	7	75	2	7	50	24	0	0	0	51	[1D 3C 3B 1A 2B 1C 1B 2A 3A]	9	12
11	123457287	4	21	28	10	22	16	80	76	0	0	0	2	0	0	1	6	305	14	7	83	2	7	50	24	0	0	0	51	[1D 3C 3B 1A 2B 1C 1B 2A 3A 3D]	10	12
12	123457287	3	14	32	14	22	11	73	88	0	0	0	2	0	0	1	6	305	14	7	83	2	7	50	24	0	0	0	51	[1D 3C 3B 1A 2B 1C 1B 2A 3A 3D]	10	12
13	123457287	10	10	21	25	12	6	77	97	0	0	0	2	0	0	1	5	322	14	7	94	2	7	50	24	0	0	0	54	[3C 3B 1A 2B 1C 1B 2A 3A 3D 2C]	10	11
14	123457287	13	5	14	54	8	5	75	85	0	0	0	1	0	0	2	4	341	14	8	104	2	8	50	24	0	0	0	55	[1A 2B 1C 1B 2A 3A 3D 2C 2D]	9	10
