day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457102	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	66	0	0	0	0	[]	0	0
1	123457102	216	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	146	66	0	0	0	8	[]	0	0
2	123457102	171	49	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	146	66	0	0	0	20	[]	0	4
3	123457102	138	70	15	0	0	0	0	0	0	0	0	0	0	0	1	0	19	5	1	0	0	1	146	66	0	0	0	30	[]	0	6
4	123457102	98	79	23	2	0	9	9	0	0	0	0	0	0	0	4	0	76	10	4	9	0	4	146	62	4	0	0	38	[1A]	1	11
5	123457102	63	88	29	5	0	14	18	2	0	0	0	0	0	0	4	1	95	11	5	16	0	5	146	59	7	0	0	45	[1A 2C]	2	12
6	123457102	58	59	44	8	1	18	25	5	0	0	1	0	0	0	3	2	114	12	5	20	1	5	146	55	11	0	0	49	[1A 2C 2B]	3	11
7	123457102	56	35	50	12	2	20	35	7	0	0	2	0	0	0	3	2	133	14	5	28	2	5	146	51	15	0	0	50	[1A 2C 2B 1C]	4	12
8	123457102	35	22	22	9	6	23	64	20	0	0	2	0	6	3	9	3	209	14	9	56	2	9	146	37	26	0	3	52	[1A 2C 2B 1C 2A 3C 1D 3A]	8	12
9	123457102	31	20	24	12	6	15	69	24	0	0	2	0	6	2	7	6	228	14	9	57	2	9	146	37	26	0	3	54	[1A 2C 2B 1C 2A 3C 1D 3A]	8	12
10	123457102	27	19	25	16	6	12	63	33	0	0	2	0	6	1	7	7	228	16	9	57	2	9	146	37	26	0	3	56	[1A 2C 2B 1C 2A 3C 1D 3A]	8	12
11	123457102	25	18	25	19	6	6	62	40	0	0	1	1	6	1	7	7	228	16	9	57	2	9	146	37	26	0	3	57	[1A 2C 2B 1C 2A 3C 1D 3A]	8	12
12	123457102	24	13	16	17	6	6	59	59	0	0	1	1	6	1	8	7	247	16	10	66	2	10	146	34	29	0	3	58	[1A 2C 2B 1C 2A 3C 1D 3A 2D]	9	12
13	123457102	24	8	18	21	6	3	55	66	0	0	1	1	6	0	7	8	247	16	10	66	2	10	146	34	29	0	3	58	[1A 2C 2B 1C 2A 3C 1D 3A 2D]	9	12
14	123457102	23	6	11	31	6	2	52	71	0	0	1	2	6	0	6	7	266	20	10	71	3	10	146	35	28	0	3	59	[2C 2B 1C 2A 3C 1D 3A 2D 1B]	9	11
