day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457052	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	33	0	0	0	0	[]	0	0
1	123457052	245	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	33	0	0	0	12	[]	0	0
2	123457052	232	23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	50	33	0	0	0	22	[]	0	2
3	123457052	214	37	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	50	33	0	0	0	28	[]	0	5
4	123457052	188	51	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	50	33	0	0	0	33	[]	0	8
5	123457052	155	69	29	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	50	33	0	0	0	36	[]	0	8
6	123457052	145	55	46	11	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	50	33	0	0	0	46	[]	0	11
7	123457052	118	39	42	16	21	6	11	1	0	0	1	0	0	0	2	0	57	10	2	11	1	2	50	33	0	0	0	52	[1D 2D]	2	11
8	123457052	87	31	19	17	40	9	37	10	0	0	2	0	0	0	5	0	133	13	5	33	2	5	50	33	0	0	0	55	[1D 2D 2B 3C 1A]	5	11
9	123457052	74	33	14	10	43	9	43	22	0	0	3	0	0	0	5	1	171	15	6	42	3	6	50	33	0	0	0	59	[1D 2D 2B 3C 1A 3B]	6	11
10	123457052	59	27	16	9	48	11	46	31	0	0	2	1	0	0	6	1	190	15	7	49	3	7	50	33	0	0	0	63	[1D 2D 2B 3C 1A 3B 2A]	7	11
11	123457052	50	23	12	6	48	14	52	41	0	0	2	1	0	0	7	1	209	16	8	56	3	8	50	33	0	0	0	65	[1D 2D 2B 3C 1A 3B 2A 3A]	8	12
12	123457052	31	13	8	4	61	18	58	52	0	0	2	1	0	0	8	1	243	16	9	63	3	9	50	33	0	0	0	67	[1D 2D 2B 3C 1A 3B 2A 3A 2C 1B]	10	12
