,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,239.7906,0.2691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2691,0.0000,0.0000
2,2,239.5059,0.5225,0.0805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0029,0.0000,0.0000,0.0000,0.0030,0.0000,0.0902,1.5366,0.0030,0.0000,0.0029,0.0030,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5260,0.0000,0.0827
3,3,239.1125,0.7686,0.1704,0.0135,0.0961,0.0148,0.0837,0.0000,0.0000,0.0000,0.0000,0.0029,0.0000,0.0000,0.0064,0.0000,61.0938,2.2716,0.0064,0.0822,0.0029,0.0064,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8208,0.0064,0.2207
4,4,238.5984,1.1128,0.3639,0.0362,0.0961,0.0121,0.0730,0.0175,0.0000,0.0000,0.0000,0.0029,0.0503,0.0030,0.0135,0.0000,61.1806,2.9716,0.0135,0.0832,0.0029,0.0135,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0902,0.0079,0.3746
5,5,237.9355,1.5571,0.5875,0.1038,0.0961,0.0121,0.0667,0.0291,0.0000,0.0000,0.0048,0.0029,0.0503,0.0000,0.0205,0.0029,61.3356,3.6975,0.0200,0.0880,0.0064,0.0200,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3659,0.0079,0.5202
6,6,237.6837,1.3523,0.9558,0.1975,0.0961,0.0074,0.0692,0.0358,0.0000,0.0000,0.0094,0.0029,0.0503,0.0000,0.0279,0.0048,61.5483,4.4354,0.0286,0.0924,0.0108,0.0286,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6261,0.0079,0.7130
7,7,237.4307,1.1845,1.1893,0.3243,0.1657,0.0102,0.0716,0.0448,0.0467,0.0000,0.0101,0.0064,0.0503,0.0000,0.0389,0.0048,61.7929,5.1373,0.0397,0.1030,0.0121,0.0397,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8378,0.0135,0.8968
8,8,236.0978,2.1121,1.3828,0.4685,0.3933,0.0263,0.0810,0.0639,0.0467,0.0000,0.0154,0.0079,0.0503,0.0000,0.0447,0.0121,63.2896,5.8783,0.0513,0.1272,0.0187,0.0513,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1013,0.0274,1.0703
9,9,234.6475,3.0468,1.7795,0.6384,0.4576,0.0334,0.0891,0.0847,0.0467,0.0000,0.0180,0.0079,0.0503,0.0000,0.0478,0.0212,63.6255,6.6331,0.0629,0.1436,0.0213,0.0629,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3483,0.0323,1.2407
