,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,237.8141,0.8040,0.9799,0.0000,0.0000,0.0000,0.0000,0.0000,0.0955,0.0000,0.0050,0.0000,0.2864,0.0000,0.0151,0.0000,0.0000,0.6030,0.0151,0.0000,0.0050,0.0151,0.0000,0.0000,0.0000,50.0000,0.0000,0.0201,1.0000
2,2.0000,236.8794,1.3065,1.1055,0.1055,0.0000,0.0000,0.0000,0.0000,0.1809,0.0050,0.0151,0.0000,0.3769,0.0000,0.0201,0.0050,0.0000,1.3819,0.0201,0.0000,0.0101,0.0201,0.0000,0.0000,0.0000,50.0000,0.0000,0.0302,0.9296
3,3.0000,235.8995,1.9146,1.3166,0.2663,0.0000,0.0000,0.0000,0.0000,0.1809,0.0000,0.0201,0.0000,0.3769,0.0000,0.0151,0.0101,0.0000,2.0854,0.0201,0.0000,0.0101,0.0201,0.0000,0.0000,0.0000,50.0000,0.0000,0.0302,0.9045
4,4.0000,234.6382,2.4020,1.6181,0.4372,0.0000,0.0000,0.0000,0.0000,0.2513,0.0101,0.0352,0.0050,0.5176,0.0151,0.0402,0.0302,0.0000,2.8392,0.0302,0.0000,0.0151,0.0302,0.0000,0.0000,0.0000,50.0000,0.0000,0.0452,0.8593
5,5.0000,221.2613,0.2362,0.0000,0.2111,13.1658,1.5176,1.9899,0.4121,0.3266,0.0201,0.0402,0.0151,0.6533,0.0402,0.0653,0.0452,238.7940,3.5025,0.0402,1.9899,0.0201,0.0402,0.0000,0.0000,0.0000,50.0000,0.0000,0.9146,0.8995
6,6.0000,221.2613,0.1809,0.0553,0.2111,13.1658,1.0151,2.2412,0.6633,0.3266,0.0151,0.0402,0.0201,0.6533,0.0302,0.0653,0.0553,238.7940,4.1960,0.0402,1.9899,0.0201,0.0402,0.0000,0.0000,0.0000,50.0000,0.0000,0.9146,0.9347
7,7.0000,221.2613,0.1508,0.0754,0.2211,13.1658,0.7487,2.2814,0.8894,0.3266,0.0151,0.0352,0.0251,0.6533,0.0251,0.0704,0.0553,238.7940,4.9548,0.0402,1.9899,0.0201,0.0402,0.0000,0.0000,0.0000,50.0000,0.0000,0.9146,0.9347
8,8.0000,221.1859,0.1960,0.0854,0.2412,13.1658,0.4925,2.2563,1.1709,0.3266,0.0151,0.0302,0.0302,0.6533,0.0101,0.0704,0.0704,238.7940,5.6734,0.0402,1.9899,0.0201,0.0402,0.0000,0.0000,0.0000,50.0000,0.0000,0.9146,0.9347
9,9.0000,221.0050,0.2362,0.1055,0.2613,13.1658,0.3618,2.0854,1.4724,0.4121,0.0151,0.0251,0.0503,0.6533,0.0050,0.0553,0.0905,238.7940,6.3618,0.0402,1.9899,0.0251,0.0402,0.0000,0.0000,0.0000,50.0000,0.0000,0.9196,0.9497
10,10.0000,220.8593,0.3015,0.1709,0.2764,13.1658,0.2613,1.8693,1.7889,0.4121,0.0151,0.0201,0.0553,0.6533,0.0050,0.0402,0.1055,238.7940,7.0151,0.0402,1.9899,0.0251,0.0402,0.0000,0.0000,0.0000,50.0000,0.0000,0.9196,0.9548
11,11.0000,220.6533,0.3317,0.2161,0.3065,13.1658,0.1709,1.6884,2.0603,0.4975,0.0151,0.0302,0.0603,0.6533,0.0000,0.0402,0.1106,238.7940,7.5829,0.0402,1.9899,0.0302,0.0402,0.0000,0.0000,0.0000,50.0000,0.0000,0.9246,0.9146
12,12.0000,218.3317,0.0553,0.0000,0.2060,15.4874,0.3065,1.7940,2.4121,0.4975,0.0151,0.0302,0.0603,0.6533,0.0000,0.0302,0.1206,460.3015,8.3065,0.0402,2.2563,0.0302,0.0402,0.0000,0.0000,0.0000,50.0000,0.0000,1.0704,0.9045
13,13.0000,218.3317,0.0352,0.0201,0.2060,15.4874,0.2111,1.6834,2.6181,0.4975,0.0151,0.0201,0.0704,0.6533,0.0000,0.0201,0.1307,460.3015,9.0151,0.0402,2.2563,0.0302,0.0402,0.0000,0.0000,0.0000,50.0000,0.0000,1.0704,0.8593
14,14.0000,218.3317,0.0201,0.0251,0.2161,15.4874,0.1256,1.5226,2.8643,0.4975,0.0101,0.0251,0.0704,0.6533,0.0000,0.0151,0.1357,460.3015,9.5477,0.0402,2.2563,0.0302,0.0402,0.0000,0.0000,0.0000,50.0000,0.0000,1.0704,0.8141
15,15.0000,218.6985,0.0251,0.0302,0.2412,15.4874,0.0955,1.3216,3.0955,0.4020,0.0101,0.0201,0.0704,0.3668,0.0000,0.0151,0.1206,460.3015,10.1407,0.0402,2.2563,0.0302,0.0402,0.0000,0.0000,0.0000,50.0000,0.0000,1.0503,0.7588
16,16.0000,218.8342,0.0503,0.0452,0.2663,15.4874,0.0503,1.2362,3.2261,0.3166,0.0050,0.0201,0.0603,0.2764,0.0000,0.0151,0.1106,460.3015,10.8643,0.0402,2.2563,0.0302,0.0402,0.0000,0.0000,0.0000,50.0000,0.0000,1.0402,0.7236
17,17.0000,218.7739,0.0905,0.0653,0.2663,15.4874,0.0452,1.1307,3.3367,0.3166,0.0050,0.0201,0.0603,0.2764,0.0000,0.0101,0.1156,460.3015,11.4724,0.0402,2.2563,0.0302,0.0402,0.0000,0.0000,0.0000,50.0000,0.0000,1.0402,0.7085
