,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,238.1843,0.9358,0.9990,0.0000,0.0000,0.0000,0.0000,0.0000,0.2764,0.0000,0.0145,0.0000,0.6015,0.0000,0.0317,0.0000,0.0000,0.7171,0.0317,0.0000,0.0145,0.0317,0.0000,0.0392,1.0000
2,2,237.3355,1.4873,1.1891,0.1476,0.0000,0.0000,0.0000,0.0000,0.4255,0.0148,0.0367,0.0000,0.7361,0.0000,0.0438,0.0147,0.0000,1.5282,0.0393,0.0000,0.0236,0.0393,0.0000,0.0535,0.9719
3,3,236.3853,2.1433,1.4443,0.3307,0.0000,0.0000,0.0000,0.0000,0.4255,0.0000,0.0508,0.0000,0.7361,0.0000,0.0317,0.0237,0.0000,2.2499,0.0393,0.0000,0.0236,0.0393,0.0000,0.0535,0.9546
4,4,235.2255,2.6805,1.7976,0.5171,0.0000,0.0000,0.0000,0.0000,0.5297,0.0293,0.0772,0.0147,0.9222,0.0368,0.0895,0.0605,0.0000,3.0249,0.0535,0.0000,0.0317,0.0535,0.0000,0.0736,0.9156
5,5,222.3587,0.3100,0.0000,0.2827,14.2054,1.7374,2.2243,0.4981,0.6393,0.0473,0.0809,0.0317,1.0942,0.0921,0.1328,0.0846,239.4425,3.7363,0.0669,2.2243,0.0392,0.0669,0.0000,0.9721,0.9589
6,6,222.3587,0.2506,0.0858,0.2827,14.2054,1.1866,2.5042,0.7883,0.6393,0.0366,0.0809,0.0436,1.0942,0.0704,0.1282,0.0989,239.4425,4.4641,0.0669,2.2243,0.0392,0.0669,0.0000,0.9721,1.0013
7,7,222.3587,0.2102,0.1109,0.2961,14.2054,0.8859,2.5555,1.0302,0.6393,0.0366,0.0724,0.0570,1.0942,0.0566,0.1367,0.0989,239.4425,5.2472,0.0669,2.2243,0.0392,0.0669,0.0000,0.9721,1.0062
8,8,222.2863,0.2722,0.1233,0.3174,14.2054,0.5942,2.5394,1.3435,0.6393,0.0366,0.0605,0.0661,1.0942,0.0235,0.1350,0.1240,239.4425,5.9843,0.0669,2.2243,0.0392,0.0669,0.0000,0.9721,1.0114
9,9,222.1043,0.3230,0.1532,0.3422,14.2054,0.4467,2.3426,1.6753,0.7640,0.0317,0.0504,0.1011,1.0942,0.0145,0.1049,0.1626,239.4425,6.6920,0.0669,2.2243,0.0465,0.0669,0.0000,0.9764,1.0259
10,10,221.9709,0.4178,0.2432,0.3581,14.2054,0.3336,2.0997,2.0305,0.7640,0.0317,0.0392,0.1121,1.0942,0.0145,0.0786,0.1930,239.4425,7.3627,0.0669,2.2243,0.0465,0.0669,0.0000,0.9764,1.0341
11,11,221.7939,0.4669,0.3073,0.3941,14.2054,0.2238,1.9095,2.3193,0.8839,0.0365,0.0605,0.1178,1.0942,0.0000,0.0808,0.1984,239.4425,7.9572,0.0669,2.2243,0.0535,0.0669,0.0000,0.9824,0.9992
12,12,219.8501,0.1014,0.0000,0.2775,16.8193,0.4118,2.0327,2.7062,0.8839,0.0365,0.0605,0.1178,1.0942,0.0000,0.0662,0.2217,461.6518,8.6964,0.0669,2.5246,0.0535,0.0669,0.0000,1.1477,0.9907
13,13,219.8501,0.0604,0.0476,0.2775,16.8193,0.2895,1.9226,2.9288,0.8839,0.0365,0.0436,0.1339,1.0942,0.0000,0.0435,0.2388,461.6518,9.4237,0.0669,2.5246,0.0535,0.0669,0.0000,1.1477,0.9481
14,14,219.8501,0.0394,0.0506,0.2934,16.8193,0.1845,1.7562,3.1993,0.8839,0.0293,0.0539,0.1339,1.0942,0.0000,0.0317,0.2466,461.6518,9.9603,0.0669,2.5246,0.0535,0.0669,0.0000,1.1477,0.9047
15,15,220.2726,0.0502,0.0573,0.3226,16.8193,0.1451,1.5319,3.4562,0.7455,0.0293,0.0473,0.1339,0.6815,0.0000,0.0317,0.2306,461.6518,10.5542,0.0669,2.5246,0.0535,0.0669,0.0000,1.1302,0.8475
16,16,220.4444,0.1036,0.0866,0.3536,16.8193,0.0849,1.4412,3.5956,0.6193,0.0146,0.0436,0.1225,0.5394,0.0000,0.0317,0.2190,461.6518,11.2865,0.0669,2.5246,0.0535,0.0669,0.0000,1.1215,0.8134
17,17,220.3999,0.1841,0.1197,0.3536,16.8193,0.0758,1.3210,3.7148,0.6193,0.0146,0.0436,0.1225,0.5394,0.0000,0.0236,0.2286,461.6518,11.9052,0.0669,2.5246,0.0535,0.0669,0.0000,1.1215,0.7999
18,18,220.6010,0.2014,0.1585,0.4985,16.8193,0.0601,1.1471,3.9018,0.5184,0.0146,0.0236,0.0893,0.3179,0.0000,0.0145,0.1451,461.6518,12.4958,0.0669,2.5246,0.0535,0.0669,0.0000,1.1082,0.7205
19,19,233.2569,0.0437,0.0000,4.7469,3.8077,0.1276,0.4690,0.5661,0.4024,0.0146,0.0146,0.0507,0.0000,0.0000,0.0000,0.0000,698.8833,13.1121,0.0669,2.6762,0.0535,0.0669,0.0000,0.2577,0.1972
20,20,233.2569,0.0236,0.0238,4.7469,3.8077,0.1101,0.4128,0.6399,0.4024,0.0000,0.0293,0.0507,0.0000,0.0000,0.0000,0.0000,698.8833,13.8371,0.0669,2.6762,0.0535,0.0669,0.0000,0.2577,0.1899
21,21,233.2569,0.0236,0.0238,4.7469,3.8077,0.1101,0.3887,0.6701,0.4024,0.0000,0.0293,0.0507,0.0000,0.0000,0.0000,0.0000,698.8833,14.4791,0.0669,2.6762,0.0535,0.0669,0.0000,0.2577,0.1899
22,22,233.2475,0.0367,0.0368,4.7469,3.8077,0.0864,0.3510,0.7195,0.4024,0.0000,0.0293,0.0507,0.0000,0.0000,0.0000,0.0000,698.8833,15.2279,0.0669,2.6762,0.0535,0.0669,0.0000,0.2577,0.1786
23,23,233.3292,0.0148,0.0572,4.7599,3.8077,0.0506,0.3237,0.7769,0.2490,0.0000,0.0146,0.0293,0.0000,0.0000,0.0000,0.0000,698.8833,15.8967,0.0669,2.6762,0.0535,0.0669,0.0000,0.2523,0.1802
24,24,233.3181,0.0437,0.0572,4.7599,3.8077,0.0367,0.3114,0.8027,0.2490,0.0000,0.0146,0.0293,0.0000,0.0000,0.0000,0.0000,698.8833,16.6195,0.0669,2.6762,0.0535,0.0669,0.0000,0.2523,0.1745
