,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,232.8693,0.5930,0.7085,0.0000,5.2513,0.0000,0.2764,0.0000,0.0000,0.0000,0.0000,0.0000,0.2864,0.0000,0.0151,0.0000,59.9246,0.7085,0.0151,0.2764,0.0000,0.0151,0.0000,0.0000,0.0000,50.0000,0.0000,0.2915,1.0000
2,2.0000,232.1156,0.8693,0.7437,0.1407,5.2513,0.0000,0.2513,0.0251,0.0000,0.0000,0.0000,0.0000,0.5678,0.0000,0.0251,0.0101,59.9246,1.4372,0.0302,0.2764,0.0000,0.0302,0.0000,0.0000,0.0000,50.0000,0.0000,0.3065,0.8442
3,3.0000,231.4271,1.3417,0.8744,0.2261,5.2513,0.0000,0.2261,0.0503,0.0000,0.0000,0.0000,0.0000,0.5678,0.0000,0.0151,0.0201,59.9246,2.0553,0.0302,0.2764,0.0000,0.0302,0.0000,0.0000,0.0000,50.0000,0.0000,0.3065,0.8141
4,4.0000,230.5829,1.6734,1.0704,0.3417,5.2513,0.0000,0.1960,0.0804,0.0000,0.0000,0.0000,0.0000,0.7136,0.0201,0.0452,0.0251,59.9246,2.7889,0.0402,0.2764,0.0000,0.0402,0.0000,0.0000,0.0000,50.0000,0.0000,0.3166,0.7940
5,5.0000,229.3970,1.9749,1.3970,0.4975,5.2513,0.0000,0.1558,0.1206,0.2462,0.0101,0.0402,0.0050,0.7789,0.0201,0.0704,0.0352,59.9246,3.4724,0.0452,0.2764,0.0151,0.0452,0.0000,0.0000,0.0000,50.0000,0.0000,0.3367,0.7839
6,6.0000,229.1910,1.4573,1.5829,0.7337,5.2513,0.0000,0.1357,0.1407,0.2462,0.0050,0.0352,0.0151,0.9849,0.0452,0.1106,0.0653,59.9246,4.1960,0.0603,0.2764,0.0151,0.0603,0.0000,0.0000,0.0000,50.0000,0.0000,0.3518,0.7990
7,7.0000,229.0452,1.0251,1.7889,0.9045,5.2513,0.0000,0.1256,0.1508,0.2965,0.0201,0.0603,0.0251,1.0804,0.0302,0.1206,0.0754,59.9246,4.8593,0.0653,0.2764,0.0201,0.0653,0.0000,0.0000,0.0000,50.0000,0.0000,0.3618,0.8090
8,8.0000,224.4472,0.8392,0.6482,0.5980,9.3719,0.3317,1.2563,0.6985,0.2965,0.0151,0.0553,0.0352,1.1055,0.0302,0.1658,0.1055,118.0905,5.5879,0.0704,0.6633,0.0201,0.0704,0.0000,0.0000,0.0000,50.0000,0.0000,0.6734,0.7940
9,9.0000,223.8744,1.0000,0.7638,0.6935,9.3719,0.2663,1.1558,0.8643,0.3618,0.0201,0.0754,0.0452,1.1859,0.0151,0.1809,0.1256,118.0905,6.3116,0.0754,0.6633,0.0251,0.0754,0.0000,0.0000,0.0000,50.0000,0.0000,0.6834,0.8090
10,10.0000,223.2513,1.0452,0.8291,0.8040,9.3719,0.2161,1.0653,1.0050,0.4774,0.0251,0.1307,0.0704,1.3467,0.0251,0.1910,0.1457,118.0905,6.9950,0.0854,0.6633,0.0352,0.0854,0.0000,0.0000,0.0000,50.0000,0.0000,0.7035,0.8090
11,11.0000,222.7437,1.2060,0.9548,0.9246,9.3719,0.1608,0.9397,1.1859,0.4774,0.0201,0.1256,0.0804,1.4070,0.0201,0.1960,0.1859,118.0905,7.7085,0.0905,0.6633,0.0352,0.0905,0.0000,0.0000,0.0000,50.0000,0.0000,0.7085,0.7940
12,12.0000,221.9447,1.2814,1.0603,1.0402,9.3719,0.1407,0.8392,1.3065,0.6935,0.0503,0.2161,0.1457,1.4925,0.0151,0.1910,0.2111,118.0905,8.4523,0.0955,0.6633,0.0553,0.0955,0.0000,0.0000,0.0000,50.0000,0.0000,0.7337,0.8141
13,13.0000,221.9296,0.9146,1.2513,1.1307,9.3719,0.1106,0.8090,1.3668,0.6935,0.0302,0.2010,0.1809,1.5075,0.0352,0.2111,0.2563,118.0905,9.1256,0.1005,0.6633,0.0553,0.1005,0.0000,0.0000,0.0000,50.0000,0.0000,0.7387,0.8342
14,14.0000,221.8492,0.6583,1.3367,1.2814,9.3719,0.0854,0.7186,1.4824,0.6935,0.0201,0.2010,0.1910,1.5879,0.0352,0.2111,0.2764,118.0905,9.8090,0.1055,0.6633,0.0553,0.1055,0.0000,0.0000,0.0000,50.0000,0.0000,0.7437,0.8191
15,15.0000,224.7789,0.3015,0.3116,0.8392,6.4523,0.3618,1.5980,2.1407,0.7638,0.0201,0.1809,0.2412,1.3417,0.0251,0.2613,0.3819,175.7538,10.5879,0.1156,1.0151,0.0603,0.1156,0.0000,0.0000,0.0000,50.0000,0.0000,0.6884,0.7839
16,16.0000,224.7940,0.4523,0.4121,0.8744,6.4523,0.2613,1.4874,2.3518,0.7638,0.0151,0.1558,0.2714,1.0603,0.0151,0.2613,0.3719,175.7538,11.2211,0.1156,1.0151,0.0603,0.1156,0.0000,0.0000,0.0000,50.0000,0.0000,0.6734,0.7990
17,17.0000,224.4824,0.5226,0.4874,0.9397,6.4523,0.2060,1.3467,2.5477,0.7638,0.0101,0.1457,0.2864,1.1357,0.0050,0.2362,0.4322,175.7538,11.8342,0.1206,1.0151,0.0603,0.1206,0.0000,0.0000,0.0000,50.0000,0.0000,0.6784,0.7688
18,18.0000,224.3467,0.6583,0.5779,1.0503,6.4523,0.1407,1.1960,2.7638,0.7638,0.0000,0.1457,0.2965,0.9899,0.0050,0.1859,0.4271,175.7538,12.5879,0.1206,1.0151,0.0603,0.1206,0.0000,0.0000,0.0000,50.0000,0.0000,0.6683,0.7688
19,19.0000,224.2714,0.6231,0.6231,1.2161,6.4523,0.1206,1.0352,2.9447,0.5729,0.0151,0.1407,0.2764,1.0653,0.0201,0.2111,0.4121,175.7538,13.4523,0.1307,1.0151,0.0653,0.1307,0.0000,0.0000,0.0000,50.0000,0.0000,0.6633,0.7286
20,20.0000,224.4774,0.4422,0.7286,1.3869,6.4523,0.0955,0.9296,3.0754,0.5729,0.0050,0.1256,0.3015,0.8593,0.0151,0.1608,0.3719,175.7538,14.1759,0.1307,1.0151,0.0653,0.1307,0.0000,0.0000,0.0000,50.0000,0.0000,0.6482,0.6985
21,21.0000,224.5678,0.2965,0.6633,1.5075,6.4523,0.0804,0.8191,3.2010,0.5226,0.0050,0.1106,0.2663,0.8191,0.0503,0.2060,0.4322,175.7538,14.7839,0.1407,1.0151,0.0653,0.1407,0.0000,0.0000,0.0000,50.0000,0.0000,0.6482,0.6734
22,22.0000,227.4472,0.2211,0.2412,3.3467,3.4925,0.1558,0.8392,1.9447,0.5226,0.0050,0.0905,0.2864,0.7940,0.0352,0.1709,0.4070,234.0704,15.4221,0.1407,1.1508,0.0653,0.1407,0.0000,0.0000,0.0000,50.0000,0.0000,0.4372,0.4925
23,23.0000,227.4724,0.2814,0.2714,3.4322,3.4925,0.1156,0.7839,2.0402,0.4573,0.0050,0.0804,0.2613,0.7136,0.0251,0.1709,0.3970,234.0704,16.1055,0.1407,1.1508,0.0653,0.1407,0.0000,0.0000,0.0000,50.0000,0.0000,0.4271,0.5025
24,24.0000,227.4673,0.3367,0.2965,3.5578,3.4925,0.0854,0.7035,2.1508,0.3417,0.0050,0.0553,0.2010,0.6935,0.0151,0.1809,0.4171,234.0704,16.7337,0.1508,1.1508,0.0653,0.1508,0.0000,0.0000,0.0000,50.0000,0.0000,0.4171,0.4824
25,25.0000,227.3869,0.3367,0.3367,3.5980,3.4925,0.0402,0.6683,2.2312,0.3668,0.0151,0.0804,0.2412,0.6332,0.0050,0.1658,0.4020,234.0704,17.4724,0.1508,1.1508,0.0704,0.1508,0.0000,0.0000,0.0000,50.0000,0.0000,0.4171,0.4925
26,26.0000,227.5327,0.3065,0.3317,3.7889,3.4925,0.0302,0.5427,2.3668,0.1910,0.0452,0.1256,0.1407,0.5477,0.0050,0.1206,0.4322,234.0704,18.1859,0.1508,1.1508,0.0804,0.1508,0.0000,0.0000,0.0000,50.0000,0.0000,0.4020,0.4673
27,27.0000,227.4724,0.2111,0.3618,3.9146,3.4925,0.0151,0.5126,2.4121,0.1910,0.0402,0.1256,0.1457,0.6080,0.0101,0.1206,0.3668,234.0704,18.8090,0.1558,1.1508,0.0804,0.1558,0.0000,0.0000,0.0000,50.0000,0.0000,0.4020,0.4422
28,28.0000,227.4372,0.1407,0.3216,3.9598,3.4925,0.0050,0.4171,2.5176,0.2362,0.0302,0.1457,0.1910,0.5980,0.0050,0.1407,0.3618,234.0704,19.5126,0.1608,1.1508,0.0854,0.1608,0.0000,0.0000,0.0000,50.0000,0.0000,0.4070,0.4372
29,29.0000,229.4523,0.1156,0.1106,6.0000,1.5477,0.0402,0.3869,0.9397,0.1658,0.0201,0.1307,0.1859,0.5578,0.0000,0.1206,0.2261,293.2161,20.2462,0.1608,1.2111,0.0854,0.1608,0.0000,0.0000,0.0000,50.0000,0.0000,0.2161,0.2563
30,30.0000,229.3819,0.1508,0.1407,6.0050,1.5477,0.0251,0.3518,0.9899,0.1658,0.0151,0.1206,0.2010,0.5578,0.0000,0.1106,0.2362,293.2161,20.9246,0.1608,1.2111,0.0854,0.1608,0.0000,0.0000,0.0000,50.0000,0.0000,0.2161,0.2663
31,31.0000,229.3668,0.1859,0.1859,6.0402,1.5477,0.0201,0.3015,1.0452,0.1658,0.0151,0.1055,0.2161,0.4824,0.0000,0.0955,0.2261,293.2161,21.6131,0.1608,1.2111,0.0854,0.1608,0.0000,0.0000,0.0000,50.0000,0.0000,0.2111,0.2563
32,32.0000,229.2764,0.2462,0.2060,6.0503,1.5477,0.0151,0.2513,1.1005,0.1658,0.0151,0.0854,0.2362,0.4824,0.0000,0.0854,0.2362,293.2161,22.3869,0.1608,1.2111,0.0854,0.1608,0.0000,0.0000,0.0000,50.0000,0.0000,0.2111,0.2513
33,33.0000,229.3970,0.2864,0.2211,6.1759,1.5477,0.0151,0.2111,1.1407,0.1106,0.0151,0.0603,0.2161,0.3417,0.0000,0.0754,0.1859,293.2161,23.2412,0.1608,1.2111,0.0854,0.1608,0.0000,0.0000,0.0000,50.0000,0.0000,0.1960,0.2312
34,34.0000,229.3367,0.2060,0.2462,6.1910,1.5477,0.0101,0.2060,1.1508,0.1106,0.0151,0.0402,0.2362,0.4020,0.0050,0.0905,0.2060,293.2161,23.9397,0.1658,1.2111,0.0854,0.1658,0.0000,0.0000,0.0000,50.0000,0.0000,0.2010,0.2161
35,35.0000,229.3769,0.1457,0.2060,6.3518,1.5477,0.0101,0.1608,1.1960,0.1256,0.0503,0.0704,0.2563,0.3467,0.0000,0.0302,0.1256,293.2161,24.7035,0.1658,1.2111,0.0905,0.1658,0.0000,0.0000,0.0000,50.0000,0.0000,0.1960,0.1759
