,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,237.8492,0.8643,0.9849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2864,0.0000,0.0151,0.0000,0.0000,0.7236,0.0151,0.0000,0.0000,0.0151,0.0000,0.0151,1.0000
2,2.0000,228.8995,0.6633,0.4925,0.0955,8.4673,0.2412,0.6231,0.0151,0.0905,0.0050,0.0050,0.0000,0.3769,0.0050,0.0201,0.0000,119.7487,1.4724,0.0201,0.5226,0.0050,0.0201,0.0000,0.4925,0.9347
3,3.0000,228.3568,0.9347,0.6030,0.1558,8.4673,0.2060,0.5628,0.1106,0.0905,0.0050,0.0050,0.0000,0.4724,0.0050,0.0201,0.0050,119.7487,2.1910,0.0251,0.5226,0.0050,0.0251,0.0000,0.4975,0.8442
4,4.0000,227.6382,1.1709,0.7739,0.2663,8.4673,0.1508,0.5628,0.1658,0.0905,0.0000,0.0101,0.0000,0.6332,0.0151,0.0402,0.0151,119.7487,2.9146,0.0352,0.5226,0.0050,0.0352,0.0000,0.5075,0.8392
5,5.0000,226.8543,1.4221,0.9095,0.3618,8.4673,0.1156,0.5327,0.2312,0.1508,0.0251,0.0251,0.0000,0.7940,0.0251,0.0603,0.0251,119.7487,3.5678,0.0452,0.5226,0.0101,0.0452,0.0000,0.5226,0.8342
6,6.0000,226.6533,0.9749,1.1407,0.4774,8.4673,0.0854,0.5075,0.2864,0.2663,0.0452,0.0754,0.0151,0.8794,0.0251,0.0704,0.0302,119.7487,4.2714,0.0503,0.5226,0.0201,0.0503,0.0000,0.5377,0.8191
7,7.0000,226.5477,0.6935,1.1709,0.6332,8.4673,0.0603,0.4874,0.3317,0.2663,0.0302,0.0804,0.0251,0.9849,0.0352,0.1307,0.0553,119.7487,4.8844,0.0603,0.5226,0.0201,0.0603,0.0000,0.5477,0.8442
8,8.0000,225.6834,1.1809,1.1809,0.7990,8.4673,0.0553,0.4422,0.3819,0.2663,0.0251,0.0754,0.0352,1.1759,0.0251,0.1407,0.0653,119.7487,5.5075,0.0704,0.5226,0.0201,0.0704,0.0000,0.5578,0.8593
9,9.0000,220.5879,0.3015,0.1357,0.2814,13.4020,0.6683,1.5729,1.1407,0.2663,0.0251,0.0603,0.0503,1.2513,0.0352,0.1508,0.0704,234.1206,6.1558,0.0754,1.2111,0.0201,0.0754,0.0000,0.9347,0.8492
10,10.0000,220.2814,0.3467,0.1809,0.2965,13.4020,0.4824,1.5226,1.3769,0.3317,0.0201,0.0854,0.0653,1.3367,0.0251,0.1407,0.1055,234.1206,6.6834,0.0804,1.2111,0.0251,0.0804,0.0000,0.9447,0.8291
11,11.0000,220.1206,0.3467,0.2462,0.2915,13.4020,0.3367,1.5126,1.5327,0.3719,0.0452,0.1005,0.0854,1.3367,0.0101,0.1357,0.1256,234.1206,7.3166,0.0804,1.2111,0.0302,0.0804,0.0000,0.9497,0.8241
12,12.0000,219.7739,0.4271,0.2864,0.3166,13.4020,0.2965,1.3518,1.7337,0.4472,0.0402,0.1106,0.1055,1.3920,0.0201,0.1508,0.1457,234.1206,7.9347,0.0854,1.2111,0.0352,0.0854,0.0000,0.9598,0.8191
13,13.0000,219.7739,0.3065,0.3769,0.3467,13.4020,0.2060,1.2312,1.9447,0.4472,0.0302,0.1055,0.1206,1.3920,0.0201,0.1256,0.1709,234.1206,8.5980,0.0854,1.2111,0.0352,0.0854,0.0000,0.9598,0.7789
14,14.0000,219.6985,0.2111,0.4171,0.3769,13.4020,0.1357,1.1357,2.1106,0.4472,0.0201,0.1005,0.1357,1.4673,0.0101,0.1457,0.1859,234.1206,9.2764,0.0905,1.2111,0.0352,0.0905,0.0000,0.9648,0.7286
15,15.0000,219.7889,0.3467,0.4322,0.4372,13.4020,0.1055,1.0151,2.2613,0.4472,0.0101,0.0804,0.1658,1.1809,0.0050,0.1357,0.1859,234.1206,9.9497,0.0905,1.2111,0.0352,0.0905,0.0000,0.9497,0.7035
16,16.0000,227.0201,0.1709,0.0754,1.1759,6.2312,0.2362,1.0955,1.8844,0.3568,0.0101,0.0754,0.1608,1.1658,0.0050,0.1357,0.2010,349.3467,10.6533,0.0955,1.3970,0.0352,0.0955,0.0000,0.5779,0.5327
17,17.0000,226.9347,0.2111,0.1156,1.1809,6.2312,0.1809,1.0251,2.0101,0.4372,0.0101,0.0754,0.1809,1.0704,0.0050,0.1206,0.2111,349.3467,11.2513,0.0955,1.3970,0.0402,0.0955,0.0000,0.5779,0.5327
