,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,237.8141,0.8040,0.9799,0.0000,0.0000,0.0000,0.0000,0.0000,0.0955,0.0000,0.0050,0.0000,0.2864,0.0000,0.0151,0.0000,0.0000,0.6030,0.0151,0.0000,0.0050,0.0151,0.0000,0.0201,1.0000
2,2.0000,236.8794,1.3065,1.1055,0.1055,0.0000,0.0000,0.0000,0.0000,0.1809,0.0050,0.0151,0.0000,0.3769,0.0000,0.0201,0.0050,0.0000,1.3819,0.0201,0.0000,0.0101,0.0201,0.0000,0.0302,0.9296
3,3.0000,221.5327,0.1558,0.0000,0.1206,15.3467,0.7789,1.3166,0.1457,0.1809,0.0000,0.0201,0.0000,0.3769,0.0000,0.0151,0.0101,239.3970,2.0854,0.0201,1.3166,0.0101,0.0201,0.0000,0.9095,0.9045
4,4.0000,221.5025,0.1457,0.0402,0.1206,15.3467,0.5427,1.3668,0.3317,0.1809,0.0000,0.0201,0.0000,0.3769,0.0000,0.0050,0.0201,239.3970,2.7085,0.0201,1.3166,0.0101,0.0201,0.0000,0.9095,0.8392
5,5.0000,221.4673,0.1558,0.0653,0.1206,15.3467,0.3869,1.3618,0.4925,0.1809,0.0000,0.0151,0.0050,0.3769,0.0000,0.0050,0.0201,239.3970,3.3518,0.0201,1.3166,0.0101,0.0201,0.0000,0.9095,0.8392
6,6.0000,221.4673,0.1055,0.1106,0.1256,15.3467,0.2864,1.2814,0.6734,0.1809,0.0000,0.0151,0.0050,0.3769,0.0000,0.0050,0.0201,239.3970,4.0402,0.0201,1.3166,0.0101,0.0201,0.0000,0.9095,0.8392
7,7.0000,221.2864,0.0854,0.0955,0.1407,15.3467,0.2060,1.2462,0.7889,0.1809,0.0000,0.0151,0.0050,0.5578,0.0000,0.0201,0.0251,239.3970,4.7286,0.0302,1.3166,0.0101,0.0302,0.0000,0.9196,0.8040
8,8.0000,221.2010,0.1357,0.1206,0.1508,15.3467,0.1357,1.1709,0.9347,0.1809,0.0000,0.0151,0.0050,0.5578,0.0000,0.0201,0.0251,239.3970,5.4171,0.0302,1.3166,0.0101,0.0302,0.0000,0.9196,0.8090
9,9.0000,221.0302,0.1809,0.1156,0.1809,15.3467,0.0854,1.0754,1.0804,0.2663,0.0050,0.0101,0.0201,0.5578,0.0000,0.0201,0.0251,239.3970,6.0704,0.0302,1.3166,0.0151,0.0302,0.0000,0.9246,0.7538
10,10.0000,219.7387,0.0201,0.0000,0.1407,16.6382,0.2010,1.0402,1.3166,0.2663,0.0050,0.0101,0.0201,0.5578,0.0000,0.0151,0.0302,460.9045,6.7085,0.0302,1.4523,0.0151,0.0302,0.0000,1.0050,0.7035
11,11.0000,219.7387,0.0201,0.0000,0.1407,16.6382,0.1357,0.9749,1.4472,0.2663,0.0000,0.0101,0.0251,0.5578,0.0000,0.0101,0.0352,460.9045,7.3467,0.0302,1.4523,0.0151,0.0302,0.0000,1.0050,0.6382
12,12.0000,219.7236,0.0251,0.0101,0.1407,16.6382,0.0905,0.9095,1.5578,0.2663,0.0000,0.0101,0.0251,0.5578,0.0000,0.0101,0.0352,460.9045,8.1407,0.0302,1.4523,0.0151,0.0302,0.0000,1.0050,0.6281
13,13.0000,219.7236,0.0201,0.0151,0.1407,16.6382,0.0603,0.8291,1.6683,0.2663,0.0000,0.0000,0.0352,0.5578,0.0000,0.0101,0.0352,460.9045,8.8744,0.0302,1.4523,0.0151,0.0302,0.0000,1.0050,0.5628
14,14.0000,219.7236,0.0151,0.0201,0.1407,16.6382,0.0352,0.7387,1.7839,0.2663,0.0000,0.0000,0.0352,0.5578,0.0000,0.0101,0.0352,460.9045,9.5477,0.0302,1.4523,0.0151,0.0302,0.0000,1.0050,0.5075
15,15.0000,220.0854,0.0302,0.0251,0.1608,16.6382,0.0201,0.6382,1.8995,0.1709,0.0000,0.0000,0.0302,0.2714,0.0000,0.0101,0.0201,460.9045,10.2714,0.0302,1.4523,0.0151,0.0302,0.0000,0.9849,0.4523
16,16.0000,220.2362,0.0553,0.0251,0.1859,16.6382,0.0151,0.5930,1.9497,0.0854,0.0000,0.0000,0.0151,0.1809,0.0000,0.0050,0.0151,460.9045,10.9397,0.0302,1.4523,0.0151,0.0302,0.0000,0.9749,0.4372
17,17.0000,235.2915,0.0050,0.0000,2.3920,1.5829,0.0402,0.1910,0.1960,0.0854,0.0000,0.0000,0.0151,0.1809,0.0000,0.0050,0.0151,698.9950,11.6131,0.0302,1.4925,0.0151,0.0302,0.0000,0.1156,0.0854
