,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,236.6533,0.7236,0.9146,0.0000,1.3367,0.0000,0.0704,0.0000,0.0000,0.0000,0.0000,0.0000,0.2864,0.0000,0.0151,0.0000,14.4472,0.7035,0.0151,0.0704,0.0000,0.0151,0.0000,0.0000,0.0000,50.0000,0.0000,0.0854,1.0000
2,2.0000,235.9095,1.1910,0.9698,0.1206,1.3367,0.0000,0.0653,0.0050,0.0955,0.0000,0.0050,0.0000,0.2864,0.0000,0.0050,0.0101,14.4472,1.4824,0.0151,0.0704,0.0050,0.0151,0.0000,0.0000,0.0000,50.0000,0.0000,0.0905,0.9146
3,3.0000,235.0402,1.6382,1.1357,0.2764,1.3367,0.0000,0.0653,0.0050,0.0955,0.0000,0.0050,0.0000,0.3769,0.0000,0.0151,0.0101,14.4472,2.1910,0.0201,0.0704,0.0050,0.0201,0.0000,0.0000,0.0000,50.0000,0.0000,0.0955,0.8643
4,4.0000,233.8040,2.2060,1.4422,0.4372,1.3367,0.0000,0.0452,0.0251,0.0955,0.0000,0.0050,0.0000,0.5427,0.0101,0.0402,0.0101,14.4472,2.9397,0.0302,0.0704,0.0050,0.0302,0.0000,0.0000,0.0000,50.0000,0.0000,0.1055,0.8744
5,5.0000,232.4472,2.8291,1.7940,0.6181,1.3367,0.0000,0.0402,0.0302,0.0955,0.0000,0.0050,0.0000,0.6683,0.0503,0.0603,0.0251,14.4472,3.7035,0.0402,0.0704,0.0050,0.0402,0.0000,0.0000,0.0000,50.0000,0.0000,0.1156,0.8593
6,6.0000,232.2161,2.0151,2.3166,0.8392,1.3367,0.0000,0.0302,0.0402,0.2462,0.0151,0.0352,0.0050,0.7487,0.0452,0.0603,0.0503,14.4472,4.3116,0.0452,0.0704,0.0151,0.0452,0.0000,0.0000,0.0000,50.0000,0.0000,0.1307,0.9347
7,7.0000,231.8844,1.3819,2.4874,1.1307,1.3367,0.0000,0.0251,0.0452,0.2814,0.0352,0.0603,0.0251,1.0452,0.0603,0.1206,0.0804,14.4472,4.9698,0.0653,0.0704,0.0201,0.0653,0.0000,0.0000,0.0000,50.0000,0.0000,0.1558,0.9950
8,8.0000,228.6583,1.7638,1.9095,1.3367,2.9849,0.1206,0.5126,0.2010,0.4422,0.0251,0.0955,0.0402,1.4523,0.0704,0.2714,0.1156,28.6784,5.6734,0.0955,0.1910,0.0302,0.0955,0.0000,0.0000,0.0000,50.0000,0.0000,0.3166,0.9749
9,9.0000,227.4020,2.2563,1.9698,1.5377,2.9849,0.0804,0.5025,0.2513,0.5126,0.0251,0.0905,0.0754,1.6784,0.1005,0.3467,0.1859,28.6784,6.3317,0.1156,0.1910,0.0352,0.1156,0.0000,0.0000,0.0000,50.0000,0.0000,0.3417,0.9899
