,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,236.2513,0.6482,0.8894,0.0000,1.9095,0.0000,0.1005,0.0000,0.0000,0.0000,0.0000,0.0000,0.1910,0.0000,0.0101,0.0000,29.0452,0.7739,0.0101,0.1005,0.0000,0.0101,0.0000,0.1106,1.0000
2,2.0000,235.4724,1.1055,0.8643,0.1457,1.9095,0.0000,0.0804,0.0201,0.0000,0.0000,0.0000,0.0000,0.3769,0.0000,0.0201,0.0050,29.0452,1.4774,0.0201,0.1005,0.0000,0.0201,0.0000,0.1206,0.8442
3,3.0000,234.3869,1.4171,0.9196,0.2613,1.9095,0.0000,0.0754,0.0251,0.0854,0.0101,0.0050,0.0000,0.7889,0.0553,0.0503,0.0101,29.0452,2.2513,0.0452,0.1005,0.0050,0.0452,0.0000,0.1508,0.7940
4,4.0000,233.2362,1.8693,1.2211,0.3568,1.9095,0.0000,0.0704,0.0302,0.0854,0.0050,0.0101,0.0000,0.9950,0.0754,0.1206,0.0151,29.0452,2.9447,0.0603,0.1005,0.0050,0.0603,0.0000,0.1658,0.8141
5,5.0000,231.9749,2.2111,1.4874,0.5075,1.9095,0.0000,0.0653,0.0352,0.1457,0.0151,0.0251,0.0151,1.2613,0.0854,0.2211,0.0402,29.0452,3.7437,0.0804,0.1005,0.0101,0.0804,0.0000,0.1910,0.7839
6,6.0000,231.5427,1.5025,1.8040,0.6281,1.9095,0.0000,0.0452,0.0553,0.3970,0.0603,0.1206,0.0251,1.4422,0.1256,0.2362,0.1055,29.0452,4.4724,0.0955,0.1005,0.0302,0.0955,0.0000,0.2261,0.8291
7,7.0000,231.1558,1.0402,1.8744,0.8040,1.9095,0.0000,0.0352,0.0653,0.5226,0.0503,0.1759,0.0553,1.7035,0.1156,0.3216,0.1709,29.0452,5.2010,0.1156,0.1005,0.0402,0.1156,0.0000,0.2563,0.8442
8,8.0000,228.1106,1.2111,1.1809,0.7538,4.1005,0.2010,0.6834,0.3417,0.5578,0.0452,0.2161,0.0854,1.8291,0.0854,0.3769,0.2211,57.4422,5.9095,0.1256,0.2965,0.0452,0.1256,0.0000,0.4372,0.8643
9,9.0000,227.3869,1.5327,1.1859,0.9497,4.1005,0.1508,0.6231,0.4523,0.5980,0.0402,0.2362,0.1307,1.8643,0.0804,0.3819,0.2864,57.4422,6.5930,0.1307,0.2965,0.0503,0.1307,0.0000,0.4472,0.8693
