,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,32.5732,0.6196,0.0958,0.0000,31.8326,0.0000,0.0882,0.0000,0.0000,0.0000,0.0000,0.0000,3.4406,0.0000,0.0095,0.0000,33.7669,0.6603,0.0095,0.0882,0.0000,0.0095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0958,0.0000
2,2,33.5464,1.3160,0.3385,0.1196,31.8326,0.0000,0.0720,0.0193,0.0000,0.0000,0.0000,0.0000,6.6431,0.0000,0.0280,0.0048,33.7669,1.3908,0.0189,0.0882,0.0000,0.0189,0.0000,0.0000,0.0000,0.0000,0.0000,0.1031,0.1299
3,3,38.9003,2.2478,0.6121,0.1812,31.8326,0.0000,0.0678,0.0241,1.4303,0.0198,0.0049,0.0000,12.9397,0.2101,0.0664,0.0094,33.7669,2.0570,0.0420,0.0882,0.0049,0.0420,0.0000,0.0000,0.0000,0.0000,0.0000,0.1248,0.1752
4,4,40.1705,3.2550,1.3556,0.2368,31.8326,0.0000,0.0638,0.0285,1.4303,0.0049,0.0198,0.0000,15.4421,0.2468,0.3514,0.0142,33.7669,2.4490,0.0552,0.0882,0.0049,0.0552,0.0000,0.0000,0.0000,0.0000,0.0000,0.1349,0.2226
5,5,43.0179,4.4909,2.5609,0.3170,31.8326,0.0000,0.0596,0.0331,2.1264,0.0245,0.1226,0.0246,18.4452,0.2051,0.9598,0.0474,33.7669,3.2534,0.0720,0.0882,0.0098,0.0720,0.0000,0.0000,0.0000,0.0000,0.0000,0.1506,0.2136
6,6,48.1940,2.6237,3.7763,0.4144,31.8326,0.0000,0.0421,0.0510,5.1143,0.1335,0.5852,0.0340,20.3242,0.3923,0.9571,0.1800,33.7669,3.7637,0.0840,0.0882,0.0286,0.0840,0.0000,0.0000,0.0000,0.0000,0.0000,0.1705,0.2483
7,7,52.5203,1.5504,4.2959,0.6729,31.8326,0.0000,0.0333,0.0594,6.5451,0.0765,0.8484,0.0904,22.6945,0.2662,1.3074,0.3539,33.7669,4.7866,0.0985,0.0882,0.0378,0.0985,0.0000,0.0000,0.0000,0.0000,0.0000,0.1848,0.2964
8,8,71.3073,2.2109,2.3897,0.9256,47.6463,0.3285,2.5511,0.5747,6.7412,0.0622,1.2923,0.1750,23.8320,0.1640,1.6189,0.5221,131.3821,5.7795,0.1060,0.2687,0.0421,0.1060,0.0000,0.0000,0.0000,0.0000,0.0000,0.2556,0.3322
9,9,68.6593,3.4383,2.6346,1.3312,47.6463,0.2296,2.1960,1.0371,7.0016,0.0475,1.3117,0.3632,23.9124,0.2137,1.5311,0.8416,131.3821,7.0096,0.1088,0.2687,0.0464,0.1088,0.0000,0.0000,0.0000,0.0000,0.0000,0.2564,0.3669
