,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,238.2409,0.9051,1.0015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6015,0.0000,0.0317,0.0000,0.0000,0.8178,0.0317,0.0000,0.0000,0.0317,0.0000,0.0317,1.0000
2,2,237.4861,1.4495,1.1216,0.1705,0.0000,0.0000,0.0000,0.0000,0.2807,0.0000,0.0148,0.0000,0.6015,0.0000,0.0148,0.0235,0.0000,1.6166,0.0317,0.0000,0.0148,0.0317,0.0000,0.0393,0.9609
3,3,236.5844,1.9905,1.3865,0.3438,0.0000,0.0000,0.0000,0.0000,0.2807,0.0000,0.0148,0.0000,0.7353,0.0000,0.0366,0.0235,0.0000,2.3444,0.0392,0.0000,0.0148,0.0392,0.0000,0.0465,0.9241
4,4,234.1220,2.3337,1.5082,0.5098,2.2621,0.2085,0.3277,0.0624,0.3847,0.0443,0.0652,0.0000,0.9640,0.0238,0.0812,0.0235,15.0666,3.1061,0.0535,0.1487,0.0238,0.0535,0.0000,0.1875,0.9589
5,5,232.8770,3.0001,1.8864,0.6943,2.2621,0.1564,0.3481,0.1076,0.3847,0.0443,0.0652,0.0000,1.1204,0.1131,0.1113,0.0505,15.0666,3.9213,0.0671,0.1487,0.0238,0.0671,0.0000,0.1989,0.9497
6,6,232.6856,2.1962,2.4164,0.9051,2.2621,0.1299,0.3179,0.1624,0.6140,0.0664,0.1140,0.0147,1.2247,0.0916,0.1166,0.0932,15.0666,4.5841,0.0737,0.1487,0.0393,0.0737,0.0000,0.2160,1.0245
7,7,232.4121,1.5494,2.5856,1.2230,2.2621,0.0821,0.3281,0.1908,0.6560,0.0934,0.1699,0.0636,1.5924,0.1071,0.2102,0.1305,15.0666,5.2132,0.0991,0.1487,0.0466,0.0991,0.0000,0.2457,1.0978
8,8,230.7385,2.3629,2.4850,1.6028,2.2621,0.0592,0.3256,0.2224,0.8855,0.0699,0.2030,0.1071,2.1072,0.1167,0.4313,0.1788,15.0666,5.9730,0.1378,0.1487,0.0604,0.1378,0.0000,0.2913,1.0844
9,9,229.3171,2.9956,2.6246,1.8209,2.2621,0.0451,0.2820,0.2772,0.9774,0.0605,0.1872,0.1671,2.4276,0.1721,0.5593,0.2933,15.0666,6.6711,0.1671,0.1487,0.0671,0.1671,0.0000,0.3238,1.1039
10,10,227.9079,3.4352,2.9466,2.0446,2.2621,0.0377,0.2746,0.2907,1.0705,0.1149,0.2949,0.1982,2.6312,0.2237,0.6596,0.4198,15.0666,7.3221,0.1899,0.1487,0.0802,0.1899,0.0000,0.3559,1.1828
11,11,225.5431,3.0700,2.7090,2.1034,3.9015,0.5669,1.0415,0.6841,1.0978,0.1372,0.3204,0.2704,2.7057,0.2562,0.6635,0.5578,29.8392,8.0656,0.2013,0.3059,0.0866,0.2013,0.0000,0.5212,1.2522
12,12,224.2549,3.2836,2.9341,2.3514,3.9015,0.4209,1.0639,0.8129,1.1077,0.1482,0.4179,0.4300,3.0490,0.3406,0.7758,0.7362,29.8392,8.7067,0.2350,0.3059,0.0987,0.2350,0.0000,0.5652,1.3406
13,13,223.9849,2.1313,3.2589,2.6266,3.9015,0.2513,1.1015,0.9414,1.1933,0.2022,0.4022,0.5608,3.2727,0.3697,0.9762,0.9737,29.8392,9.3722,0.2683,0.3059,0.1111,0.2683,0.0000,0.6065,1.4664
14,14,223.8107,1.4274,3.3180,2.8966,3.9015,0.2128,0.9636,1.1148,1.1933,0.1791,0.3838,0.6068,3.4821,0.3189,1.1530,1.2328,29.8392,10.0974,0.2956,0.3059,0.1111,0.2956,0.0000,0.6325,1.5119
15,15,222.7685,2.4006,3.2816,3.1856,3.9015,0.1419,0.8595,1.2741,1.2821,0.1630,0.3641,0.6773,3.2922,0.2647,1.1872,1.4228,29.8392,10.8093,0.3119,0.3059,0.1172,0.3119,0.0000,0.6375,1.5108
16,16,221.5509,2.9092,3.3363,3.3180,3.9015,0.0926,0.7843,1.3831,1.3774,0.1575,0.5758,0.8971,3.5366,0.2168,1.2182,1.6413,29.8392,11.6119,0.3335,0.3059,0.1493,0.3335,0.0000,0.6782,1.5388
17,17,220.5641,3.1669,3.6102,3.6654,3.9015,0.0667,0.6599,1.5419,1.3774,0.0917,0.5503,0.9873,3.6743,0.2652,1.2594,1.8969,29.8392,12.3197,0.3630,0.3059,0.1493,0.3630,0.0000,0.7012,1.5733
18,18,220.3713,2.6090,2.7820,3.6631,3.6660,0.5464,1.8053,2.1278,1.4206,0.1020,0.5713,1.0484,3.6984,0.2568,1.3277,2.1593,44.3861,13.0679,0.3909,0.5341,0.1610,0.3909,0.0000,0.8148,1.5747
19,19,219.5141,2.8891,3.0565,3.9911,3.6660,0.3777,1.8173,2.2875,1.4473,0.0785,0.5973,1.1583,3.7074,0.2290,1.2892,2.3380,44.3861,13.6748,0.4066,0.5341,0.1668,0.4066,0.0000,0.8253,1.6561
20,20,219.6213,1.9827,3.3737,4.2121,3.6660,0.3252,1.6577,2.4957,1.3062,0.0819,0.6661,1.3040,3.6668,0.2009,1.2170,2.5927,44.3861,14.4363,0.4170,0.5341,0.1839,0.4170,0.0000,0.8348,1.7240
21,21,219.7355,1.3390,3.4538,4.6661,3.6660,0.2622,1.5563,2.6625,1.3954,0.1010,0.6240,1.3820,3.5190,0.1580,1.1927,2.6952,44.3861,15.0847,0.4326,0.5341,0.1953,0.4326,0.0000,0.8357,1.7086
22,22,219.3088,2.0597,3.3357,5.1840,3.6660,0.1763,1.4242,2.8682,1.1951,0.0720,0.5685,1.5118,3.2216,0.1553,1.1086,2.7704,44.3861,15.7252,0.4521,0.5341,0.2010,0.4521,0.0000,0.8173,1.6800
23,23,218.6430,2.6296,3.4393,5.7860,3.6660,0.1615,1.2247,3.0798,1.1026,0.0555,0.4958,1.5657,3.0491,0.1125,1.1104,2.7622,44.3861,16.3641,0.4676,0.5341,0.2010,0.4676,0.0000,0.8037,1.6493
24,24,217.8430,3.0451,3.6094,6.3538,3.6660,0.1223,1.0838,3.2475,1.0595,0.0416,0.4775,1.5503,3.0487,0.1398,1.0875,2.9520,44.3861,17.0171,0.4945,0.5341,0.2085,0.4945,0.0000,0.8065,1.6069
