,trace,day,type
0,0,17,School screening
1,1,10,School screening
2,2,3,School screening
3,3,3,School screening
4,4,6,External screening
5,5,3,School screening
6,6,10,School screening
7,7,3,School screening
8,8,10,School screening
9,9,10,School screening
10,10,10,School screening
11,11,10,School screening
12,12,1,External screening
13,13,17,School screening
14,14,17,School screening
15,15,2,External screening
16,16,3,School screening
17,17,0,-
18,18,0,-
19,19,3,School screening
20,20,3,External screening
21,21,17,School screening
22,22,10,School screening
23,23,10,School screening
24,24,3,School screening
25,25,10,School screening
26,26,10,School screening
27,27,10,School screening
28,28,31,School screening
29,29,10,School screening
30,30,2,External screening
31,31,3,School screening
32,32,0,-
33,33,10,School screening
34,34,9,External screening
35,35,3,School screening
36,36,0,-
37,37,4,External screening
38,38,10,School screening
39,39,3,School screening
40,40,3,School screening
41,41,10,School screening
42,42,2,External screening
43,43,17,School screening
44,44,8,External screening
45,45,1,External screening
46,46,10,School screening
47,47,10,School screening
48,48,10,School screening
49,49,3,School screening
50,50,17,School screening
51,51,17,School screening
52,52,5,External screening
53,53,8,External screening
54,54,10,School screening
55,55,10,School screening
56,56,3,School screening
57,57,3,School screening
58,58,17,School screening
59,59,0,-
60,60,0,-
61,61,10,School screening
62,62,10,School screening
63,63,10,External screening
64,64,10,School screening
65,65,24,School screening
66,66,10,School screening
67,67,3,School screening
68,68,5,External screening
69,69,10,School screening
70,70,10,School screening
71,71,17,School screening
72,72,10,School screening
73,73,3,External screening
74,74,10,School screening
75,75,10,School screening
76,76,21,External screening
77,77,10,School screening
78,78,10,School screening
79,79,10,School screening
80,80,10,School screening
81,81,10,School screening
82,82,10,External screening
83,83,3,External screening
84,84,10,School screening
85,85,10,School screening
86,86,10,School screening
87,87,0,-
88,88,3,School screening
89,89,10,School screening
90,90,10,School screening
91,91,10,School screening
92,92,3,School screening
93,93,3,School screening
94,94,7,External screening
95,95,24,School screening
96,96,3,School screening
97,97,0,-
98,98,0,-
99,99,17,School screening
100,100,0,-
101,101,0,-
102,102,0,-
103,103,3,School screening
104,104,10,School screening
105,105,3,School screening
106,106,10,External screening
107,107,10,School screening
108,108,3,External screening
109,109,3,School screening
110,110,10,School screening
111,111,3,School screening
112,112,15,External screening
113,113,3,School screening
114,114,3,School screening
115,115,10,School screening
116,116,0,-
117,117,3,School screening
118,118,17,School screening
119,119,3,School screening
120,120,24,School screening
121,121,1,External screening
122,122,17,School screening
123,123,10,School screening
124,124,11,External screening
125,125,10,School screening
126,126,12,External screening
127,127,24,School screening
128,128,3,School screening
129,129,10,School screening
130,130,17,School screening
131,131,10,School screening
132,132,0,-
133,133,10,School screening
134,134,3,School screening
135,135,1,External screening
136,136,3,School screening
137,137,3,School screening
138,138,3,School screening
139,139,0,-
140,140,3,School screening
141,141,17,School screening
142,142,17,School screening
143,143,3,School screening
144,144,3,School screening
145,145,10,School screening
146,146,3,School screening
147,147,10,School screening
148,148,9,External screening
149,149,10,School screening
150,150,3,School screening
151,151,0,-
152,152,3,School screening
153,153,24,School screening
154,154,1,External screening
155,155,9,External screening
156,156,17,School screening
157,157,3,School screening
158,158,21,External screening
159,159,3,School screening
160,160,0,-
161,161,17,School screening
162,162,3,School screening
163,163,17,School screening
164,164,10,School screening
165,165,10,School screening
166,166,3,School screening
167,167,0,-
168,168,10,School screening
169,169,3,School screening
170,170,0,-
171,171,1,External screening
172,172,17,School screening
173,173,10,School screening
174,174,3,School screening
175,175,10,School screening
176,176,3,School screening
177,177,7,External screening
178,178,2,External screening
179,179,13,External screening
180,180,17,School screening
181,181,3,School screening
182,182,3,School screening
183,183,3,School screening
184,184,11,External screening
185,185,10,School screening
186,186,10,School screening
187,187,3,School screening
188,188,3,School screening
189,189,3,School screening
190,190,3,External screening
191,191,10,External screening
192,192,2,External screening
193,193,14,External screening
194,194,10,School screening
195,195,3,School screening
196,196,3,School screening
197,197,0,-
198,198,0,-
199,199,14,External screening
