,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1,238.3857,0.8018,1.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4480,0.0000,0.0236,0.0000,0.0000,0.8815,0.0236,0.0000,0.0000,0.0236,0.0000,0.0000,0.0000,50.0000,0.0000,0.0236,1.0000
2,2,237.6604,1.3624,1.0297,0.2164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7341,0.0000,0.0433,0.0146,0.0000,1.6890,0.0391,0.0000,0.0000,0.0391,0.0000,0.0000,0.0000,50.0000,0.0000,0.0391,0.8891
3,3,234.9284,1.5143,0.9009,0.3369,3.0517,0.1881,0.3130,0.0148,0.2512,0.0296,0.0148,0.0000,1.2875,0.1188,0.0860,0.0235,29.7563,2.4674,0.0736,0.1919,0.0148,0.0736,0.0000,0.0000,0.0000,50.0000,0.0000,0.2334,0.8520
4,4,233.8596,1.9482,1.2583,0.4244,3.0517,0.1460,0.3317,0.0465,0.2512,0.0148,0.0296,0.0000,1.5396,0.1442,0.2028,0.0316,29.7563,3.1497,0.0929,0.1919,0.0148,0.0929,0.0000,0.0000,0.0000,50.0000,0.0000,0.2501,0.8901
5,5,232.7863,2.3747,1.5817,0.5743,3.0517,0.0980,0.3369,0.0922,0.2512,0.0148,0.0000,0.0296,1.7804,0.1264,0.3318,0.0704,29.7563,3.9206,0.1115,0.1919,0.0148,0.1115,0.0000,0.0000,0.0000,50.0000,0.0000,0.2667,0.8643
6,6,232.4037,1.6193,1.9224,0.7053,3.0517,0.0733,0.3112,0.1462,0.6290,0.1051,0.1796,0.0438,1.9917,0.1928,0.3607,0.1514,29.7563,4.6960,0.1297,0.1919,0.0466,0.1297,0.0000,0.0000,0.0000,50.0000,0.0000,0.3050,0.9233
7,7,232.0565,1.1627,1.9626,0.8941,3.0517,0.0438,0.3130,0.1708,0.7988,0.0824,0.2694,0.0823,2.2895,0.1663,0.4692,0.2413,29.7563,5.4997,0.1532,0.1919,0.0604,0.1532,0.0000,0.0000,0.0000,50.0000,0.0000,0.3373,0.9376
8,8,231.0146,1.7872,1.9446,1.1039,3.0517,0.0438,0.2798,0.2038,0.8396,0.0735,0.3492,0.1209,2.4319,0.1189,0.5425,0.3097,29.7563,6.2466,0.1649,0.1919,0.0671,0.1649,0.0000,0.0000,0.0000,50.0000,0.0000,0.3533,0.9712
9,9,230.0837,2.3065,1.9948,1.3731,3.0517,0.0368,0.2142,0.2790,0.8872,0.0639,0.3705,0.1943,2.4683,0.1317,0.5365,0.4025,29.7563,6.9990,0.1706,0.1919,0.0736,0.1706,0.0000,0.0000,0.0000,50.0000,0.0000,0.3639,0.9586
10,10,227.2198,1.8137,1.2849,1.1307,5.3516,0.5612,1.3629,0.8236,1.0178,0.1323,0.3911,0.2460,2.6644,0.1686,0.5582,0.4893,58.9035,7.7118,0.1879,0.4475,0.0864,0.1879,0.0000,0.0000,0.0000,50.0000,0.0000,0.5955,1.0327
11,11,226.2880,2.1675,1.5182,1.1996,5.3516,0.4165,1.3152,1.0059,1.1210,0.1167,0.4530,0.3528,2.8476,0.1543,0.5530,0.5884,58.9035,8.4184,0.2013,0.4475,0.0990,0.2013,0.0000,0.0000,0.0000,50.0000,0.0000,0.6168,1.1028
12,12,225.3813,2.4245,1.8668,1.4181,5.3516,0.2875,1.2705,1.1750,1.1887,0.1050,0.4558,0.4202,3.0527,0.1452,0.5114,0.6693,58.9035,8.9892,0.2126,0.4475,0.1053,0.2126,0.0000,0.0000,0.0000,50.0000,0.0000,0.6354,1.1280
13,13,225.1926,1.6429,2.3472,1.6077,5.3516,0.2354,1.1973,1.3014,1.3514,0.0947,0.5036,0.4805,3.1247,0.1228,0.4916,0.7539,58.9035,9.6785,0.2183,0.4475,0.1176,0.2183,0.0000,0.0000,0.0000,50.0000,0.0000,0.6502,1.1422
14,14,225.1333,1.1388,2.4707,1.8505,5.3516,0.1723,1.0850,1.4763,1.3782,0.1356,0.5007,0.5645,3.1608,0.1050,0.5255,0.8257,58.9035,10.3554,0.2239,0.4475,0.1236,0.2239,0.0000,0.0000,0.0000,50.0000,0.0000,0.6601,1.1920
15,15,224.3811,1.8282,2.3365,2.1418,5.3516,0.0956,1.0459,1.5882,1.4587,0.0735,0.5230,0.6268,3.0538,0.1134,0.5308,0.9173,58.9035,11.0626,0.2348,0.4475,0.1297,0.2348,0.0000,0.0000,0.0000,50.0000,0.0000,0.6649,1.1524
16,16,223.4939,2.1230,2.2793,2.3848,5.3516,0.0767,0.9219,1.7322,1.7329,0.1071,0.5769,0.7553,3.0051,0.1144,0.6720,1.0647,58.9035,11.8367,0.2570,0.4475,0.1532,0.2570,0.0000,0.0000,0.0000,50.0000,0.0000,0.6968,1.1989
17,17,224.5423,1.6461,1.3829,2.3313,4.4573,0.4831,1.9245,2.3061,1.8013,0.1070,0.5548,0.8392,2.6166,0.0793,0.6419,1.0463,87.7093,12.5002,0.2626,0.6912,0.1648,0.2626,0.0000,0.0000,0.0000,50.0000,0.0000,0.7311,1.1769
18,18,224.1943,1.8088,1.5599,2.6137,4.4573,0.3565,1.7871,2.5581,1.9560,0.1185,0.5462,0.9190,2.3793,0.0501,0.6081,0.9971,87.7093,13.2006,0.2626,0.6912,0.1765,0.2626,0.0000,0.0000,0.0000,50.0000,0.0000,0.7273,1.2046
19,19,223.7070,1.9797,1.7053,2.9104,4.4573,0.2547,1.6086,2.8226,2.1180,0.1639,0.6361,0.9912,2.2199,0.0504,0.5877,0.9253,87.7093,13.7997,0.2697,0.6912,0.1932,0.2697,0.0000,0.0000,0.0000,50.0000,0.0000,0.7333,1.1865
20,20,223.9524,1.4239,1.9851,3.2704,4.4573,0.1953,1.4316,3.0595,1.8228,0.1449,0.4818,0.9819,2.2757,0.0569,0.6089,0.9822,87.7093,14.4729,0.2927,0.6912,0.1932,0.2927,0.0000,0.0000,0.0000,50.0000,0.0000,0.7193,1.2243
21,21,224.1866,0.9853,1.9170,3.6802,4.4573,0.1585,1.2445,3.2835,1.7670,0.1771,0.4994,0.9956,2.0256,0.1011,0.5821,0.9829,87.7093,15.3418,0.3036,0.6912,0.2047,0.3036,0.0000,0.0000,0.0000,50.0000,0.0000,0.7084,1.2536
22,22,223.5965,1.5004,1.8030,3.9701,4.4573,0.1049,1.1452,3.4325,1.7553,0.1445,0.4711,1.0645,2.1529,0.0891,0.6294,0.9736,87.7093,16.0335,0.3211,0.6912,0.2104,0.3211,0.0000,0.0000,0.0000,50.0000,0.0000,0.7131,1.2182
23,23,223.0701,1.8587,1.8550,4.3144,4.4573,0.0822,1.0376,3.5526,1.7492,0.1152,0.4692,1.0966,2.1542,0.0795,0.5914,1.0054,87.7093,16.6714,0.3265,0.6912,0.2160,0.3265,0.0000,0.0000,0.0000,50.0000,0.0000,0.7143,1.2393
24,24,224.0279,1.5109,1.2719,5.6125,3.7078,0.5270,1.4436,3.1001,1.6273,0.0959,0.3952,1.0745,1.9528,0.0732,0.5026,0.9541,116.9213,17.2345,0.3265,0.9097,0.2160,0.3265,0.0000,0.0000,0.0000,50.0000,0.0000,0.6777,1.0597
25,25,223.8072,1.6510,1.4172,5.8183,3.7078,0.4112,1.3944,3.2602,1.5289,0.0794,0.3347,0.9933,1.8489,0.0825,0.6443,1.0527,116.9213,17.9161,0.3426,0.9097,0.2160,0.3426,0.0000,0.0000,0.0000,50.0000,0.0000,0.6769,1.0729
26,26,223.5540,1.8453,1.5674,6.1026,3.7078,0.2877,1.3558,3.4078,1.4634,0.0432,0.3198,0.9791,1.7037,0.0393,0.6493,1.1046,116.9213,18.5971,0.3479,0.9097,0.2160,0.3479,0.0000,0.0000,0.0000,50.0000,0.0000,0.6661,1.1142
27,27,223.6621,1.2283,1.8464,6.3012,3.7078,0.2115,1.2854,3.5423,1.3072,0.0856,0.3246,0.9806,1.7231,0.1062,0.6222,1.1933,116.9213,19.3548,0.3586,0.9097,0.2217,0.3586,0.0000,0.0000,0.0000,50.0000,0.0000,0.6669,1.1617
28,28,223.5395,0.8198,1.7929,6.5816,3.7078,0.1678,1.1339,3.7348,1.4327,0.1479,0.3957,1.0226,1.8333,0.0827,0.6776,1.1705,116.9213,20.1163,0.3714,0.9097,0.2401,0.3714,0.0000,0.0000,0.0000,50.0000,0.0000,0.6861,1.1384
29,29,223.1002,1.1784,1.5112,6.8748,3.7078,0.1356,1.0269,3.8748,1.4131,0.1476,0.4713,1.0862,1.9203,0.0726,0.6609,1.1933,116.9213,20.7151,0.3883,0.9097,0.2512,0.3883,0.0000,0.0000,0.0000,50.0000,0.0000,0.6974,1.1131
30,30,222.9597,1.4632,1.7339,7.4728,3.7078,0.0938,0.9860,3.9509,1.2545,0.0943,0.4624,0.9594,1.7419,0.0726,0.5371,1.0167,116.9213,21.4046,0.3883,0.9097,0.2567,0.3883,0.0000,0.0000,0.0000,50.0000,0.0000,0.6607,1.1058
