,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,236.8090,0.7206,0.9226,0.0000,0.8975,0.0000,0.0472,0.0000,0.0955,0.0000,0.0050,0.0000,0.4774,0.0000,0.0251,0.0000,11.9698,0.7538,0.0251,0.0472,0.0050,0.0251,0.0000,0.0774,1.0000
2,2.0000,234.7297,1.2090,0.9558,0.1106,1.7909,0.0241,0.1096,0.0050,0.2623,0.0000,0.0191,0.0000,0.7357,0.0000,0.0382,0.0101,23.9146,1.4161,0.0392,0.0985,0.0141,0.0392,0.0000,0.1498,0.8925
3,3.0000,232.7256,1.5367,1.0241,0.2513,2.6683,0.0764,0.2091,0.0412,0.4694,0.0141,0.0352,0.0040,0.8784,0.0101,0.0362,0.0201,35.8342,2.2523,0.0473,0.1618,0.0262,0.0473,0.0000,0.2231,0.8211
4,4.0000,230.7980,1.7698,1.1216,0.3608,3.6914,0.1779,0.3739,0.0985,0.4694,0.0050,0.0342,0.0141,0.9668,0.0181,0.0623,0.0382,47.7437,2.8915,0.0543,0.2483,0.0262,0.0543,0.0000,0.2975,0.8000
5,5.0000,228.8151,1.7206,1.1880,0.4573,4.8754,0.3015,0.6211,0.2121,0.4844,0.0060,0.0352,0.0171,1.1086,0.0231,0.0915,0.0432,59.6382,3.5889,0.0633,0.3578,0.0272,0.0633,0.0000,0.3910,0.8382
6,6.0000,228.6664,1.1538,1.4844,0.5950,4.8754,0.1980,0.6442,0.2925,0.5447,0.0251,0.0663,0.0271,1.1970,0.0402,0.1327,0.0573,59.6382,4.2814,0.0714,0.3578,0.0332,0.0714,0.0000,0.4050,0.8925
7,7.0000,228.5387,0.7909,1.6241,0.7648,4.8754,0.1327,0.6191,0.3829,0.5447,0.0191,0.0573,0.0422,1.3246,0.0352,0.1719,0.0764,59.6382,4.9477,0.0804,0.3578,0.0332,0.0804,0.0000,0.4141,0.9236
8,8.0000,226.5749,1.2915,1.3186,0.8854,5.8814,0.1598,0.8030,0.5929,0.6100,0.0221,0.0613,0.0704,1.4171,0.0251,0.1910,0.0955,71.2714,5.6311,0.0864,0.4543,0.0382,0.0864,0.0000,0.4965,0.8985
9,9.0000,224.8171,1.4603,1.1668,0.8975,6.7688,0.2281,1.0181,0.8292,0.6724,0.0392,0.1076,0.0854,1.4995,0.0422,0.2050,0.1628,82.8794,6.3085,0.0955,0.5598,0.0452,0.0955,0.0000,0.5829,0.9075
10,10.0000,223.2171,1.3920,1.0241,0.8794,7.5367,0.3277,1.2221,1.1246,0.7578,0.0483,0.1296,0.1096,1.6673,0.0694,0.2422,0.2523,94.4422,6.9960,0.1116,0.6633,0.0523,0.1116,0.0000,0.6744,0.9296
11,11.0000,221.9357,1.2804,0.9518,0.8372,8.1879,0.3578,1.4010,1.4101,0.8271,0.0543,0.1709,0.1337,1.7940,0.0653,0.2794,0.3136,105.9045,7.6744,0.1226,0.7487,0.0593,0.1226,0.0000,0.7497,0.9266
12,12.0000,220.7588,1.1819,0.9216,0.7960,8.8352,0.3789,1.5779,1.7709,0.8512,0.0352,0.1879,0.1518,1.8472,0.0673,0.2633,0.3749,117.2663,8.4231,0.1277,0.8352,0.0613,0.1277,0.0000,0.8171,0.9467
13,13.0000,220.6231,0.8744,1.0352,0.9045,8.8352,0.2724,1.5176,1.9377,0.9226,0.0312,0.2231,0.1698,1.9115,0.0483,0.2794,0.4141,117.2663,9.0924,0.1327,0.8352,0.0674,0.1327,0.0000,0.8281,0.9377
14,14.0000,220.5186,0.5608,1.1427,0.9739,8.8352,0.1819,1.4332,2.1126,0.9377,0.0231,0.2101,0.2362,2.0010,0.0382,0.3246,0.4703,117.2663,9.8181,0.1417,0.8352,0.0704,0.1417,0.0000,0.8402,0.9538
15,15.0000,220.9648,0.6724,0.9156,0.9648,8.4804,0.1890,1.5336,2.4000,0.8543,0.0060,0.2040,0.2623,1.6030,0.0553,0.3347,0.5598,128.7186,10.4483,0.1528,0.9166,0.0714,0.1528,0.0000,0.8241,0.9608
16,16.0000,221.2915,0.7085,0.7256,1.0131,8.1337,0.2030,1.5899,2.7166,0.7055,0.0070,0.1859,0.2874,1.4392,0.0563,0.3266,0.6101,140.2010,11.1528,0.1608,0.9950,0.0734,0.1608,0.0000,0.8131,0.9427
17,17.0000,221.8030,0.6955,0.6462,1.2171,7.6362,0.2151,1.6010,2.8493,0.5357,0.0121,0.1608,0.2965,1.3256,0.0422,0.3286,0.6352,151.6935,11.8231,0.1638,1.0503,0.0764,0.1638,0.0000,0.7819,0.8955
18,18.0000,222.1980,0.6332,0.5357,1.5176,7.0010,0.2382,1.5357,2.9437,0.5528,0.0131,0.1427,0.3166,1.2985,0.0583,0.3397,0.6754,163.2412,12.4673,0.1729,1.1005,0.0774,0.1729,0.0000,0.7558,0.8603
19,19.0000,222.9337,0.5879,0.4703,1.9980,6.1477,0.2442,1.4593,2.8623,0.5377,0.0111,0.1277,0.3287,1.2020,0.0603,0.3327,0.6965,174.7689,13.1769,0.1779,1.1508,0.0774,0.1779,0.0000,0.7005,0.8131
20,20.0000,222.9628,0.4231,0.5457,2.1588,6.1477,0.1769,1.3477,3.0412,0.4945,0.0081,0.1106,0.2915,1.2161,0.0483,0.3105,0.7166,174.7689,13.8824,0.1859,1.1508,0.0784,0.1859,0.0000,0.6955,0.7960
