,trace,day,type
0,0,8,School screening
1,1,10,School screening
2,2,15,External screening
3,3,1,School screening
4,4,8,School screening
5,5,5,External screening
6,6,3,School screening
7,7,10,School screening
8,8,8,School screening
9,9,3,School screening
10,10,8,School screening
11,11,15,School screening
12,12,0,-
13,13,3,School screening
14,14,8,School screening
15,15,3,School screening
16,16,1,School screening
17,17,10,School screening
18,18,3,School screening
19,19,15,School screening
20,20,0,-
21,21,17,School screening
22,22,1,School screening
23,23,3,External screening
24,24,8,School screening
25,25,8,School screening
26,26,8,School screening
27,27,8,School screening
28,28,1,School screening
29,29,1,School screening
30,30,15,School screening
31,31,1,External screening
32,32,1,External screening
33,33,3,School screening
34,34,8,External screening
35,35,0,-
36,36,7,External screening
37,37,0,-
38,38,8,School screening
39,39,1,School screening
40,40,11,External screening
41,41,1,School screening
42,42,1,School screening
43,43,13,External screening
44,44,1,School screening
45,45,8,School screening
46,46,8,School screening
47,47,3,School screening
48,48,0,-
49,49,8,External screening
50,50,3,School screening
51,51,0,-
52,52,17,School screening
53,53,8,School screening
54,54,8,School screening
55,55,1,School screening
56,56,1,School screening
57,57,6,External screening
58,58,1,School screening
59,59,1,External screening
60,60,3,School screening
61,61,8,School screening
62,62,8,School screening
63,63,3,External screening
64,64,12,External screening
65,65,8,School screening
66,66,1,External screening
67,67,3,External screening
68,68,13,External screening
69,69,14,External screening
70,70,15,School screening
71,71,1,School screening
72,72,15,School screening
73,73,3,School screening
74,74,6,External screening
75,75,1,School screening
76,76,3,School screening
77,77,3,School screening
78,78,1,School screening
79,79,8,School screening
80,80,15,School screening
81,81,8,School screening
82,82,3,School screening
83,83,3,School screening
84,84,10,External screening
85,85,0,-
86,86,8,School screening
87,87,8,School screening
88,88,0,-
89,89,15,School screening
90,90,8,School screening
91,91,10,School screening
92,92,8,School screening
93,93,8,School screening
94,94,0,-
95,95,15,School screening
96,96,3,External screening
97,97,1,School screening
98,98,10,School screening
99,99,1,School screening
100,100,3,School screening
101,101,9,External screening
102,102,6,External screening
103,103,0,-
104,104,3,School screening
105,105,17,School screening
106,106,8,School screening
107,107,10,External screening
108,108,8,School screening
109,109,12,External screening
110,110,8,School screening
111,111,17,External screening
112,112,3,School screening
113,113,8,School screening
114,114,3,School screening
115,115,22,School screening
116,116,1,School screening
117,117,2,External screening
118,118,8,School screening
119,119,0,-
120,120,8,School screening
121,121,2,External screening
122,122,1,School screening
123,123,15,School screening
124,124,8,School screening
125,125,1,School screening
126,126,22,School screening
127,127,6,External screening
128,128,15,School screening
129,129,8,School screening
130,130,3,School screening
131,131,8,School screening
132,132,1,External screening
133,133,22,School screening
134,134,1,School screening
135,135,10,School screening
136,136,10,School screening
137,137,11,External screening
138,138,17,School screening
139,139,10,School screening
140,140,10,School screening
141,141,3,School screening
142,142,5,External screening
143,143,1,School screening
144,144,8,School screening
145,145,1,School screening
146,146,0,-
147,147,15,School screening
148,148,14,External screening
149,149,7,External screening
150,150,15,School screening
151,151,1,School screening
152,152,8,School screening
153,153,8,School screening
154,154,2,External screening
155,155,15,School screening
156,156,1,School screening
157,157,3,School screening
158,158,10,External screening
159,159,8,School screening
160,160,3,School screening
161,161,0,-
162,162,14,External screening
163,163,1,School screening
164,164,17,School screening
165,165,10,School screening
166,166,3,External screening
167,167,17,School screening
168,168,21,External screening
169,169,10,School screening
170,170,0,-
171,171,10,School screening
172,172,8,School screening
173,173,8,School screening
174,174,8,School screening
175,175,0,-
176,176,15,School screening
177,177,0,-
178,178,17,School screening
179,179,10,External screening
180,180,8,School screening
181,181,1,School screening
182,182,3,School screening
183,183,10,School screening
184,184,3,School screening
185,185,1,School screening
186,186,17,School screening
187,187,22,External screening
188,188,1,External screening
189,189,8,School screening
190,190,8,School screening
191,191,0,-
192,192,3,School screening
193,193,8,School screening
194,194,20,External screening
195,195,15,School screening
196,196,1,School screening
197,197,15,School screening
198,198,0,-
199,199,17,School screening
