,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,236.9950,0.6683,0.9296,0.0000,1.1457,0.0000,0.0603,0.0000,0.0000,0.0000,0.0000,0.0000,0.1910,0.0000,0.0101,0.0000,17.0553,0.7739,0.0101,0.0603,0.0000,0.0101,0.0000,0.0704,1.0000
2,2.0000,236.1910,1.1457,0.9045,0.1508,1.1457,0.0000,0.0452,0.0151,0.0000,0.0000,0.0000,0.0000,0.3769,0.0000,0.0201,0.0050,17.0553,1.5075,0.0201,0.0603,0.0000,0.0201,0.0000,0.0804,0.8442
3,3.0000,234.1407,1.3970,0.8844,0.2613,2.1206,0.0452,0.1206,0.0251,0.0854,0.0101,0.0050,0.0000,0.7889,0.0553,0.0503,0.0101,28.9447,2.2714,0.0452,0.1156,0.0050,0.0452,0.0000,0.1658,0.7940
4,4.0000,233.0905,1.8342,1.2060,0.3518,2.1206,0.0352,0.1156,0.0402,0.0854,0.0050,0.0101,0.0000,0.9246,0.0653,0.1055,0.0101,28.9447,2.9447,0.0553,0.1156,0.0050,0.0553,0.0000,0.1759,0.8141
5,5.0000,231.8291,2.1709,1.4673,0.5126,2.1206,0.0251,0.1256,0.0402,0.1457,0.0151,0.0251,0.0151,1.1910,0.0854,0.1960,0.0352,28.9447,3.7538,0.0754,0.1156,0.0101,0.0754,0.0000,0.2010,0.7940
6,6.0000,231.4623,1.4874,1.7889,0.6382,2.1206,0.0101,0.1106,0.0704,0.3317,0.0452,0.1005,0.0251,1.3719,0.1256,0.2211,0.0905,28.9447,4.4472,0.0905,0.1156,0.0251,0.0905,0.0000,0.2312,0.8543
7,7.0000,231.1558,1.0151,1.8744,0.8291,2.1206,0.0101,0.1055,0.0754,0.4573,0.0402,0.1508,0.0553,1.5528,0.1106,0.2965,0.1508,28.9447,5.2111,0.1055,0.1156,0.0352,0.1055,0.0000,0.2563,0.8844
8,8.0000,228.6834,1.3719,1.4121,0.8945,3.7236,0.1256,0.5276,0.2462,0.4925,0.0352,0.1960,0.0804,1.6080,0.0804,0.3317,0.1910,47.4724,5.9648,0.1106,0.2362,0.0402,0.1106,0.0000,0.3819,0.9045
9,9.0000,227.8643,1.7487,1.4271,1.1206,3.7236,0.0905,0.4523,0.3568,0.5327,0.0302,0.2211,0.1206,1.6432,0.0804,0.3417,0.2462,47.4724,6.7337,0.1156,0.2362,0.0452,0.1156,0.0000,0.3920,0.8995
10,10.0000,225.6784,1.5678,1.1558,1.0452,5.0704,0.2764,0.9347,0.6533,0.6382,0.0653,0.2462,0.1558,1.7487,0.0854,0.3668,0.3116,59.0603,7.4523,0.1256,0.3518,0.0553,0.1256,0.0000,0.5276,0.9397
11,11.0000,224.6935,1.8191,1.4121,1.1206,5.0704,0.2010,0.8995,0.7638,0.6985,0.0553,0.2563,0.1960,1.9196,0.0905,0.3920,0.4121,59.0603,8.1357,0.1407,0.3518,0.0603,0.1407,0.0000,0.5477,0.9899
12,12.0000,223.7990,2.1508,1.6834,1.3116,5.0704,0.1407,0.8090,0.9146,0.6985,0.0352,0.2513,0.2211,1.9849,0.0854,0.3769,0.4673,59.0603,8.7688,0.1457,0.3518,0.0603,0.1457,0.0000,0.5528,0.9899
13,13.0000,223.6734,1.5075,2.0402,1.5226,5.0704,0.1156,0.7588,0.9899,0.8241,0.0352,0.2965,0.2513,1.9849,0.0603,0.3518,0.5176,59.0603,9.4975,0.1457,0.3518,0.0704,0.1457,0.0000,0.5628,1.0000
14,14.0000,223.5729,1.0603,2.0704,1.7387,5.0704,0.0854,0.6784,1.1005,0.8241,0.0251,0.2714,0.2864,2.0854,0.0804,0.4171,0.6332,59.0603,10.1508,0.1608,0.3518,0.0704,0.1608,0.0000,0.5779,1.0151
15,15.0000,222.5980,1.2362,1.3668,1.5327,5.3116,0.2161,1.2211,1.4925,0.9196,0.0251,0.3166,0.3467,2.0653,0.1156,0.4523,0.7839,76.4523,10.7889,0.1809,0.4874,0.0804,0.1809,0.0000,0.6633,1.0050
16,16.0000,221.8844,1.4322,1.4623,1.6533,5.3116,0.1809,1.0704,1.6784,1.0452,0.0402,0.3015,0.4221,2.0201,0.1055,0.5126,0.8794,76.4523,11.5427,0.1960,0.4874,0.0905,0.1960,0.0000,0.6784,1.0553
17,17.0000,221.3618,1.1709,1.1307,1.6633,5.6281,0.4171,1.4824,2.1206,1.0452,0.0402,0.2663,0.4573,1.7588,0.0905,0.4874,0.8794,87.8442,12.2965,0.2060,0.6131,0.0955,0.2060,0.0000,0.7337,1.0251
18,18.0000,221.0352,1.2462,1.3116,1.8342,5.6281,0.2915,1.4623,2.2663,1.0452,0.0352,0.2412,0.4874,1.6332,0.0653,0.4774,0.9397,87.8442,12.9196,0.2111,0.6131,0.0955,0.2111,0.0000,0.7286,1.0352
19,19.0000,220.7889,1.3568,1.3317,2.1508,5.6281,0.2060,1.3367,2.4774,1.0905,0.0402,0.3417,0.5377,1.3668,0.0352,0.4472,0.8643,87.8442,13.5678,0.2111,0.6131,0.1106,0.2111,0.0000,0.7186,1.0402
