,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,237.6429,0.7793,0.9646,0.0000,1.7642,0.0000,0.0929,0.0000,0.0000,0.0000,0.0000,0.0000,0.4490,0.0000,0.0236,0.0000,17.8573,0.8880,0.0236,0.0929,0.0000,0.0236,0.0000,0.1053,1.0000
2,2,236.8702,1.3082,0.9820,0.1988,1.7642,0.0000,0.0736,0.0317,0.0000,0.0000,0.0000,0.0000,0.7364,0.0000,0.0436,0.0148,17.8573,1.6744,0.0393,0.0929,0.0000,0.0393,0.0000,0.1176,0.8930
3,3,235.0350,1.6059,0.9938,0.3222,2.9212,0.0865,0.1744,0.0465,0.2508,0.0295,0.0148,0.0000,1.2874,0.1177,0.0857,0.0237,29.7456,2.4693,0.0736,0.1591,0.0148,0.0736,0.0000,0.2165,0.8519
4,4,233.9807,2.0839,1.3698,0.4207,2.9212,0.0666,0.1736,0.0669,0.2508,0.0148,0.0295,0.0000,1.4431,0.1299,0.1820,0.0237,29.7456,3.1598,0.0858,0.1591,0.0148,0.0858,0.0000,0.2274,0.8808
5,5,232.7488,2.4687,1.6928,0.5930,2.9212,0.0503,0.1948,0.0669,0.3476,0.0368,0.0737,0.0368,1.7638,0.1477,0.3229,0.0638,29.7456,4.0053,0.1109,0.1591,0.0238,0.1109,0.0000,0.2553,0.8595
6,6,232.4254,1.7186,2.0657,0.7312,2.9212,0.0293,0.1726,0.1122,0.6189,0.0864,0.1988,0.0505,1.9766,0.2125,0.3539,0.1417,29.7456,4.7241,0.1292,0.1591,0.0465,0.1292,0.0000,0.2883,0.9280
7,7,232.1556,1.1896,2.1664,0.9453,2.9212,0.0293,0.1640,0.1241,0.7850,0.0721,0.2665,0.0964,2.1831,0.1817,0.4535,0.2240,29.7456,5.5236,0.1471,0.1591,0.0599,0.1471,0.0000,0.3154,0.9626
8,8,229.7866,1.6065,1.6668,1.0418,4.6691,0.1919,0.7057,0.3404,0.8263,0.0636,0.3484,0.1368,2.2447,0.1362,0.5025,0.2822,48.3029,6.3108,0.1530,0.2956,0.0667,0.1530,0.0000,0.4492,0.9841
9,9,228.9544,2.0401,1.6989,1.3019,4.6691,0.1396,0.6121,0.4830,0.8744,0.0532,0.3774,0.2014,2.2817,0.1485,0.5104,0.3630,48.3029,7.1065,0.1589,0.2956,0.0733,0.1589,0.0000,0.4595,0.9860
