,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,238.3770,0.8134,1.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4490,0.0000,0.0236,0.0000,0.0000,0.8880,0.0236,0.0000,0.0000,0.0236,0.0000,0.0236,1.0000
2,2,236.9042,1.2930,0.9511,0.2159,1.6953,0.0392,0.1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.7364,0.0000,0.0436,0.0148,17.8485,1.6945,0.0393,0.0929,0.0000,0.0393,0.0000,0.1176,0.8930
3,3,235.8716,1.6864,1.0358,0.3437,1.6953,0.0318,0.1363,0.0148,0.2508,0.0295,0.0148,0.0000,1.2874,0.1177,0.0857,0.0237,17.8485,2.4628,0.0736,0.0929,0.0148,0.0736,0.0000,0.1534,0.8519
4,4,234.1356,2.0560,1.3270,0.4297,2.5948,0.1207,0.2351,0.0507,0.2508,0.0148,0.0295,0.0000,1.5281,0.1425,0.2019,0.0317,29.7222,3.1175,0.0921,0.1475,0.0148,0.0921,0.0000,0.2218,0.8854
5,5,232.9538,2.4643,1.6819,0.5943,2.5948,0.0822,0.2640,0.0637,0.3476,0.0368,0.0737,0.0368,1.7702,0.1257,0.3307,0.0702,29.7222,3.9892,0.1109,0.1475,0.0238,0.1109,0.0000,0.2443,0.8702
6,6,232.6322,1.7186,2.0452,0.7378,2.5948,0.0635,0.2453,0.1031,0.6189,0.0864,0.1988,0.0505,1.9829,0.1928,0.3604,0.1506,29.7222,4.7541,0.1292,0.1475,0.0465,0.1292,0.0000,0.2774,0.9325
7,7,232.3637,1.1997,2.1460,0.9403,2.5948,0.0366,0.2376,0.1326,0.7850,0.0721,0.2665,0.0964,2.1894,0.1607,0.4534,0.2407,29.7222,5.5981,0.1471,0.1475,0.0599,0.1471,0.0000,0.3046,0.9717
8,8,231.2225,2.0379,2.0787,1.2130,2.5948,0.0148,0.2400,0.1458,0.8263,0.0636,0.3484,0.1368,2.2509,0.1132,0.5025,0.2975,29.7222,6.3641,0.1530,0.1475,0.0667,0.1530,0.0000,0.3155,0.9977
9,9,228.7099,1.9977,1.6106,1.2625,4.5233,0.3779,0.8869,0.5106,0.8891,0.0637,0.3862,0.1664,2.4497,0.1133,0.5155,0.4424,48.2674,7.1617,0.1705,0.3201,0.0733,0.1705,0.0000,0.4878,0.9769
10,10,227.8262,2.4015,1.9531,1.4387,4.5233,0.2763,0.8695,0.6300,0.8891,0.0532,0.3417,0.2156,2.5108,0.1321,0.4659,0.5321,48.2674,7.9239,0.1764,0.3201,0.0733,0.1764,0.0000,0.4929,1.0391
11,11,225.9190,2.0196,1.7349,1.3123,5.8632,0.4985,1.4445,1.0381,0.9169,0.0570,0.3511,0.3143,2.6445,0.1823,0.5440,0.6323,59.8406,8.5368,0.1936,0.4427,0.0798,0.1936,0.0000,0.6315,1.1075
12,12,224.8446,2.4638,2.0387,1.4686,5.8632,0.3392,1.3705,1.2695,0.9169,0.0312,0.3406,0.3501,2.9469,0.1898,0.6115,0.7421,59.8406,9.3309,0.2182,0.4427,0.0798,0.2182,0.0000,0.6526,1.1322
13,13,224.7647,1.6460,2.4647,1.7690,5.8632,0.2465,1.2595,1.4681,1.0194,0.0570,0.3531,0.3595,2.9948,0.1344,0.6746,0.8052,59.8406,10.0148,0.2238,0.4427,0.0863,0.2238,0.0000,0.6649,1.1782
14,14,224.5373,1.1971,2.3170,1.9851,5.8632,0.1951,1.0866,1.6915,1.1519,0.0508,0.3029,0.4227,3.2196,0.1889,0.7952,1.0275,59.8406,10.7533,0.2534,0.4427,0.0925,0.2534,0.0000,0.6956,1.2059
15,15,223.8778,1.8243,2.3397,2.2113,5.8632,0.1069,1.0712,1.7879,1.1979,0.0295,0.3472,0.4762,3.0798,0.1762,0.7310,1.1288,59.8406,11.4382,0.2589,0.4427,0.0988,0.2589,0.0000,0.6968,1.2096
16,16,223.4953,1.6342,1.3944,1.9632,5.9520,0.5040,1.8072,2.4210,1.4199,0.0475,0.3829,0.5957,2.9542,0.1762,0.7628,1.2443,77.2062,12.3061,0.2715,0.6102,0.1172,0.2715,0.0000,0.8034,1.1950
17,17,223.4148,1.9154,1.6513,2.2281,5.9520,0.3527,1.7226,2.6439,1.3595,0.0438,0.3332,0.7000,2.4712,0.1497,0.6723,1.2630,77.2062,13.0624,0.2715,0.6102,0.1233,0.2715,0.0000,0.7793,1.1964
18,18,223.0263,1.5984,1.3396,2.3356,6.2105,0.6606,2.0708,3.1286,1.4716,0.0438,0.3213,0.7316,2.4105,0.1580,0.6964,1.2527,88.5702,13.8078,0.2854,0.7237,0.1294,0.2854,0.0000,0.8559,1.2181
19,19,222.7528,1.6966,1.4649,2.5202,6.2105,0.4787,1.9391,3.4226,1.5284,0.0671,0.2955,0.8268,2.2834,0.1396,0.7083,1.2912,88.5702,14.5893,0.2977,0.7237,0.1413,0.2977,0.0000,0.8577,1.2507
20,20,222.9875,1.1952,1.6377,2.9711,6.2105,0.3790,1.7856,3.6765,1.4395,0.1313,0.3004,0.7739,2.1629,0.1242,0.6094,1.2948,88.5702,15.3319,0.3031,0.7237,0.1532,0.3031,0.0000,0.8467,1.2153
21,21,223.0242,0.8122,1.6488,3.3260,6.2105,0.2911,1.6385,3.9106,1.3349,0.1441,0.3316,0.7393,2.2679,0.1426,0.5831,1.3073,88.5702,16.1903,0.3246,0.7237,0.1591,0.3246,0.0000,0.8490,1.2118
22,22,222.4553,1.3032,1.6679,3.6059,6.2105,0.2490,1.4930,4.1017,1.2958,0.1384,0.2915,0.6891,2.3727,0.0930,0.5729,1.4111,88.5702,16.8212,0.3367,0.7237,0.1591,0.3367,0.0000,0.8491,1.2094
23,23,223.4607,1.0551,1.1736,4.6713,5.3021,0.4112,1.8223,3.7906,1.2367,0.1279,0.2372,0.6772,2.2489,0.0637,0.5530,1.3496,105.0445,17.4995,0.3420,0.8493,0.1591,0.3420,0.0000,0.8019,1.1197
24,24,223.1718,1.1933,1.3156,4.8219,5.3021,0.2897,1.6892,4.0319,1.2367,0.0992,0.2457,0.6971,2.2304,0.0506,0.6259,1.3313,105.0445,18.0414,0.3473,0.8493,0.1591,0.3473,0.0000,0.8041,1.1331
25,25,223.7655,1.0139,1.0914,5.8341,4.6656,0.4033,1.7302,3.7239,1.2097,0.0824,0.2072,0.6304,2.0842,0.0950,0.6588,1.2909,116.5511,18.7186,0.3580,0.9280,0.1591,0.3580,0.0000,0.7518,1.0310
26,26,223.5916,1.0525,1.0636,5.9833,4.6656,0.2956,1.6327,3.9159,1.3689,0.0909,0.2985,0.6972,1.8427,0.1144,0.6854,1.3433,116.5511,19.4966,0.3752,0.9280,0.1728,0.3752,0.0000,0.7575,1.0112
27,27,223.6172,0.6834,1.2267,6.1538,4.6656,0.2361,1.5406,4.0603,1.3720,0.0670,0.3381,0.7953,1.7926,0.0723,0.6301,1.3666,116.5511,20.2579,0.3752,0.9280,0.1843,0.3752,0.0000,0.7582,1.0161
28,28,223.7565,0.4647,1.2810,6.6461,4.6656,0.1773,1.4140,4.2275,1.2465,0.0437,0.3265,0.8171,1.6450,0.0723,0.4601,1.1286,116.5511,20.9985,0.3804,0.9280,0.1843,0.3804,0.0000,0.7263,1.0223
29,29,223.4760,0.9278,1.3121,6.8429,4.6656,0.0941,1.2755,4.4434,1.2011,0.0237,0.3277,0.7589,1.5529,0.0605,0.4075,1.1529,116.5511,21.6743,0.3804,0.9280,0.1843,0.3804,0.0000,0.7143,0.9748
30,30,224.2151,0.9228,1.0853,8.7373,3.7525,0.2573,1.2245,3.2993,0.9767,0.0146,0.2838,0.6359,1.4339,0.0505,0.3472,1.0552,133.5355,22.2883,0.3804,0.9975,0.1843,0.3804,0.0000,0.5875,0.8248
31,31,223.9261,1.0182,1.0743,8.8415,3.7525,0.2057,1.1505,3.4189,0.9231,0.0000,0.2725,0.5856,1.5747,0.1007,0.4426,1.2049,133.5355,22.9489,0.3974,0.9975,0.1843,0.3974,0.0000,0.5983,0.8267
32,32,224.3037,0.8110,0.6849,9.8231,3.0377,0.3689,1.3928,2.9250,0.8889,0.0147,0.2371,0.6334,1.5329,0.0963,0.4274,1.1599,145.1917,23.6713,0.4026,1.0737,0.1919,0.4026,0.0000,0.5582,0.7338
33,33,224.2963,0.8477,0.7305,10.1420,3.0377,0.2705,1.2770,3.1273,0.7482,0.0147,0.2078,0.5139,1.4565,0.0727,0.4796,1.0306,145.1917,24.3587,0.4078,1.0737,0.1919,0.4078,0.0000,0.5405,0.7021
34,34,224.3613,0.6001,0.8432,10.3872,3.0377,0.1715,1.2365,3.2684,0.5973,0.0000,0.1596,0.4517,1.5159,0.0534,0.4151,1.0992,145.1917,25.0214,0.4143,1.0737,0.1919,0.4143,0.0000,0.5269,0.6825
35,35,224.5938,0.4361,0.8643,10.6387,3.0377,0.1268,1.1259,3.4173,0.4976,0.0000,0.1366,0.3830,1.1709,0.0602,0.3756,1.0625,145.1917,25.7462,0.4195,1.0737,0.1919,0.4195,0.0000,0.5039,0.6851
