,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,3.7974,0.6115,0.0095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4406,0.0000,0.0095,0.0000,0.0000,0.6603,0.0095,0.0000,0.0000,0.0095,0.0000,0.0095,0.0000
2,2,24.0610,1.3745,0.3120,0.1332,18.2358,0.0192,0.1233,0.0000,0.0000,0.0000,0.0000,0.0000,6.6431,0.0000,0.0280,0.0048,33.7478,1.5305,0.0189,0.0547,0.0000,0.0189,0.0000,0.0712,0.1299
3,3,30.8840,2.2836,0.5746,0.1904,18.2358,0.0144,0.1331,0.0049,1.4303,0.0198,0.0049,0.0000,12.9397,0.2101,0.0664,0.0094,33.7478,2.1115,0.0420,0.0547,0.0049,0.0420,0.0000,0.0953,0.1752
4,4,41.5395,3.1931,1.3619,0.2283,28.1750,0.1328,0.2864,0.0339,1.4303,0.0049,0.0198,0.0000,15.4421,0.2468,0.3514,0.0142,33.7078,2.4752,0.0552,0.0905,0.0049,0.0552,0.0000,0.1366,0.2293
5,5,43.8735,4.6317,2.6563,0.2969,28.1750,0.0719,0.3563,0.0584,2.1264,0.0245,0.1226,0.0246,17.7785,0.1636,0.8903,0.0474,33.7078,3.3952,0.0679,0.0905,0.0098,0.0679,0.0000,0.1492,0.2317
6,6,48.3140,2.7393,4.0199,0.4089,28.1750,0.0582,0.3275,0.0949,4.3229,0.0905,0.5102,0.0340,19.6801,0.3520,0.9421,0.1625,33.7078,3.9624,0.0801,0.0905,0.0239,0.0801,0.0000,0.1663,0.2875
7,7,52.2391,1.5645,4.4685,0.6376,28.1750,0.0242,0.3042,0.1418,5.7699,0.0575,0.7324,0.0904,21.2464,0.2223,1.2648,0.3377,33.7078,5.0455,0.0915,0.0905,0.0332,0.0915,0.0000,0.1792,0.3199
8,8,52.2851,3.6135,3.8403,1.1193,28.1750,0.0045,0.3242,0.1599,5.9705,0.0432,1.2211,0.1709,21.6749,0.1190,1.5131,0.4911,33.7078,6.3835,0.0954,0.0905,0.0376,0.0954,0.0000,0.1840,0.3298
9,9,71.7931,4.9599,3.7989,1.6224,43.7337,0.6452,2.3431,0.8425,6.4145,0.0431,1.3420,0.2358,23.2105,0.1196,1.4028,0.9584,34.6192,7.2333,0.1067,0.2109,0.0421,0.1067,0.0000,0.2615,0.3585
10,10,72.0017,7.1077,5.4847,2.0409,43.7337,0.3707,2.4383,1.1758,6.4145,0.0286,1.0322,0.3927,23.6046,0.1663,1.0852,1.3352,34.6192,8.8071,0.1103,0.2109,0.0421,0.1103,0.0000,0.2623,0.4161
