,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,238.2419,0.8997,1.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5970,0.0000,0.0314,0.0000,0.0000,0.8168,0.0314,0.0000,0.0000,0.0314,0.0000,0.0314,1.0000
2,2,237.4667,1.4455,1.1273,0.1705,0.0000,0.0000,0.0000,0.0000,0.2320,0.0000,0.0122,0.0000,0.5970,0.0000,0.0144,0.0235,0.0000,1.6099,0.0314,0.0000,0.0122,0.0314,0.0000,0.0379,0.9613
3,3,235.4150,1.7840,1.1989,0.3330,2.3095,0.1202,0.2782,0.0238,0.2320,0.0000,0.0122,0.0000,0.7297,0.0000,0.0361,0.0235,11.9949,2.3414,0.0389,0.1349,0.0122,0.0389,0.0000,0.1641,0.9238
4,4,234.2390,2.3456,1.5579,0.5129,2.3095,0.1000,0.2552,0.0705,0.2320,0.0000,0.0122,0.0000,0.9568,0.0235,0.0802,0.0235,11.9949,3.0896,0.0531,0.1349,0.0122,0.0531,0.0000,0.1757,0.9542
5,5,232.6872,2.9022,1.8841,0.7162,2.7649,0.1548,0.3369,0.0883,0.2320,0.0000,0.0122,0.0000,1.1133,0.1129,0.1104,0.0502,16.1065,3.9133,0.0667,0.1645,0.0122,0.0667,0.0000,0.2158,0.9509
6,6,232.5685,2.0859,2.4356,0.9359,2.7649,0.1209,0.3392,0.1246,0.4935,0.0367,0.0790,0.0147,1.1133,0.0854,0.0933,0.0925,16.1065,4.5871,0.0667,0.1645,0.0305,0.0667,0.0000,0.2270,1.0196
7,7,232.2944,1.4704,2.5969,1.2260,2.7649,0.0798,0.3262,0.1812,0.5372,0.0794,0.1409,0.0572,1.4871,0.1012,0.1985,0.1242,16.1065,5.2470,0.0926,0.1645,0.0382,0.0926,0.0000,0.2567,1.1046
8,8,230.3450,2.5106,2.4637,1.6035,2.7649,0.0605,0.2978,0.2176,0.7795,0.0541,0.1911,0.0833,2.0920,0.1167,0.4271,0.1724,16.1065,5.9877,0.1364,0.1645,0.0527,0.1364,0.0000,0.3085,1.0914
9,9,228.8855,3.1180,2.7977,1.8823,2.7649,0.0467,0.2665,0.2576,0.9766,0.0788,0.1872,0.1370,2.1680,0.1566,0.5267,0.2314,16.1065,6.7341,0.1482,0.1645,0.0664,0.1482,0.0000,0.3301,1.1303
