,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,237.1154,0.6699,0.9417,0.0000,0.1757,0.0000,0.0092,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0287,0.0000,-0.0015,0.0000,3.9894,0.5892,-0.0015,0.0092,0.0000,-0.0015,0.0000,0.0121,1.0000
2,2.0000,235.7849,1.1004,0.9199,0.0779,0.3901,-0.0002,0.0229,-0.0031,-0.0898,0.0000,-0.0047,0.0000,-0.0287,0.0000,-0.0047,-0.0034,7.9763,1.3100,-0.0015,0.0210,-0.0047,-0.0015,0.0000,0.0318,0.8682
3,3.0000,234.1350,1.4345,0.9930,0.2126,0.7793,0.0078,0.0630,-0.0037,-0.0898,0.0000,-0.0047,0.0000,0.0184,0.0000,-0.0065,-0.0034,12.8620,1.9787,0.0010,0.0435,-0.0047,0.0010,0.0000,0.0638,0.8127
4,4.0000,232.7693,1.9170,1.2584,0.3490,0.8728,0.0051,0.0591,0.0058,-0.0898,0.0000,-0.0047,0.0000,0.1214,-0.0037,-0.0008,-0.0034,13.7625,2.6862,0.0068,0.0488,-0.0047,0.0068,0.0000,0.0777,0.8288
5,5.0000,231.2881,2.4092,1.5110,0.5073,0.9828,0.0107,0.0740,0.0086,-0.0898,0.0000,-0.0047,0.0000,0.2162,-0.0126,0.0093,-0.0003,14.6601,3.4110,0.0133,0.0557,-0.0047,0.0133,0.0000,0.0935,0.8125
6,6.0000,231.1036,1.7030,1.9657,0.7013,0.9828,0.0075,0.0664,0.0170,-0.0295,-0.0065,-0.0090,-0.0047,0.2162,-0.0052,-0.0032,0.0073,14.6601,4.0180,0.0133,0.0557,-0.0016,0.0133,0.0000,0.1022,0.8747
7,7.0000,230.7114,1.1611,2.0746,0.9562,0.9828,0.0021,0.0567,0.0344,-0.0020,-0.0090,-0.0205,-0.0069,0.4374,0.0094,0.0229,0.0260,14.6601,4.6422,0.0278,0.0557,0.0009,0.0278,0.0000,0.1224,0.9323
8,8.0000,228.1047,1.7581,1.7961,1.1976,1.5408,0.0178,0.1966,0.0870,0.0845,-0.0037,-0.0002,-0.0029,0.7551,0.0213,0.1054,0.0479,18.5942,5.3507,0.0505,0.0961,0.0067,0.0505,0.0000,0.2017,0.9039
9,9.0000,226.0636,2.0512,1.7329,1.2859,2.1145,0.0696,0.3326,0.1805,0.1486,-0.0019,0.0172,0.0041,0.9164,0.0284,0.1646,0.0939,22.5133,6.0409,0.0658,0.1416,0.0111,0.0658,0.0000,0.2745,0.9323
10,10.0000,224.0107,2.0753,1.6498,1.2909,2.7727,0.1286,0.5479,0.3317,0.2055,0.0005,0.0317,0.0229,1.1168,0.0604,0.2307,0.1681,27.3295,6.6409,0.0858,0.1997,0.0168,0.0858,0.0000,0.3676,0.9773
11,11.0000,222.6490,2.1924,1.8645,1.4687,2.8958,0.1033,0.5880,0.4414,0.2555,-0.0012,0.0528,0.0535,1.2160,0.0645,0.2395,0.2241,28.2406,7.3089,0.0944,0.2122,0.0228,0.0944,0.0000,0.3986,1.0254
