,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,237.8996,0.7284,0.9838,0.0000,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0001,0.0000,0.0233,0.0000,0.0012,0.0000,0.0000,0.6959,0.0012,0.0000,0.0001,0.0012,0.0000,0.0039,1.0000
2,2,236.7353,1.3422,1.0150,0.1085,0.0000,0.0000,0.0000,0.0000,0.0711,-0.0008,0.0040,0.0000,0.1262,-0.0008,0.0073,0.0000,0.0000,1.3936,0.0067,0.0000,0.0039,0.0067,0.0000,0.0146,0.8813
3,3,235.4415,1.8369,1.2143,0.2393,0.0000,0.0000,0.0000,0.0000,0.1466,0.0010,0.0105,-0.0008,0.2937,0.0027,0.0211,-0.0007,0.0000,2.1163,0.0162,0.0000,0.0082,0.0162,0.0000,0.0296,0.8270
4,4,234.0717,2.3221,1.5094,0.4024,0.0000,0.0000,0.0000,0.0000,0.2292,0.0040,0.0269,0.0018,0.4216,0.0053,0.0287,0.0055,0.0000,2.8103,0.0237,0.0000,0.0137,0.0237,0.0000,0.0433,0.8420
5,5,232.6032,2.8011,1.8776,0.6077,0.0000,0.0000,0.0000,0.0000,0.3277,0.0153,0.0522,0.0061,0.5061,0.0095,0.0430,0.0111,0.0000,3.4911,0.0296,0.0000,0.0211,0.0296,0.0000,0.0577,0.9064
6,6,232.2002,1.9435,2.2723,0.8514,0.0000,0.0000,0.0000,0.0000,0.4508,0.0269,0.0815,0.0245,0.7087,0.0378,0.0893,0.0291,0.0000,4.1663,0.0451,0.0000,0.0305,0.0451,0.0000,0.0839,0.9410
7,7,231.7319,1.3456,2.3790,1.1030,0.0000,0.0000,0.0000,0.0000,0.6110,0.0395,0.1223,0.0533,0.9454,0.0483,0.1658,0.0602,0.0000,4.8588,0.0631,0.0000,0.0428,0.0631,0.0000,0.1156,0.9727
8,8,229.9974,2.2262,2.3921,1.3833,0.0000,0.0000,0.0000,0.0000,0.7198,0.0327,0.1313,0.0798,1.1337,0.0467,0.2098,0.0999,0.0000,5.5371,0.0768,0.0000,0.0499,0.0768,0.0000,0.1372,0.9827
9,9,228.2054,2.8113,2.6037,1.6341,0.0000,0.0000,0.0000,0.0000,0.7857,0.0348,0.1511,0.1086,1.3985,0.0699,0.2877,0.1826,0.0000,6.2730,0.0998,0.0000,0.0561,0.0998,0.0000,0.1676,1.0212
10,10,226.3947,3.2726,3.0007,1.8945,0.0000,0.0000,0.0000,0.0000,0.8520,0.0322,0.1507,0.1511,1.6552,0.0782,0.3555,0.2717,0.0000,6.9421,0.1213,0.0000,0.0616,0.1213,0.0000,0.1953,1.0738
11,11,224.6548,3.5030,3.3911,2.2150,0.0000,0.0000,0.0000,0.0000,0.9572,0.0476,0.1819,0.1903,1.8627,0.0993,0.4408,0.3760,0.0000,7.6349,0.1430,0.0000,0.0713,0.1430,0.0000,0.2279,1.1487
12,12,222.7923,3.6256,3.6571,2.4493,0.0000,0.0000,0.0000,0.0000,1.1122,0.0610,0.2513,0.2715,2.1433,0.1544,0.6404,0.5454,0.0000,8.3592,0.1792,0.0000,0.0879,0.1792,0.0000,0.2823,1.2236
13,13,222.5372,2.5207,3.9196,2.7835,0.0000,0.0000,0.0000,0.0000,1.1875,0.0727,0.3039,0.3392,2.2971,0.1636,0.7521,0.7487,0.0000,9.0646,0.2037,0.0000,0.0990,0.2037,0.0000,0.3187,1.2976
