,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.0000,3.9460,0.8254,0.0094,0.0000,0.0000,0.0000,0.0000,0.0000,1.2973,0.0000,0.0036,0.0000,2.1218,0.0000,0.0059,0.0000,0.0000,0.8178,0.0059,0.0000,0.0036,0.0059,0.0000,0.0094,0.0000
2,0.0000,8.7474,1.4657,0.3544,0.1110,0.0000,0.0000,0.0000,0.0000,3.2483,0.0060,0.0125,0.0000,4.6901,0.0020,0.0185,0.0000,0.0000,1.4669,0.0134,0.0000,0.0095,0.0134,0.0000,0.0226,0.1000
3,0.0000,14.8958,2.4948,0.9359,0.2017,0.0000,0.0000,0.0000,0.0000,4.8110,0.0167,0.0463,0.0019,8.2027,0.0139,0.0573,0.0020,0.0000,2.1639,0.0248,0.0000,0.0151,0.0248,0.0000,0.0392,0.1734
4,0.0000,21.4654,4.0396,1.8447,0.3366,0.0000,0.0000,0.0000,0.0000,6.2350,0.0375,0.1380,0.0097,10.5985,0.0195,0.1071,0.0146,0.0000,2.8050,0.0332,0.0000,0.0218,0.0332,0.0000,0.0554,0.2329
5,0.0000,28.0875,5.6928,2.9872,0.5025,0.0000,0.0000,0.0000,0.0000,7.6545,0.1122,0.3152,0.0254,11.8564,0.0710,0.2189,0.0312,0.0000,3.4435,0.0396,0.0000,0.0302,0.0396,0.0000,0.0692,0.3070
6,0.0000,33.7606,3.5431,4.9339,0.7714,0.0000,0.0000,0.0000,0.0000,9.3655,0.1514,0.4932,0.0794,15.1543,0.2087,0.5727,0.0928,0.0000,4.2131,0.0577,0.0000,0.0403,0.0577,0.0000,0.0950,0.3528
7,0.0000,39.4915,2.3085,5.5573,1.1737,0.0000,0.0000,0.0000,0.0000,11.5441,0.1610,0.7035,0.1855,18.1037,0.2132,1.0424,0.1598,0.0000,4.9944,0.0745,0.0000,0.0529,0.0745,0.0000,0.1204,0.3593
8,0.0000,47.0345,4.9436,6.0266,1.7147,0.0000,0.0000,0.0000,0.0000,13.2888,0.1223,0.7033,0.3621,20.4899,0.1659,1.3245,0.2855,0.0000,5.6152,0.0868,0.0000,0.0599,0.0868,0.0000,0.1365,0.3809
9,0.0000,54.9336,7.6312,7.9188,2.3302,0.0000,0.0000,0.0000,0.0000,14.0298,0.1805,0.8296,0.5391,23.2968,0.2525,1.7320,0.6643,0.0000,6.4945,0.1064,0.0000,0.0658,0.1064,0.0000,0.1571,0.4341
