,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1.0000,229.3784,9.4314,0.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0761,0.0000,0.0040,0.0000,0.1141,0.0000,0.0060,0.0000,0.0000,0.7518,0.0060,0.0000,0.0040,0.0060,0.0000,0.0000,0.0000,50.0000,0.0000,0.0100,1.0000
2,2.0000,220.6466,15.0671,3.3584,0.1271,0.0000,0.0000,0.0000,0.0000,0.1652,0.0681,0.0460,0.0010,0.2843,0.1391,0.0961,0.0010,0.0000,1.5115,0.0260,0.0000,0.0140,0.0260,0.0000,0.0000,0.0000,50.0000,0.0000,0.0400,1.0180
3,3.0000,217.0631,13.4615,6.6156,0.5375,0.0000,0.0000,0.0000,0.0000,0.1892,0.2813,0.2272,0.0230,0.3704,0.6627,0.5185,0.0501,0.0000,2.2503,0.0801,0.0000,0.0360,0.0801,0.0000,0.0000,0.0000,50.0000,0.0000,0.1161,1.1481
4,4.0000,209.4555,16.4304,8.6476,1.2823,0.0000,0.0000,0.0000,0.0000,0.2042,0.4795,0.6176,0.0801,0.4505,0.9079,1.2392,0.2052,0.0000,2.9680,0.1401,0.0000,0.0691,0.1401,0.0000,0.0000,0.0000,50.0000,0.0000,0.2092,1.4444
5,5.0000,200.0631,19.9620,10.9049,2.1832,0.0000,0.0000,0.0000,0.0000,0.2653,0.5666,1.0070,0.2232,0.6707,1.2883,2.2893,0.5766,0.0000,3.6386,0.2412,0.0000,0.1031,0.2412,0.0000,0.0000,0.0000,50.0000,0.0000,0.3443,2.0561
6,6.0000,199.7357,13.4024,13.8018,3.3103,0.0000,0.0000,0.0000,0.0000,0.3554,0.6767,1.3423,0.4284,0.9079,1.5626,3.3133,1.1632,0.0000,4.2963,0.3473,0.0000,0.1401,0.3473,0.0000,0.0000,0.0000,50.0000,0.0000,0.4875,2.6266
7,7.0000,199.3664,8.8478,14.1582,4.7347,0.0000,0.0000,0.0000,0.0000,0.4334,0.7117,1.7848,0.7337,1.1992,1.6527,4.4454,1.9319,0.0000,4.9570,0.4615,0.0000,0.1832,0.4615,0.0000,0.0000,0.0000,50.0000,0.0000,0.6446,2.8549
8,8.0000,185.7558,19.0901,13.2793,6.0190,0.0000,0.0000,0.0000,0.0000,0.5786,0.6236,2.1542,1.1481,1.4174,1.5265,5.3994,3.0080,0.0000,5.6036,0.5676,0.0000,0.2252,0.5676,0.0000,0.0000,0.0000,50.0000,0.0000,0.7928,2.9810
9,9.0000,172.4324,25.8388,15.5976,7.0921,0.0000,0.0000,0.0000,0.0000,0.6827,0.6416,2.4314,1.6697,1.6777,1.6587,6.1001,4.1772,0.0000,6.2663,0.6807,0.0000,0.2713,0.6807,0.0000,0.0000,0.0000,50.0000,0.0000,0.9520,3.3453
