,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,238.2182,0.7818,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9730,0.0270,0.0000,0.0000,0.0000,0.0000,1.0000
2,2.0000,237.3884,1.3984,1.0861,0.1271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9399,0.0490,0.0110,0.0000,0.0000,0.0000,0.9159
3,3.0000,236.4124,1.9840,1.3303,0.2733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9019,0.0691,0.0280,0.0010,0.0000,0.0000,0.8679
4,4.0000,235.3203,2.5506,1.6587,0.4705,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.8448,0.1021,0.0501,0.0030,0.0000,0.0000,0.8669
5,5.0000,221.2162,0.2763,0.0000,0.2292,14.0951,1.5826,2.1532,0.4474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,2.1532,0.0000,0.0000,49.8448,0.0701,0.0731,0.0120,0.0000,0.9139,0.9269
6,6.0000,221.2162,0.1892,0.0871,0.2292,14.0951,1.1481,2.3223,0.7127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,2.1532,0.0000,0.0000,49.8448,0.0571,0.0801,0.0180,0.0000,0.9139,0.9690
7,7.0000,221.2162,0.1311,0.1291,0.2452,14.0951,0.8228,2.3253,1.0350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,2.1532,0.0000,0.0000,49.8448,0.0360,0.0921,0.0270,0.0000,0.9139,0.9850
8,8.0000,221.0911,0.2242,0.1411,0.2653,14.0951,0.5876,2.2282,1.3674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,2.1532,0.0000,0.0000,49.8408,0.0320,0.0851,0.0420,0.0000,0.9139,0.9580
9,9.0000,220.9369,0.3153,0.1902,0.2793,14.0951,0.4244,2.1171,1.6416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,2.1532,0.0000,0.0000,49.8348,0.0260,0.0851,0.0541,0.0000,0.9139,0.9590
10,10.0000,220.7878,0.3734,0.2533,0.3073,14.0951,0.3013,1.9079,1.9740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,2.1532,0.0000,0.0000,49.8298,0.0240,0.0821,0.0641,0.0000,0.9139,0.9520
11,11.0000,220.5826,0.4795,0.3293,0.3303,14.0951,0.2222,1.7027,2.2583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,2.1532,0.0000,0.0000,49.8238,0.0200,0.0851,0.0711,0.0000,0.9139,0.9319
12,12.0000,217.5175,0.0771,0.0000,0.2032,17.1552,0.4104,2.0040,2.6326,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,461.7217,0.0000,0.0000,2.5716,0.0000,0.0000,49.8238,0.0110,0.0851,0.0801,0.0000,1.1101,0.9369
13,13.0000,217.5175,0.0631,0.0140,0.2032,17.1552,0.2743,1.8478,2.9249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,461.7217,0.0000,0.0000,2.5716,0.0000,0.0000,49.8238,0.0080,0.0741,0.0941,0.0000,1.1101,0.9129
