,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,220.0000,0.0000,0.0000,0.0000,19.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000
2,2,220.0000,0.0000,0.0000,0.0000,19.0000,0.0000,0.8523,0.1066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.8523
3,3,220.0000,0.0000,0.0000,0.0000,19.0000,0.0000,0.7262,0.2206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.7262
4,4,220.0000,0.0000,0.0000,0.0000,19.0000,0.0000,0.6019,0.3386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.6019
5,5,220.0000,0.0000,0.0000,0.0000,19.0000,0.0000,0.5189,0.4198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.5189
6,6,220.0000,0.0000,0.0000,0.0000,19.0000,0.0000,0.4517,0.4867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.4517
7,7,220.0000,0.0000,0.0000,0.0000,19.0000,0.0000,0.3811,0.5583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.3811
8,8,220.0000,0.0000,0.0000,0.0000,19.0000,0.0000,0.3249,0.6162,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,460.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.3249
9,9,220.0000,0.0000,0.0000,0.0000,19.0000,0.0000,0.2799,0.6633,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,460.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2799
10,10,220.0000,0.0000,0.0000,0.0000,19.0000,0.0000,0.2235,0.7230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,460.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2235
11,11,220.0000,0.0000,0.0000,0.0000,19.0000,0.0000,0.1755,0.7751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,460.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.1755
12,12,220.0000,0.0000,0.0000,0.0000,19.0000,0.0000,0.1517,0.8014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,460.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.1517
13,13,220.0000,0.0000,0.0000,0.0000,19.0000,0.0000,0.1272,0.8289,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,460.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.1272
14,14,220.0000,0.0000,0.0000,0.0000,19.0000,0.0000,0.1122,0.8459,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,460.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.1122
15,15,239.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,700.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,16,239.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,700.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,17,239.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,700.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,18,239.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,700.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,19,239.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,700.0000,0.0000,0.0000,1.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
