,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,238.1617,0.7292,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9631,0.0171,0.0000,0.0000,0.0000,0.0000,1.0000
2,2,237.2997,1.3254,1.0510,0.1066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9242,0.0367,0.0046,0.0000,0.0000,0.0000,0.8955
3,3,236.2810,1.8886,1.2714,0.2455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.8821,0.0535,0.0187,-0.0009,0.0000,0.0000,0.8413
4,4,221.6821,0.2279,0.0000,0.1913,13.6210,1.1186,1.5768,0.2214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.5768,0.0000,0.0000,49.8821,0.0323,0.0375,-0.0004,0.0000,0.8322,0.8362
5,5,221.6237,0.2146,0.0557,0.1913,13.6210,0.8021,1.6891,0.4157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.5768,0.0000,0.0000,49.8800,0.0213,0.0428,0.0053,0.0000,0.8322,0.8675
6,6,221.6237,0.1417,0.1214,0.1955,13.6210,0.5720,1.7019,0.6339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.5768,0.0000,0.0000,49.8800,0.0162,0.0426,0.0098,0.0000,0.8322,0.8861
7,7,221.6237,0.0925,0.1536,0.2122,13.6210,0.4063,1.6248,0.8745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.5768,0.0000,0.0000,49.8800,0.0090,0.0470,0.0130,0.0000,0.8322,0.8717
8,8,221.4860,0.1878,0.1530,0.2393,13.6210,0.2924,1.4982,1.1158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.5768,0.0000,0.0000,49.8685,0.0138,0.0402,0.0221,0.0000,0.8322,0.8331
9,9,221.3030,0.2811,0.1940,0.2620,13.6210,0.2039,1.3990,1.3070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.5768,0.0000,0.0000,49.8661,0.0086,0.0419,0.0280,0.0000,0.8322,0.8304
10,10,221.1128,0.3681,0.2364,0.2928,13.6210,0.1432,1.2372,1.5341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.5768,0.0000,0.0000,49.8595,0.0086,0.0416,0.0332,0.0000,0.8322,0.8107
11,11,218.3605,0.0519,0.0000,0.1540,16.2047,0.3328,1.4541,1.9035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.1301,0.0000,0.0000,1.9381,0.0000,0.0000,49.8595,0.0026,0.0458,0.0358,0.0000,1.0021,0.7675
12,12,218.3289,0.0534,0.0158,0.1540,16.2047,0.2215,1.3939,2.0811,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.1301,0.0000,0.0000,1.9381,0.0000,0.0000,49.8583,0.0012,0.0431,0.0420,0.0000,1.0021,0.7619
13,13,218.3289,0.0326,0.0295,0.1585,16.2047,0.1361,1.2723,2.2933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.1301,0.0000,0.0000,1.9381,0.0000,0.0000,49.8583,0.0007,0.0383,0.0479,0.0000,1.0021,0.7328
14,14,218.3289,0.0230,0.0342,0.1653,16.2047,0.0879,1.1573,2.4614,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.1301,0.0000,0.0000,1.9381,0.0000,0.0000,49.8583,-0.0004,0.0346,0.0531,0.0000,1.0021,0.7015
15,15,218.2884,0.0467,0.0376,0.1703,16.2047,0.0609,1.0209,2.6291,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.1301,0.0000,0.0000,1.9381,0.0000,0.0000,49.8583,-0.0008,0.0293,0.0594,0.0000,1.0021,0.6549
16,16,218.2172,0.0800,0.0457,0.1753,16.2047,0.0386,0.9155,2.7589,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.1301,0.0000,0.0000,1.9381,0.0000,0.0000,49.8570,-0.0004,0.0237,0.0649,0.0000,1.0021,0.6124
17,17,218.1522,0.1028,0.0626,0.1834,16.2047,0.0193,0.8279,2.8710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.1301,0.0000,0.0000,1.9381,0.0000,0.0000,49.8570,-0.0010,0.0216,0.0685,0.0000,1.0021,0.5911
18,18,231.4630,0.0113,0.0000,3.1425,2.9750,0.0732,0.3180,0.4966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,698.6005,0.0000,0.0000,2.0446,0.0000,0.0000,49.8570,-0.0010,0.0195,0.0713,0.0000,0.1958,0.1644
19,19,231.4512,0.0138,0.0005,3.1425,2.9750,0.0523,0.2953,0.5423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,698.6005,0.0000,0.0000,2.0446,0.0000,0.0000,49.8570,-0.0010,0.0178,0.0729,0.0000,0.1958,0.1623
20,20,231.4512,0.0081,0.0050,3.1436,2.9750,0.0338,0.2741,0.5832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,698.6005,0.0000,0.0000,2.0446,0.0000,0.0000,49.8570,-0.0010,0.0162,0.0748,0.0000,0.1958,0.1558
21,21,231.4512,0.0053,0.0049,3.1464,2.9750,0.0213,0.2603,0.6105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,698.6005,0.0000,0.0000,2.0446,0.0000,0.0000,49.8570,-0.0010,0.0130,0.0785,0.0000,0.1958,0.1478
22,22,231.4389,0.0092,0.0049,3.1494,2.9750,0.0114,0.2301,0.6513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,698.6005,0.0000,0.0000,2.0446,0.0000,0.0000,49.8570,-0.0010,0.0122,0.0792,0.0000,0.1958,0.1377
23,23,231.4192,0.0154,0.0060,3.1494,2.9750,0.0073,0.1975,0.6897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,698.6005,0.0000,0.0000,2.0446,0.0000,0.0000,49.8545,-0.0008,0.0114,0.0810,0.0000,0.1958,0.1305
24,24,231.3961,0.0197,0.0096,3.1514,2.9750,0.0027,0.1760,0.7180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,698.6005,0.0000,0.0000,2.0446,0.0000,0.0000,49.8533,-0.0004,0.0106,0.0818,0.0000,0.1958,0.1187
25,25,233.9913,0.0053,0.0000,3.9288,0.8148,0.0079,0.0862,0.1309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,937.4000,0.0000,0.0000,2.0737,0.0000,0.0000,49.8533,-0.0008,0.0101,0.0827,0.0000,0.0538,0.0484
26,26,233.9891,0.0038,0.0001,3.9288,0.8148,0.0043,0.0762,0.1471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,937.4000,0.0000,0.0000,2.0737,0.0000,0.0000,49.8533,-0.0010,0.0078,0.0862,0.0000,0.0538,0.0452
27,27,233.9891,0.0035,0.0001,3.9299,0.8148,0.0020,0.0704,0.1571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,937.4000,0.0000,0.0000,2.0737,0.0000,0.0000,49.8533,-0.0010,0.0075,0.0872,0.0000,0.0538,0.0414
28,28,233.9891,0.0012,0.0012,3.9308,0.8148,-0.0002,0.0659,0.1672,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,937.4000,0.0000,0.0000,2.0737,0.0000,0.0000,49.8533,0.0000,0.0067,0.0890,0.0000,0.0538,0.0418
29,29,233.9796,0.0049,0.0018,3.9308,0.8148,-0.0014,0.0565,0.1803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,937.4000,0.0000,0.0000,2.0737,0.0000,0.0000,49.8533,0.0000,0.0046,0.0916,0.0000,0.0538,0.0418
30,30,233.9614,0.0088,0.0020,3.9308,0.8148,-0.0019,0.0494,0.1884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,937.4000,0.0000,0.0000,2.0737,0.0000,0.0000,49.8521,-0.0010,0.0039,0.0926,0.0000,0.0538,0.0387
31,31,233.9522,0.0092,0.0035,3.9308,0.8148,-0.0019,0.0435,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,937.4000,0.0000,0.0000,2.0737,0.0000,0.0000,49.8508,-0.0008,0.0039,0.0926,0.0000,0.0538,0.0364
32,32,234.7159,0.0006,0.0000,4.1579,0.2213,0.0039,0.0208,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1177.0206,0.0000,0.0000,2.0940,0.0000,0.0000,49.8495,-0.0008,0.0040,0.0926,0.0000,0.0149,0.0137
33,33,234.7128,0.0005,-0.0004,4.1579,0.2213,-0.0000,0.0218,0.0338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1177.0206,0.0000,0.0000,2.0940,0.0000,0.0000,49.8495,-0.0010,0.0040,0.0935,0.0000,0.0149,0.0152
34,34,234.7128,-0.0009,0.0001,4.1590,0.2213,0.0002,0.0200,0.0374,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1177.0206,0.0000,0.0000,2.0940,0.0000,0.0000,49.8495,-0.0010,0.0033,0.0944,0.0000,0.0149,0.0152
35,35,234.7128,-0.0008,0.0001,4.1600,0.2213,-0.0002,0.0150,0.0445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1177.0206,0.0000,0.0000,2.0940,0.0000,0.0000,49.8495,-0.0010,0.0018,0.0971,0.0000,0.0149,0.0132
