,trace,day,type
0,0,2,School screening
1,1,9,School screening
2,2,16,School screening
3,3,2,School screening
4,4,2,School screening
5,5,9,School screening
6,6,0,-
7,7,0,-
8,8,9,School screening
9,9,9,School screening
10,10,9,School screening
11,11,2,School screening
12,12,2,School screening
13,13,2,School screening
14,14,2,School screening
15,15,16,School screening
16,16,9,School screening
17,17,0,-
18,18,16,School screening
19,19,2,School screening
20,20,0,-
21,21,9,School screening
22,22,9,School screening
23,23,2,School screening
24,24,9,School screening
25,25,9,School screening
26,26,0,-
27,27,9,School screening
28,28,16,School screening
29,29,16,School screening
30,30,9,School screening
31,31,16,School screening
32,32,9,School screening
33,33,9,School screening
34,34,2,School screening
35,35,16,School screening
36,36,9,School screening
37,37,2,School screening
38,38,9,School screening
39,39,9,School screening
40,40,2,School screening
41,41,16,School screening
42,42,23,School screening
43,43,2,School screening
44,44,16,School screening
45,45,9,School screening
46,46,0,-
47,47,2,School screening
48,48,2,School screening
49,49,9,School screening
50,50,2,School screening
51,51,9,School screening
52,52,2,School screening
53,53,0,-
54,54,0,-
55,55,9,School screening
56,56,16,School screening
57,57,0,-
58,58,2,School screening
59,59,9,School screening
60,60,9,School screening
61,61,2,School screening
62,62,9,School screening
63,63,16,School screening
64,64,0,-
65,65,9,School screening
66,66,2,School screening
67,67,2,School screening
68,68,9,School screening
69,69,9,School screening
70,70,2,School screening
71,71,9,School screening
72,72,2,School screening
73,73,0,-
74,74,23,School screening
75,75,9,School screening
76,76,9,School screening
77,77,23,School screening
78,78,16,School screening
79,79,23,School screening
80,80,0,-
81,81,16,School screening
82,82,2,School screening
83,83,9,School screening
84,84,2,School screening
85,85,9,School screening
86,86,9,School screening
87,87,16,School screening
88,88,16,School screening
89,89,16,School screening
90,90,16,School screening
91,91,2,School screening
92,92,2,School screening
93,93,16,School screening
94,94,16,School screening
95,95,9,School screening
96,96,0,-
97,97,2,School screening
98,98,2,School screening
99,99,2,School screening
100,100,9,School screening
101,101,2,School screening
102,102,2,School screening
103,103,2,School screening
104,104,16,School screening
105,105,2,School screening
106,106,9,School screening
107,107,2,School screening
108,108,0,-
109,109,9,School screening
110,110,9,School screening
111,111,9,School screening
112,112,2,School screening
113,113,9,School screening
114,114,2,School screening
115,115,2,School screening
116,116,9,School screening
117,117,2,School screening
118,118,2,School screening
119,119,16,School screening
120,120,9,School screening
121,121,9,School screening
122,122,16,School screening
123,123,23,School screening
124,124,2,School screening
125,125,16,School screening
126,126,9,School screening
127,127,0,-
128,128,0,-
129,129,9,School screening
130,130,9,School screening
131,131,9,School screening
132,132,9,School screening
133,133,2,School screening
134,134,9,School screening
135,135,2,School screening
136,136,0,-
137,137,9,School screening
138,138,16,School screening
139,139,9,School screening
140,140,9,School screening
141,141,30,School screening
142,142,9,School screening
143,143,9,School screening
144,144,2,School screening
145,145,16,School screening
146,146,16,School screening
147,147,9,School screening
148,148,9,School screening
149,149,9,School screening
150,150,16,School screening
151,151,0,-
152,152,0,-
153,153,16,School screening
154,154,2,School screening
155,155,2,School screening
156,156,9,School screening
157,157,9,School screening
158,158,2,School screening
159,159,2,School screening
160,160,2,School screening
161,161,0,-
162,162,0,-
163,163,2,School screening
164,164,9,School screening
165,165,2,School screening
166,166,16,School screening
167,167,2,School screening
168,168,0,-
169,169,16,School screening
170,170,16,School screening
171,171,9,School screening
172,172,9,School screening
173,173,16,School screening
174,174,9,School screening
175,175,9,School screening
176,176,9,School screening
177,177,9,School screening
178,178,0,-
179,179,23,School screening
180,180,16,School screening
181,181,9,School screening
182,182,9,School screening
183,183,2,School screening
184,184,9,School screening
185,185,2,School screening
186,186,9,School screening
187,187,0,-
188,188,23,School screening
189,189,2,School screening
190,190,0,-
191,191,2,School screening
192,192,2,School screening
193,193,2,School screening
194,194,2,School screening
195,195,16,School screening
196,196,2,School screening
197,197,9,School screening
198,198,9,School screening
199,199,9,School screening
200,200,23,School screening
201,201,2,School screening
202,202,2,School screening
203,203,2,School screening
204,204,9,School screening
205,205,9,School screening
206,206,9,School screening
207,207,2,School screening
208,208,16,School screening
209,209,2,School screening
210,210,0,-
211,211,23,School screening
212,212,9,School screening
213,213,16,School screening
214,214,9,School screening
215,215,9,School screening
216,216,16,School screening
217,217,9,School screening
218,218,9,School screening
219,219,2,School screening
220,220,0,-
221,221,16,School screening
222,222,23,School screening
223,223,16,School screening
224,224,9,School screening
225,225,2,School screening
226,226,0,-
227,227,9,School screening
228,228,9,School screening
229,229,0,-
230,230,9,School screening
231,231,9,School screening
232,232,9,School screening
233,233,9,School screening
234,234,9,School screening
235,235,9,School screening
236,236,9,School screening
237,237,0,-
238,238,9,School screening
239,239,9,School screening
240,240,2,School screening
241,241,9,School screening
242,242,16,School screening
243,243,9,School screening
244,244,2,School screening
245,245,2,School screening
246,246,9,School screening
247,247,2,School screening
248,248,9,School screening
249,249,2,School screening
250,250,9,School screening
251,251,9,School screening
252,252,16,School screening
253,253,9,School screening
254,254,30,School screening
255,255,9,School screening
256,256,9,School screening
257,257,23,School screening
258,258,2,School screening
259,259,2,School screening
260,260,2,School screening
261,261,2,School screening
262,262,30,School screening
263,263,23,School screening
264,264,2,School screening
265,265,2,School screening
266,266,9,School screening
267,267,9,School screening
268,268,2,School screening
269,269,9,School screening
270,270,9,School screening
271,271,2,School screening
272,272,2,School screening
273,273,2,School screening
274,274,9,School screening
275,275,2,School screening
276,276,2,School screening
277,277,9,School screening
278,278,16,School screening
279,279,9,School screening
280,280,2,School screening
281,281,9,School screening
282,282,0,-
283,283,9,School screening
284,284,16,School screening
285,285,30,School screening
286,286,9,School screening
287,287,9,School screening
288,288,9,School screening
289,289,2,School screening
290,290,0,-
291,291,9,School screening
292,292,9,School screening
293,293,16,School screening
294,294,0,-
295,295,2,School screening
296,296,9,School screening
297,297,16,School screening
298,298,9,School screening
299,299,9,School screening
300,300,23,School screening
301,301,9,School screening
302,302,2,School screening
303,303,2,School screening
304,304,16,School screening
305,305,2,School screening
306,306,16,School screening
307,307,9,School screening
308,308,16,School screening
309,309,23,School screening
310,310,2,School screening
311,311,23,School screening
312,312,2,School screening
313,313,2,School screening
314,314,16,School screening
315,315,16,School screening
316,316,16,School screening
317,317,0,-
318,318,9,School screening
319,319,16,School screening
320,320,9,School screening
321,321,9,School screening
322,322,16,School screening
323,323,16,School screening
324,324,30,School screening
325,325,16,School screening
326,326,2,School screening
327,327,0,-
328,328,16,School screening
329,329,16,School screening
330,330,9,School screening
331,331,23,School screening
332,332,9,School screening
333,333,23,School screening
334,334,16,School screening
335,335,9,School screening
336,336,9,School screening
337,337,0,-
338,338,9,School screening
339,339,2,School screening
340,340,23,School screening
341,341,16,School screening
342,342,9,School screening
343,343,16,School screening
344,344,23,School screening
345,345,9,School screening
346,346,9,School screening
347,347,2,School screening
348,348,9,School screening
349,349,2,School screening
350,350,9,School screening
351,351,9,School screening
352,352,9,School screening
353,353,0,-
354,354,9,School screening
355,355,2,School screening
356,356,9,School screening
357,357,9,School screening
358,358,2,School screening
359,359,16,School screening
360,360,2,School screening
361,361,16,School screening
362,362,30,School screening
363,363,9,School screening
