,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,238.2727,0.8363,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9829,0.0370,0.0000,0.0000,0.0000,0.0000,1.0000
2,2,221.9232,0.1160,0.0000,0.1208,17.0489,0.5174,1.1212,0.0347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.1212,0.0000,0.0000,49.9829,0.0238,0.0174,0.0000,0.0000,0.9331,0.9363
3,3,221.8946,0.1150,0.0398,0.1208,17.0489,0.3605,1.1355,0.1947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.1212,0.0000,0.0000,49.9808,0.0225,0.0212,0.0030,0.0000,0.9331,0.8711
4,4,221.8558,0.1319,0.0683,0.1233,17.0489,0.2628,1.0679,0.3674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.1212,0.0000,0.0000,49.9775,0.0238,0.0237,0.0048,0.0000,0.9331,0.8065
5,5,221.8049,0.1586,0.0922,0.1342,17.0489,0.1899,1.0129,0.4971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.1212,0.0000,0.0000,49.9758,0.0200,0.0274,0.0079,0.0000,0.9331,0.7639
6,6,221.8049,0.1070,0.1354,0.1434,17.0489,0.1350,0.9362,0.6270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.1212,0.0000,0.0000,49.9758,0.0135,0.0287,0.0134,0.0000,0.9331,0.7374
7,7,221.8049,0.0732,0.1575,0.1557,17.0489,0.1040,0.8390,0.7547,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.1212,0.0000,0.0000,49.9758,0.0079,0.0315,0.0161,0.0000,0.9331,0.6836
8,8,221.7137,0.1690,0.1441,0.1818,17.0489,0.0807,0.7499,0.8656,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.1212,0.0000,0.0000,49.9718,0.0134,0.0303,0.0186,0.0000,0.9331,0.6212
9,9,220.6677,0.0350,0.0000,0.1195,18.1769,0.1420,0.8311,1.0248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.1462,0.0000,0.0000,1.2704,0.0000,0.0000,49.9718,0.0134,0.0243,0.0249,0.0000,1.0042,0.5946
10,10,220.6659,0.0323,0.0079,0.1195,18.1769,0.0989,0.7403,1.1541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.1462,0.0000,0.0000,1.2704,0.0000,0.0000,49.9718,0.0107,0.0213,0.0298,0.0000,1.0042,0.5424
11,11,220.6592,0.0338,0.0155,0.1206,18.1769,0.0779,0.6455,1.2680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.1462,0.0000,0.0000,1.2704,0.0000,0.0000,49.9718,0.0093,0.0213,0.0310,0.0000,1.0042,0.4828
12,12,220.6421,0.0475,0.0263,0.1229,18.1769,0.0507,0.5919,1.3441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.1462,0.0000,0.0000,1.2704,0.0000,0.0000,49.9718,0.0064,0.0225,0.0322,0.0000,1.0042,0.4533
13,13,220.6421,0.0395,0.0355,0.1229,18.1769,0.0315,0.5280,1.4251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.1462,0.0000,0.0000,1.2704,0.0000,0.0000,49.9718,0.0048,0.0225,0.0338,0.0000,1.0042,0.4087
14,14,220.6421,0.0303,0.0445,0.1229,18.1769,0.0218,0.4747,1.4853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.1462,0.0000,0.0000,1.2704,0.0000,0.0000,49.9718,0.0048,0.0200,0.0362,0.0000,1.0042,0.3781
15,15,220.6169,0.0613,0.0517,0.1241,18.1769,0.0121,0.4196,1.5472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.1462,0.0000,0.0000,1.2704,0.0000,0.0000,49.9709,0.0048,0.0187,0.0385,0.0000,1.0042,0.3433
16,16,236.9669,0.0149,0.0000,1.7309,1.7109,0.0444,0.1615,0.2549,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,700.8039,0.0000,0.0000,1.3129,0.0000,0.0000,49.9709,0.0048,0.0161,0.0409,0.0000,0.1071,0.0837
17,17,236.9632,0.0175,0.0048,1.7309,1.7109,0.0325,0.1615,0.2666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,700.8039,0.0000,0.0000,1.3129,0.0000,0.0000,49.9709,0.0048,0.0148,0.0420,0.0000,0.1071,0.0824
18,18,236.9624,0.0180,0.0064,1.7309,1.7109,0.0239,0.1551,0.2804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,700.8039,0.0000,0.0000,1.3129,0.0000,0.0000,49.9709,0.0048,0.0121,0.0444,0.0000,0.1071,0.0798
19,19,236.9555,0.0285,0.0094,1.7309,1.7109,0.0161,0.1453,0.2977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,700.8039,0.0000,0.0000,1.3129,0.0000,0.0000,49.9709,0.0048,0.0093,0.0467,0.0000,0.1071,0.0776
20,20,236.9555,0.0208,0.0180,1.7309,1.7109,0.0093,0.1375,0.3106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,700.8039,0.0000,0.0000,1.3129,0.0000,0.0000,49.9709,0.0048,0.0048,0.0501,0.0000,0.1071,0.0820
21,21,236.9555,0.0166,0.0162,1.7342,1.7109,0.0079,0.1202,0.3294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,700.8039,0.0000,0.0000,1.3129,0.0000,0.0000,49.9709,0.0048,0.0048,0.0501,0.0000,0.1071,0.0763
22,22,236.9513,0.0223,0.0160,1.7374,1.7109,0.0079,0.0976,0.3509,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,700.8039,0.0000,0.0000,1.3129,0.0000,0.0000,49.9709,0.0030,0.0064,0.0501,0.0000,0.1071,0.0656
23,23,237.7429,0.0029,0.0000,2.0383,0.6144,0.0216,0.0554,0.0810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,940.4743,0.0000,0.0000,1.3237,0.0000,0.0000,49.9709,0.0000,0.0079,0.0501,0.0000,0.0378,0.0315
24,24,237.7412,0.0088,0.0029,2.0383,0.6144,0.0088,0.0572,0.0895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,940.4743,0.0000,0.0000,1.3237,0.0000,0.0000,49.9709,0.0000,0.0079,0.0501,0.0000,0.0378,0.0319
25,25,237.7401,0.0088,0.0088,2.0383,0.6144,0.0064,0.0495,0.0993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,940.4743,0.0000,0.0000,1.3237,0.0000,0.0000,49.9709,0.0000,0.0079,0.0501,0.0000,0.0378,0.0295
26,26,237.7401,0.0088,0.0059,2.0396,0.6144,0.0048,0.0440,0.1059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,940.4743,0.0000,0.0000,1.3237,0.0000,0.0000,49.9709,0.0000,0.0079,0.0501,0.0000,0.0378,0.0295
27,27,237.7401,0.0059,0.0059,2.0409,0.6144,0.0048,0.0380,0.1125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,940.4743,0.0000,0.0000,1.3237,0.0000,0.0000,49.9709,0.0000,0.0064,0.0516,0.0000,0.0378,0.0266
