,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.0000,0.6712,0.6712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0366,0.0366,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.0000,1.8942,1.4208,0.3084,0.1148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0607,0.0500,0.0098,0.0000,0.0000,0.0000,0.1075
3,0.0000,79.9670,1.4124,0.3851,0.1828,77.9597,0.6696,1.1809,0.0666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5280,0.0000,0.0000,0.0691,0.0418,0.0297,0.0000,0.0000,0.2586,0.1657
4,0.0000,74.5351,2.1986,0.7958,0.2212,77.9597,0.4539,1.3735,0.2069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5280,0.0000,0.0000,0.0903,0.0473,0.0412,0.0010,0.0000,0.2586,0.1882
5,0.0000,69.6429,3.3181,1.4195,0.2997,77.9597,0.3195,1.3722,0.3946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5280,0.0000,0.0000,0.1188,0.0568,0.0539,0.0040,0.0000,0.2586,0.2417
6,0.0000,69.6429,1.8905,2.4966,0.4245,77.9597,0.2206,1.3681,0.5444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5280,0.0000,0.0000,0.1188,0.0396,0.0566,0.0190,0.0000,0.2586,0.2765
7,0.0000,69.6429,1.1513,3.0441,0.6663,77.9597,0.1536,1.2665,0.7160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5280,0.0000,0.0000,0.1188,0.0313,0.0584,0.0257,0.0000,0.2586,0.3225
8,0.0000,64.8914,3.1448,3.2213,1.0250,77.9597,0.1102,1.1937,0.9123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5280,0.0000,0.0000,0.1520,0.0586,0.0564,0.0312,0.0000,0.2586,0.3458
9,0.0000,61.7060,5.7385,4.3739,1.4108,77.9597,0.0717,1.0056,1.0972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5280,0.0000,0.0000,0.2016,0.0791,0.0695,0.0377,0.0000,0.2586,0.3770
10,0.0000,99.0519,1.3566,0.4291,0.7084,72.1813,2.2997,5.1456,1.8516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.8642,0.0000,0.0000,1.2953,0.0000,0.0000,0.2067,0.0570,0.0816,0.0503,0.0000,0.2778,0.4401
