,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,234.5746,0.6254,0.8000,0.0000,3.8000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.0000,0.0000,0.0000,0.2000,0.0000,0.0000,49.9784,0.0216,0.0000,0.0000,0.0000,0.2000,1.0000
2,2.0000,230.7417,0.8583,0.6517,0.0967,7.1347,0.0947,0.3918,0.0304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,96.0000,0.0000,0.0000,0.4172,0.0000,0.0000,49.9585,0.0326,0.0088,0.0000,0.0000,0.3826,0.9073
3,3.0000,227.3323,0.8505,0.5379,0.1642,10.1480,0.2288,0.6344,0.1039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,144.0000,0.0000,0.0000,0.6833,0.0000,0.0000,49.9427,0.0368,0.0196,0.0008,0.0000,0.5558,0.8403
4,4.0000,224.2689,0.6194,0.3522,0.1930,12.9776,0.4042,0.9339,0.2509,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,192.0000,0.0000,0.0000,1.0150,0.0000,0.0000,49.9301,0.0366,0.0310,0.0022,0.0000,0.7283,0.7972
5,5.0000,221.4142,0.1690,0.0475,0.1471,15.7966,0.6102,1.3600,0.4555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.4457,0.0000,0.0000,49.9283,0.0270,0.0370,0.0076,0.0000,0.9111,0.7916
6,6.0000,221.4142,0.1129,0.0993,0.1513,15.7966,0.4398,1.3596,0.6262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.4457,0.0000,0.0000,49.9283,0.0212,0.0386,0.0118,0.0000,0.9111,0.7840
7,7.0000,221.4142,0.0751,0.1255,0.1629,15.7966,0.3179,1.2901,0.8176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.4457,0.0000,0.0000,49.9283,0.0130,0.0432,0.0154,0.0000,0.9111,0.7531
8,8.0000,221.3159,0.1559,0.1217,0.1842,15.7966,0.2298,1.1936,1.0022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,284.0000,0.0000,0.0000,1.4457,0.0000,0.0000,49.9231,0.0158,0.0386,0.0224,0.0000,0.9111,0.7051
9,9.0000,220.9986,0.1906,0.1253,0.1870,16.0174,0.1782,1.1381,1.1648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,328.3483,0.0000,0.0000,1.4733,0.0000,0.0000,49.9205,0.0136,0.0374,0.0284,0.0000,0.9249,0.6851
