,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,234.6182,0.6690,0.8000,0.0000,3.8000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.0000,0.0000,0.0000,0.2000,0.0000,0.0000,49.9863,0.0296,0.0000,0.0000,0.0000,0.2000,1.0000
2,2.0000,230.8697,0.9072,0.6727,0.1128,7.2098,0.1035,0.4029,0.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,96.0000,0.0000,0.0000,0.4242,0.0000,0.0000,49.9693,0.0421,0.0139,0.0000,0.0000,0.3866,0.9277
3,3.0000,227.5577,0.9001,0.5636,0.1837,10.3169,0.2485,0.6608,0.1176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,144.0000,0.0000,0.0000,0.7021,0.0000,0.0000,49.9553,0.0467,0.0272,0.0024,0.0000,0.5651,0.8667
4,4.0000,224.5920,0.6624,0.3747,0.2140,13.2511,0.4370,0.9806,0.2760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,192.0000,0.0000,0.0000,1.0503,0.0000,0.0000,49.9439,0.0465,0.0403,0.0048,0.0000,0.7437,0.8273
5,5.0000,221.8271,0.1978,0.0596,0.1675,16.1794,0.6567,1.4325,0.4936,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.5030,0.0000,0.0000,49.9423,0.0356,0.0471,0.0122,0.0000,0.9331,0.8236
6,6.0000,221.8271,0.1342,0.1220,0.1723,16.1794,0.4779,1.4346,0.6704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.5030,0.0000,0.0000,49.9423,0.0288,0.0490,0.0176,0.0000,0.9331,0.8168
7,7.0000,221.8271,0.0913,0.1519,0.1858,16.1794,0.3493,1.3653,0.8687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.5030,0.0000,0.0000,49.9423,0.0188,0.0542,0.0220,0.0000,0.9331,0.7869
8,8.0000,221.7248,0.1872,0.1472,0.2101,16.1794,0.2558,1.2670,1.0597,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,284.0000,0.0000,0.0000,1.5030,0.0000,0.0000,49.9379,0.0227,0.0490,0.0303,0.0000,0.9331,0.7386
9,9.0000,221.4163,0.2261,0.1495,0.2131,16.4050,0.2022,1.2112,1.2273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,328.4292,0.0000,0.0000,1.5329,0.0000,0.0000,49.9357,0.0202,0.0476,0.0373,0.0000,0.9473,0.7187
10,10.0000,220.9641,0.2111,0.1299,0.2052,16.8121,0.1829,1.1255,1.4407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,373.0710,0.0000,0.0000,1.5818,0.0000,0.0000,49.9337,0.0182,0.0459,0.0433,0.0000,0.9731,0.6837
11,11.0000,220.4116,0.1479,0.0853,0.1778,17.3506,0.1996,1.0790,1.6437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,417.7418,0.0000,0.0000,1.6597,0.0000,0.0000,49.9327,0.0139,0.0483,0.0462,0.0000,1.0084,0.6404
12,12.0000,219.8141,0.0636,0.0202,0.1516,17.9827,0.1938,1.1033,1.8040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.2180,0.0000,0.0000,1.7464,0.0000,0.0000,49.9325,0.0088,0.0479,0.0512,0.0000,1.0489,0.6276
13,13.0000,219.8141,0.0486,0.0350,0.1537,17.9827,0.1300,1.0055,1.9615,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.2180,0.0000,0.0000,1.7464,0.0000,0.0000,49.9325,0.0068,0.0442,0.0565,0.0000,1.0489,0.5922
14,14.0000,219.8141,0.0377,0.0428,0.1565,17.9827,0.0907,0.9204,2.0821,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.2180,0.0000,0.0000,1.7464,0.0000,0.0000,49.9325,0.0056,0.0413,0.0604,0.0000,1.0489,0.5661
15,15.0000,223.5871,0.0642,0.0478,0.3599,14.1827,0.0645,0.7950,2.0225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,510.2180,0.0000,0.0000,1.7464,0.0000,0.0000,49.9321,0.0053,0.0375,0.0648,0.0000,0.8489,0.5036
16,16.0000,226.8293,0.0780,0.0488,0.6845,10.8895,0.0541,0.6706,1.8528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,557.9495,0.0000,0.0000,1.7549,0.0000,0.0000,49.9314,0.0057,0.0331,0.0698,0.0000,0.6695,0.4265
17,17.0000,229.6980,0.0754,0.0453,1.1450,7.9916,0.0456,0.5500,1.5553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,605.4555,0.0000,0.0000,1.7708,0.0000,0.0000,49.9312,0.0047,0.0307,0.0729,0.0000,0.5039,0.3454
18,18.0000,232.3383,0.0522,0.0305,1.7793,5.3203,0.0516,0.4167,1.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,652.7763,0.0000,0.0000,1.7963,0.0000,0.0000,49.9307,0.0048,0.0282,0.0758,0.0000,0.3425,0.2455
19,19.0000,234.9414,0.0259,0.0055,2.6363,2.6794,0.0598,0.2739,0.4505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,700.0166,0.0000,0.0000,1.8244,0.0000,0.0000,49.9307,0.0046,0.0257,0.0783,0.0000,0.1714,0.1420
20,20.0000,234.9414,0.0179,0.0143,2.6365,2.6794,0.0410,0.2620,0.4802,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,700.0166,0.0000,0.0000,1.8244,0.0000,0.0000,49.9307,0.0040,0.0222,0.0819,0.0000,0.1714,0.1371
21,21.0000,234.9414,0.0139,0.0158,2.6384,2.6794,0.0301,0.2430,0.5093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,700.0166,0.0000,0.0000,1.8244,0.0000,0.0000,49.9307,0.0040,0.0196,0.0843,0.0000,0.1714,0.1314
22,22.0000,234.9351,0.0203,0.0169,2.6411,2.6794,0.0199,0.2196,0.5421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,748.0166,0.0000,0.0000,1.8244,0.0000,0.0000,49.9305,0.0036,0.0194,0.0851,0.0000,0.1714,0.1242
23,23.0000,235.0861,0.0271,0.0153,2.7019,2.4601,0.0178,0.1880,0.5153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,795.9507,0.0000,0.0000,1.8266,0.0000,0.0000,49.9302,0.0024,0.0192,0.0862,0.0000,0.1575,0.1123
24,24.0000,235.4066,0.0286,0.0166,2.8116,2.0463,0.0143,0.1581,0.4381,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,843.8080,0.0000,0.0000,1.8308,0.0000,0.0000,49.9299,0.0030,0.0190,0.0867,0.0000,0.1315,0.0904
25,25.0000,235.8351,0.0215,0.0091,2.9788,1.5273,0.0158,0.1262,0.3036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,891.5996,0.0000,0.0000,1.8386,0.0000,0.0000,49.9296,0.0033,0.0180,0.0879,0.0000,0.0974,0.0705
26,26.0000,236.3420,0.0130,0.0037,3.1519,0.9315,0.0172,0.0950,0.1624,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,939.3624,0.0000,0.0000,1.8457,0.0000,0.0000,49.9296,0.0021,0.0166,0.0899,0.0000,0.0593,0.0479
27,27.0000,236.3420,0.0101,0.0060,3.1524,0.9315,0.0119,0.0876,0.1744,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,939.3624,0.0000,0.0000,1.8457,0.0000,0.0000,49.9296,0.0021,0.0152,0.0912,0.0000,0.0593,0.0471
28,28.0000,236.3420,0.0065,0.0095,3.1526,0.9315,0.0096,0.0790,0.1843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,939.3624,0.0000,0.0000,1.8457,0.0000,0.0000,49.9296,0.0009,0.0144,0.0923,0.0000,0.0593,0.0481
29,29.0000,236.3368,0.0150,0.0107,3.1526,0.9315,0.0060,0.0686,0.1970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,987.3624,0.0000,0.0000,1.8457,0.0000,0.0000,49.9295,0.0015,0.0134,0.0932,0.0000,0.0593,0.0482
30,30.0000,236.3722,0.0229,0.0104,3.1698,0.8649,0.0050,0.0610,0.1868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1035.3310,0.0000,0.0000,1.8469,0.0000,0.0000,49.9292,0.0021,0.0129,0.0938,0.0000,0.0551,0.0425
31,31.0000,236.4410,0.0227,0.0096,3.1973,0.7474,0.0058,0.0522,0.1692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1083.2989,0.0000,0.0000,1.8497,0.0000,0.0000,49.9290,0.0025,0.0129,0.0938,0.0000,0.0480,0.0374
32,32.0000,236.5530,0.0173,0.0078,3.2528,0.5984,0.0103,0.0449,0.1235,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1131.2386,0.0000,0.0000,1.8544,0.0000,0.0000,49.9286,0.0027,0.0133,0.0944,0.0000,0.0382,0.0320
33,33.0000,236.6915,0.0098,0.0025,3.3097,0.3988,0.0149,0.0376,0.0765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1179.1704,0.0000,0.0000,1.8602,0.0000,0.0000,49.9284,0.0024,0.0130,0.0955,0.0000,0.0257,0.0241
34,34.0000,236.6915,0.0064,0.0065,3.3099,0.3988,0.0099,0.0371,0.0814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1179.1704,0.0000,0.0000,1.8602,0.0000,0.0000,49.9284,0.0018,0.0120,0.0966,0.0000,0.0257,0.0247
35,35.0000,236.6915,0.0054,0.0060,3.3105,0.3988,0.0077,0.0302,0.0897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1179.1704,0.0000,0.0000,1.8602,0.0000,0.0000,49.9284,0.0006,0.0106,0.0983,0.0000,0.0257,0.0230
