,trace,day,type
0,0,0,-
1,1,12,School screening
2,2,5,School screening
3,3,5,School screening
4,4,5,School screening
5,5,5,School screening
6,6,5,School screening
7,7,5,School screening
8,8,12,School screening
9,9,5,School screening
10,10,5,School screening
11,11,12,School screening
12,12,12,School screening
13,13,5,School screening
14,14,19,School screening
15,15,19,School screening
16,16,19,School screening
17,17,5,School screening
18,18,33,School screening
19,19,19,School screening
20,20,12,School screening
21,21,5,School screening
22,22,5,School screening
23,23,12,School screening
24,24,0,-
25,25,0,-
26,26,12,School screening
27,27,19,School screening
28,28,5,School screening
29,29,5,School screening
30,30,5,School screening
31,31,5,School screening
32,32,5,School screening
33,33,12,School screening
34,34,12,School screening
35,35,0,-
36,36,12,School screening
37,37,5,School screening
38,38,12,School screening
39,39,12,School screening
40,40,5,School screening
41,41,0,-
42,42,5,School screening
43,43,12,School screening
44,44,0,-
45,45,5,School screening
46,46,0,-
47,47,19,School screening
48,48,33,School screening
49,49,12,School screening
50,50,5,School screening
51,51,12,School screening
52,52,12,School screening
53,53,12,School screening
54,54,5,School screening
55,55,12,School screening
56,56,12,School screening
57,57,12,School screening
58,58,12,School screening
59,59,5,School screening
60,60,5,School screening
61,61,12,School screening
62,62,5,School screening
63,63,12,School screening
64,64,5,School screening
65,65,19,School screening
66,66,12,School screening
67,67,5,School screening
68,68,5,School screening
69,69,12,School screening
70,70,12,School screening
71,71,0,-
72,72,5,School screening
73,73,5,School screening
74,74,5,School screening
75,75,5,School screening
76,76,5,School screening
77,77,12,School screening
78,78,12,School screening
79,79,5,School screening
80,80,12,School screening
81,81,19,School screening
82,82,26,School screening
83,83,12,School screening
84,84,0,-
85,85,19,School screening
86,86,19,School screening
87,87,12,School screening
88,88,12,School screening
89,89,5,School screening
90,90,5,School screening
91,91,26,School screening
92,92,12,School screening
93,93,5,School screening
94,94,5,School screening
95,95,0,-
96,96,0,-
97,97,0,-
98,98,19,School screening
99,99,5,School screening
100,100,5,School screening
101,101,5,School screening
102,102,5,School screening
103,103,5,School screening
104,104,5,School screening
105,105,5,School screening
106,106,5,School screening
107,107,12,School screening
108,108,5,School screening
109,109,12,School screening
110,110,0,-
111,111,5,School screening
112,112,5,School screening
113,113,5,School screening
114,114,12,School screening
115,115,19,School screening
116,116,12,School screening
117,117,5,School screening
118,118,26,School screening
119,119,12,School screening
120,120,5,School screening
121,121,12,School screening
122,122,5,School screening
123,123,12,School screening
124,124,12,School screening
125,125,5,School screening
126,126,12,School screening
