,trace,day,type
0,0,15,School screening
1,1,15,School screening
2,2,15,School screening
3,3,1,School screening
4,4,8,School screening
5,5,1,School screening
6,6,8,School screening
7,7,1,School screening
8,8,8,School screening
9,9,8,School screening
10,10,8,School screening
11,11,22,School screening
12,12,1,School screening
13,13,8,School screening
14,14,8,School screening
15,15,1,School screening
16,16,15,School screening
17,17,1,School screening
18,18,1,School screening
19,19,1,School screening
20,20,15,School screening
21,21,0,-
22,22,0,-
23,23,8,School screening
24,24,1,School screening
25,25,0,-
26,26,8,School screening
27,27,8,School screening
28,28,0,-
29,29,15,School screening
30,30,1,School screening
31,31,1,School screening
32,32,0,-
33,33,8,School screening
34,34,8,School screening
35,35,1,School screening
36,36,29,School screening
37,37,8,School screening
38,38,8,School screening
39,39,8,School screening
40,40,1,School screening
41,41,8,School screening
42,42,8,School screening
43,43,8,School screening
44,44,8,School screening
45,45,0,-
46,46,29,School screening
47,47,8,School screening
48,48,8,School screening
49,49,1,School screening
50,50,15,School screening
51,51,8,School screening
52,52,0,-
53,53,8,School screening
54,54,8,School screening
55,55,8,School screening
56,56,8,School screening
57,57,22,School screening
58,58,8,School screening
59,59,1,School screening
60,60,0,-
61,61,15,School screening
62,62,22,School screening
63,63,15,School screening
64,64,15,School screening
65,65,15,School screening
66,66,15,School screening
67,67,8,School screening
68,68,8,School screening
69,69,8,School screening
70,70,8,School screening
71,71,1,School screening
72,72,15,School screening
73,73,1,School screening
74,74,29,School screening
75,75,15,School screening
76,76,1,School screening
77,77,0,-
78,78,8,School screening
79,79,15,School screening
80,80,1,School screening
81,81,8,School screening
82,82,1,School screening
83,83,1,School screening
84,84,8,School screening
85,85,8,School screening
86,86,1,School screening
87,87,8,School screening
88,88,8,School screening
89,89,8,School screening
90,90,15,School screening
91,91,15,School screening
92,92,8,School screening
93,93,15,School screening
94,94,15,School screening
95,95,15,School screening
96,96,1,School screening
97,97,1,School screening
98,98,22,School screening
99,99,15,School screening
100,100,15,School screening
101,101,8,School screening
102,102,8,School screening
103,103,1,School screening
104,104,8,School screening
105,105,1,School screening
106,106,8,School screening
107,107,8,School screening
108,108,22,School screening
109,109,1,School screening
110,110,8,School screening
111,111,1,School screening
112,112,8,School screening
113,113,8,School screening
114,114,1,School screening
115,115,22,School screening
116,116,15,School screening
117,117,1,School screening
118,118,8,School screening
119,119,1,School screening
120,120,8,School screening
121,121,15,School screening
122,122,8,School screening
123,123,15,School screening
124,124,15,School screening
125,125,8,School screening
126,126,15,School screening
127,127,15,School screening
128,128,8,School screening
129,129,8,School screening
130,130,15,School screening
131,131,8,School screening
132,132,0,-
