,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,233.0944,0.5528,0.7200,0.0000,4.3031,0.0000,0.2265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.2265,0.0000,0.0000,49.9665,0.0146,0.0000,0.0000,0.0000,0.2265,1.0000
2,2,232.4667,1.0131,0.7611,0.0853,4.3031,0.0000,0.1909,0.0254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.2265,0.0000,0.0000,49.9407,0.0276,0.0012,0.0000,0.0000,0.2265,0.8728
3,3,231.7396,1.4094,0.9682,0.1777,4.3031,0.0000,0.1584,0.0553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.2265,0.0000,0.0000,49.9102,0.0358,0.0130,-0.0010,0.0000,0.2265,0.8261
4,4,230.8320,1.8683,1.2256,0.3246,4.3031,0.0000,0.1300,0.0826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.2265,0.0000,0.0000,49.8800,0.0480,0.0220,-0.0004,0.0000,0.2265,0.7880
5,5,229.8078,2.3133,1.5704,0.5102,4.3031,0.0000,0.1056,0.1067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.2265,0.0000,0.0000,49.8344,0.0699,0.0293,0.0039,0.0000,0.2265,0.7974
6,6,229.8078,1.6592,2.0077,0.7209,4.3031,0.0000,0.0917,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.2265,0.0000,0.0000,49.8344,0.0442,0.0523,0.0060,0.0000,0.2265,0.8185
7,7,229.8078,1.1754,2.2342,0.9781,4.3031,0.0000,0.0798,0.1329,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.2265,0.0000,0.0000,49.8344,0.0271,0.0689,0.0068,0.0000,0.2265,0.8428
8,8,223.5491,0.7992,0.6859,0.5671,9.8911,0.4174,1.6187,0.8147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.5999,0.0000,0.0000,0.7830,0.0000,0.0000,49.7992,0.0478,0.0638,0.0183,0.0000,0.6450,0.8395
9,9,223.0144,1.0474,0.8201,0.6706,9.8911,0.2920,1.5342,1.0230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.5999,0.0000,0.0000,0.7830,0.0000,0.0000,49.7701,0.0564,0.0693,0.0277,0.0000,0.6450,0.8483
