,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,236.0140,0.7037,0.8799,0.0000,2.2823,0.0000,0.1201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9339,0.0000,0.0000,0.1201,0.0000,0.0000,49.9760,0.0240,0.0000,0.0000,0.0000,0.1201,1.0000
2,2.0000,235.2282,1.3143,0.9339,0.1211,2.2823,0.0000,0.1061,0.0140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9339,0.0000,0.0000,0.1201,0.0000,0.0000,49.9610,0.0340,0.0050,0.0000,0.0000,0.1201,0.8989
3,3.0000,234.3634,1.8178,1.1802,0.2362,2.2823,0.0000,0.0961,0.0240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9339,0.0000,0.0000,0.1201,0.0000,0.0000,49.9299,0.0581,0.0120,0.0000,0.0000,0.1201,0.8669
4,4.0000,233.3203,2.3303,1.5465,0.4004,2.2823,0.0000,0.0801,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9339,0.0000,0.0000,0.1201,0.0000,0.0000,49.9069,0.0691,0.0240,0.0000,0.0000,0.1201,0.8759
5,5.0000,232.1441,2.8639,1.9910,0.5986,2.2823,0.0000,0.0691,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9339,0.0000,0.0000,0.1201,0.0000,0.0000,49.8509,0.1031,0.0440,0.0020,0.0000,0.1201,0.9099
6,6.0000,232.1441,2.1051,2.4965,0.8519,2.2823,0.0000,0.0551,0.0651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9339,0.0000,0.0000,0.1201,0.0000,0.0000,49.8509,0.0741,0.0671,0.0080,0.0000,0.1201,0.9439
7,7.0000,232.1441,1.5005,2.7778,1.1752,2.2823,0.0000,0.0420,0.0781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.9339,0.0000,0.0000,0.1201,0.0000,0.0000,49.8509,0.0561,0.0801,0.0130,0.0000,0.1201,0.9610
8,8.0000,227.5826,1.6697,1.6076,1.0521,5.9019,0.3644,1.2583,0.5636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.5536,0.0000,0.0000,0.4424,0.0000,0.0000,49.8068,0.0871,0.0831,0.0230,0.0000,0.4044,0.9790
9,9.0000,226.5485,2.2042,1.8899,1.2693,5.9019,0.2593,1.2002,0.7267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.5536,0.0000,0.0000,0.4424,0.0000,0.0000,49.7528,0.1201,0.0961,0.0310,0.0000,0.4044,0.9910
10,10.0000,225.4454,2.6577,2.3063,1.5025,5.9019,0.1942,1.1351,0.8569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.5536,0.0000,0.0000,0.4424,0.0000,0.0000,49.6797,0.1682,0.1111,0.0410,0.0000,0.4044,1.0501
11,11.0000,224.3984,2.9299,2.7848,1.7988,5.9019,0.1401,1.0450,1.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.5536,0.0000,0.0000,0.4424,0.0000,0.0000,49.5906,0.2122,0.1421,0.0551,0.0000,0.4044,1.1161
12,12.0000,223.2102,3.2973,3.2152,2.1892,5.9019,0.1071,0.9299,1.1491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.5536,0.0000,0.0000,0.4424,0.0000,0.0000,49.5095,0.2342,0.1772,0.0791,0.0000,0.4044,1.1712
13,13.0000,223.2102,2.3734,3.6827,2.6456,5.9019,0.0771,0.8208,1.2883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.5536,0.0000,0.0000,0.4424,0.0000,0.0000,49.5095,0.1732,0.2182,0.0991,0.0000,0.4044,1.2663
14,14.0000,223.2102,1.7247,3.8058,3.1712,5.9019,0.0581,0.7417,1.3864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.5536,0.0000,0.0000,0.4424,0.0000,0.0000,49.5095,0.1261,0.2372,0.1271,0.0000,0.4044,1.3163
15,15.0000,221.5315,1.5756,1.7768,2.1431,6.7508,0.5165,2.6547,3.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.6757,0.0000,0.0000,0.8889,0.0000,0.0000,49.4615,0.1361,0.2482,0.1542,0.0000,0.6486,1.3043
16,16.0000,220.7057,1.9269,2.0240,2.3704,6.7508,0.3734,2.4374,3.4114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.6757,0.0000,0.0000,0.8889,0.0000,0.0000,49.4084,0.1532,0.2593,0.1792,0.0000,0.6486,1.3263
17,17.0000,219.7668,2.2993,2.3133,2.6476,6.7508,0.2763,2.2352,3.7107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.6757,0.0000,0.0000,0.8889,0.0000,0.0000,49.3524,0.1672,0.2643,0.2162,0.0000,0.6486,1.3844
18,18.0000,218.7978,2.6406,2.6527,2.9359,6.7508,0.1942,2.0020,4.0260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.6757,0.0000,0.0000,0.8889,0.0000,0.0000,49.2883,0.1712,0.2943,0.2462,0.0000,0.6486,1.4244
19,19.0000,217.6617,3.0330,3.0651,3.2673,6.7508,0.1361,1.7878,4.2983,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.6757,0.0000,0.0000,0.8889,0.0000,0.0000,49.2042,0.2032,0.3213,0.2713,0.0000,0.6486,1.4865
20,20.0000,217.6617,2.1572,3.5115,3.6967,6.7508,0.0971,1.5986,4.5265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.6757,0.0000,0.0000,0.8889,0.0000,0.0000,49.2042,0.1351,0.3403,0.3203,0.0000,0.6486,1.5646
21,21.0000,217.6617,1.5345,3.6567,4.1742,6.7508,0.0621,1.4274,4.7327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.6757,0.0000,0.0000,0.8889,0.0000,0.0000,49.2042,0.0981,0.3403,0.3574,0.0000,0.6486,1.5936
22,22.0000,217.3874,1.4965,1.7908,4.7908,6.2132,0.4765,2.7608,5.0841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.4805,0.0000,0.0000,1.3343,0.0000,0.0000,49.1632,0.1151,0.3203,0.4014,0.0000,0.7267,1.4054
23,23.0000,216.6096,1.8398,1.9670,5.0490,6.2132,0.3534,2.4955,5.4725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.4805,0.0000,0.0000,1.3343,0.0000,0.0000,49.1151,0.1391,0.3003,0.4454,0.0000,0.7267,1.3984
