,trace,day,type
0,0,0,-
1,1,11,School screening
2,2,18,School screening
3,3,4,School screening
4,4,11,School screening
5,5,4,School screening
6,6,11,School screening
7,7,11,School screening
8,8,11,School screening
9,9,25,School screening
10,10,4,School screening
11,11,11,School screening
12,12,11,School screening
13,13,4,School screening
14,14,18,School screening
15,15,25,School screening
16,16,18,School screening
17,17,4,School screening
18,18,32,School screening
19,19,18,School screening
20,20,11,School screening
21,21,4,School screening
22,22,11,School screening
23,23,11,School screening
24,24,0,-
25,25,0,-
26,26,4,School screening
27,27,4,School screening
28,28,4,School screening
29,29,4,School screening
30,30,4,School screening
31,31,4,School screening
32,32,4,School screening
33,33,11,School screening
34,34,11,School screening
35,35,0,-
36,36,11,School screening
37,37,4,School screening
38,38,18,School screening
39,39,11,School screening
40,40,4,School screening
41,41,0,-
42,42,11,School screening
43,43,11,School screening
44,44,0,-
45,45,4,School screening
46,46,0,-
47,47,18,School screening
48,48,4,School screening
49,49,11,School screening
50,50,4,School screening
51,51,18,School screening
52,52,11,School screening
53,53,18,School screening
54,54,4,School screening
55,55,11,School screening
56,56,18,School screening
57,57,11,School screening
58,58,11,School screening
59,59,4,School screening
60,60,4,School screening
61,61,11,School screening
62,62,4,School screening
63,63,11,School screening
64,64,4,School screening
65,65,25,School screening
66,66,11,School screening
67,67,4,School screening
68,68,4,School screening
69,69,18,School screening
70,70,11,School screening
71,71,0,-
72,72,4,School screening
73,73,11,School screening
74,74,11,School screening
75,75,4,School screening
76,76,4,School screening
77,77,18,School screening
78,78,11,School screening
79,79,4,School screening
80,80,11,School screening
81,81,18,School screening
82,82,25,School screening
83,83,11,School screening
84,84,0,-
85,85,11,School screening
86,86,18,School screening
87,87,11,School screening
88,88,18,School screening
89,89,4,School screening
90,90,11,School screening
91,91,4,School screening
92,92,11,School screening
93,93,4,School screening
94,94,4,School screening
95,95,0,-
96,96,0,-
97,97,0,-
98,98,18,School screening
99,99,4,School screening
100,100,11,School screening
101,101,4,School screening
102,102,4,School screening
103,103,18,School screening
104,104,4,School screening
105,105,4,School screening
106,106,11,School screening
107,107,11,School screening
108,108,11,School screening
109,109,11,School screening
110,110,0,-
111,111,0,-
112,112,11,School screening
113,113,4,School screening
114,114,18,School screening
115,115,18,School screening
116,116,11,School screening
117,117,4,School screening
118,118,25,School screening
119,119,11,School screening
120,120,11,School screening
121,121,11,School screening
122,122,4,School screening
123,123,11,School screening
124,124,11,School screening
125,125,4,School screening
126,126,11,School screening
127,127,25,School screening
128,128,4,School screening
129,129,0,-
130,130,4,School screening
131,131,18,School screening
132,132,4,School screening
133,133,4,School screening
134,134,11,School screening
135,135,11,School screening
136,136,18,School screening
137,137,18,School screening
138,138,25,School screening
139,139,0,-
140,140,4,School screening
141,141,0,-
142,142,4,School screening
143,143,4,School screening
144,144,11,School screening
145,145,4,School screening
146,146,4,School screening
147,147,0,-
148,148,11,School screening
149,149,11,School screening
150,150,32,School screening
151,151,4,School screening
152,152,4,School screening
153,153,0,-
154,154,4,School screening
155,155,11,School screening
156,156,4,School screening
157,157,11,School screening
158,158,4,School screening
159,159,4,School screening
160,160,4,School screening
161,161,4,School screening
162,162,11,School screening
163,163,4,School screening
164,164,25,School screening
165,165,11,School screening
166,166,4,School screening
167,167,0,-
168,168,11,School screening
169,169,11,School screening
170,170,11,School screening
171,171,11,School screening
172,172,4,School screening
173,173,0,-
174,174,4,School screening
175,175,18,School screening
176,176,18,School screening
177,177,18,School screening
178,178,4,School screening
179,179,11,School screening
180,180,0,-
181,181,11,School screening
182,182,11,School screening
183,183,32,School screening
184,184,0,-
185,185,4,School screening
186,186,11,School screening
187,187,11,School screening
188,188,4,School screening
189,189,4,School screening
190,190,4,School screening
191,191,18,School screening
192,192,11,School screening
193,193,4,School screening
194,194,11,School screening
195,195,11,School screening
196,196,4,School screening
197,197,11,School screening
198,198,11,School screening
199,199,11,School screening
200,200,0,-
201,201,4,School screening
202,202,4,School screening
203,203,25,School screening
204,204,11,School screening
205,205,11,School screening
206,206,0,-
207,207,4,School screening
208,208,11,School screening
209,209,4,School screening
210,210,11,School screening
211,211,4,School screening
212,212,18,School screening
213,213,0,-
214,214,11,School screening
215,215,4,School screening
216,216,4,School screening
217,217,11,School screening
218,218,4,School screening
219,219,0,-
220,220,32,School screening
221,221,4,School screening
222,222,25,School screening
223,223,0,-
224,224,4,School screening
225,225,4,School screening
226,226,4,School screening
227,227,4,School screening
228,228,0,-
229,229,11,School screening
230,230,4,School screening
231,231,4,School screening
232,232,4,School screening
233,233,4,School screening
234,234,4,School screening
235,235,18,School screening
236,236,4,School screening
237,237,4,School screening
238,238,4,School screening
239,239,4,School screening
240,240,11,School screening
241,241,18,School screening
242,242,11,School screening
243,243,25,School screening
244,244,11,School screening
245,245,18,School screening
246,246,4,School screening
247,247,18,School screening
248,248,18,School screening
249,249,11,School screening
250,250,4,School screening
251,251,4,School screening
252,252,0,-
253,253,11,School screening
254,254,4,School screening
255,255,4,School screening
256,256,11,School screening
257,257,0,-
258,258,11,School screening
259,259,11,School screening
260,260,11,School screening
261,261,11,School screening
262,262,11,School screening
263,263,11,School screening
264,264,4,School screening
265,265,0,-
266,266,4,School screening
267,267,11,School screening
268,268,4,School screening
269,269,4,School screening
270,270,0,-
271,271,4,School screening
272,272,0,-
273,273,4,School screening
274,274,11,School screening
275,275,18,School screening
276,276,18,School screening
277,277,18,School screening
278,278,11,School screening
279,279,4,School screening
280,280,11,School screening
281,281,18,School screening
282,282,11,School screening
283,283,11,School screening
284,284,11,School screening
285,285,25,School screening
286,286,18,School screening
287,287,11,School screening
288,288,4,School screening
289,289,11,School screening
290,290,4,School screening
291,291,4,School screening
292,292,11,School screening
293,293,0,-
294,294,11,School screening
295,295,11,School screening
296,296,11,School screening
297,297,4,School screening
298,298,4,School screening
299,299,18,School screening
300,300,4,School screening
301,301,4,School screening
302,302,18,School screening
303,303,18,School screening
304,304,11,School screening
305,305,0,-
306,306,11,School screening
307,307,0,-
308,308,4,School screening
309,309,4,School screening
310,310,0,-
311,311,0,-
312,312,4,School screening
313,313,4,School screening
314,314,0,-
315,315,11,School screening
316,316,4,School screening
317,317,0,-
318,318,11,School screening
319,319,18,School screening
320,320,11,School screening
321,321,0,-
322,322,11,School screening
323,323,11,School screening
324,324,4,School screening
325,325,18,School screening
326,326,11,School screening
327,327,0,-
328,328,4,School screening
329,329,11,School screening
330,330,18,School screening
331,331,11,School screening
332,332,18,School screening
333,333,4,School screening
334,334,4,School screening
335,335,0,-
336,336,4,School screening
337,337,11,School screening
338,338,11,School screening
339,339,11,School screening
340,340,4,School screening
341,341,11,School screening
342,342,11,School screening
343,343,11,School screening
344,344,4,School screening
345,345,11,School screening
346,346,4,School screening
347,347,4,School screening
348,348,4,School screening
349,349,11,School screening
350,350,11,School screening
351,351,4,School screening
352,352,0,-
353,353,11,School screening
354,354,4,School screening
355,355,0,-
356,356,4,School screening
357,357,11,School screening
358,358,18,School screening
359,359,18,School screening
360,360,11,School screening
361,361,4,School screening
362,362,4,School screening
363,363,0,-
364,364,0,-
365,365,11,School screening
366,366,4,School screening
367,367,0,-
368,368,4,School screening
369,369,11,School screening
370,370,11,School screening
371,371,4,School screening
372,372,11,School screening
373,373,4,School screening
374,374,11,School screening
375,375,11,School screening
376,376,11,School screening
377,377,4,School screening
378,378,4,School screening
379,379,11,School screening
380,380,11,School screening
381,381,4,School screening
382,382,11,School screening
383,383,4,School screening
384,384,4,School screening
385,385,11,School screening
386,386,0,-
387,387,18,School screening
388,388,25,School screening
389,389,4,School screening
390,390,0,-
391,391,4,School screening
392,392,18,School screening
393,393,4,School screening
394,394,4,School screening
395,395,11,School screening
396,396,4,School screening
397,397,11,School screening
398,398,4,School screening
399,399,11,School screening
400,400,4,School screening
401,401,0,-
402,402,0,-
403,403,0,-
404,404,4,School screening
405,405,4,School screening
406,406,11,School screening
407,407,11,School screening
408,408,18,School screening
409,409,4,School screening
410,410,18,School screening
411,411,0,-
412,412,25,School screening
413,413,4,School screening
414,414,11,School screening
415,415,11,School screening
416,416,11,School screening
417,417,11,School screening
418,418,4,School screening
419,419,4,School screening
420,420,11,School screening
421,421,4,School screening
422,422,11,School screening
423,423,25,School screening
424,424,0,-
425,425,11,School screening
426,426,18,School screening
427,427,4,School screening
428,428,4,School screening
429,429,11,School screening
430,430,0,-
431,431,4,School screening
432,432,0,-
433,433,11,School screening
434,434,11,School screening
435,435,4,School screening
436,436,4,School screening
437,437,4,School screening
438,438,4,School screening
439,439,4,School screening
440,440,11,School screening
441,441,4,School screening
442,442,11,School screening
443,443,4,School screening
444,444,11,School screening
445,445,18,School screening
446,446,0,-
447,447,11,School screening
448,448,4,School screening
449,449,0,-
450,450,4,School screening
451,451,11,School screening
452,452,18,School screening
453,453,4,School screening
454,454,0,-
455,455,4,School screening
456,456,32,School screening
457,457,11,School screening
458,458,4,School screening
459,459,4,School screening
460,460,18,School screening
461,461,18,School screening
462,462,4,School screening
463,463,11,School screening
464,464,25,School screening
465,465,18,School screening
466,466,11,School screening
467,467,18,School screening
468,468,11,School screening
469,469,11,School screening
470,470,4,School screening
471,471,4,School screening
472,472,11,School screening
473,473,0,-
474,474,4,School screening
475,475,4,School screening
476,476,11,School screening
477,477,11,School screening
478,478,11,School screening
479,479,0,-
480,480,4,School screening
481,481,4,School screening
482,482,18,School screening
483,483,18,School screening
484,484,4,School screening
485,485,4,School screening
486,486,18,School screening
487,487,11,School screening
488,488,4,School screening
489,489,11,School screening
490,490,11,School screening
491,491,11,School screening
492,492,11,School screening
493,493,11,School screening
494,494,4,School screening
495,495,11,School screening
496,496,4,School screening
497,497,11,School screening
498,498,11,School screening
499,499,4,School screening
500,500,11,School screening
501,501,4,School screening
502,502,11,School screening
503,503,25,School screening
504,504,4,School screening
505,505,4,School screening
506,506,4,School screening
507,507,11,School screening
508,508,11,School screening
509,509,18,School screening
510,510,4,School screening
511,511,11,School screening
512,512,11,School screening
513,513,11,School screening
514,514,18,School screening
515,515,4,School screening
516,516,25,School screening
517,517,4,School screening
518,518,11,School screening
519,519,4,School screening
520,520,4,School screening
521,521,11,School screening
522,522,0,-
523,523,4,School screening
524,524,18,School screening
525,525,18,School screening
526,526,0,-
527,527,4,School screening
528,528,4,School screening
529,529,4,School screening
530,530,0,-
531,531,11,School screening
532,532,4,School screening
533,533,4,School screening
534,534,11,School screening
535,535,11,School screening
536,536,11,School screening
537,537,25,School screening
538,538,25,School screening
539,539,11,School screening
540,540,4,School screening
541,541,4,School screening
542,542,11,School screening
543,543,11,School screening
544,544,0,-
545,545,11,School screening
546,546,11,School screening
547,547,18,School screening
548,548,11,School screening
549,549,25,School screening
550,550,4,School screening
551,551,25,School screening
552,552,4,School screening
553,553,11,School screening
554,554,11,School screening
555,555,4,School screening
556,556,4,School screening
557,557,11,School screening
558,558,0,-
559,559,4,School screening
560,560,4,School screening
561,561,4,School screening
562,562,0,-
563,563,4,School screening
564,564,11,School screening
565,565,4,School screening
566,566,0,-
567,567,4,School screening
568,568,18,School screening
569,569,18,School screening
570,570,18,School screening
571,571,4,School screening
572,572,11,School screening
573,573,4,School screening
574,574,32,School screening
575,575,11,School screening
576,576,18,School screening
577,577,4,School screening
578,578,4,School screening
579,579,18,School screening
580,580,11,School screening
581,581,11,School screening
582,582,11,School screening
583,583,11,School screening
584,584,4,School screening
585,585,4,School screening
586,586,4,School screening
587,587,4,School screening
588,588,4,School screening
589,589,18,School screening
590,590,4,School screening
591,591,4,School screening
592,592,4,School screening
593,593,25,School screening
594,594,4,School screening
595,595,4,School screening
596,596,18,School screening
597,597,25,School screening
598,598,4,School screening
599,599,4,School screening
600,600,18,School screening
601,601,4,School screening
602,602,11,School screening
603,603,11,School screening
604,604,11,School screening
605,605,4,School screening
606,606,4,School screening
607,607,4,School screening
608,608,0,-
609,609,11,School screening
610,610,11,School screening
611,611,4,School screening
612,612,18,School screening
613,613,18,School screening
614,614,11,School screening
615,615,4,School screening
616,616,18,School screening
617,617,0,-
618,618,4,School screening
619,619,11,School screening
620,620,4,School screening
621,621,0,-
622,622,4,School screening
623,623,0,-
624,624,11,School screening
625,625,4,School screening
626,626,18,School screening
627,627,18,School screening
628,628,4,School screening
629,629,4,School screening
630,630,0,-
631,631,4,School screening
632,632,4,School screening
633,633,11,School screening
634,634,18,School screening
635,635,4,School screening
636,636,4,School screening
637,637,18,School screening
638,638,11,School screening
639,639,11,School screening
640,640,18,School screening
641,641,11,School screening
642,642,4,School screening
643,643,11,School screening
644,644,11,School screening
645,645,4,School screening
646,646,11,School screening
647,647,25,School screening
648,648,4,School screening
649,649,18,School screening
650,650,11,School screening
651,651,4,School screening
652,652,4,School screening
653,653,4,School screening
654,654,4,School screening
655,655,18,School screening
656,656,11,School screening
657,657,11,School screening
658,658,11,School screening
659,659,11,School screening
660,660,11,School screening
661,661,0,-
662,662,11,School screening
663,663,18,School screening
664,664,4,School screening
665,665,18,School screening
666,666,11,School screening
667,667,4,School screening
668,668,4,School screening
669,669,4,School screening
670,670,18,School screening
671,671,11,School screening
672,672,4,School screening
673,673,0,-
674,674,18,School screening
675,675,11,School screening
676,676,11,School screening
677,677,4,School screening
678,678,18,School screening
679,679,11,School screening
680,680,11,School screening
681,681,11,School screening
682,682,4,School screening
683,683,11,School screening
684,684,11,School screening
685,685,4,School screening
686,686,0,-
687,687,4,School screening
688,688,11,School screening
689,689,18,School screening
690,690,18,School screening
691,691,4,School screening
692,692,11,School screening
693,693,4,School screening
694,694,4,School screening
695,695,11,School screening
696,696,0,-
697,697,11,School screening
698,698,4,School screening
699,699,11,School screening
700,700,18,School screening
701,701,11,School screening
702,702,11,School screening
703,703,18,School screening
704,704,11,School screening
705,705,11,School screening
706,706,4,School screening
707,707,18,School screening
708,708,4,School screening
709,709,0,-
710,710,18,School screening
711,711,4,School screening
712,712,4,School screening
713,713,18,School screening
714,714,11,School screening
715,715,4,School screening
716,716,4,School screening
717,717,4,School screening
718,718,0,-
719,719,11,School screening
720,720,11,School screening
721,721,11,School screening
722,722,11,School screening
723,723,4,School screening
724,724,4,School screening
725,725,4,School screening
726,726,4,School screening
727,727,11,School screening
728,728,4,School screening
729,729,11,School screening
730,730,4,School screening
731,731,11,School screening
732,732,4,School screening
733,733,11,School screening
734,734,18,School screening
735,735,4,School screening
736,736,11,School screening
737,737,18,School screening
738,738,4,School screening
739,739,11,School screening
740,740,11,School screening
741,741,0,-
742,742,11,School screening
743,743,4,School screening
744,744,4,School screening
745,745,4,School screening
746,746,18,School screening
747,747,4,School screening
748,748,18,School screening
749,749,4,School screening
750,750,11,School screening
751,751,0,-
752,752,4,School screening
753,753,11,School screening
754,754,4,School screening
755,755,11,School screening
756,756,11,School screening
757,757,11,School screening
758,758,4,School screening
759,759,11,School screening
760,760,0,-
761,761,4,School screening
762,762,11,School screening
763,763,4,School screening
764,764,4,School screening
765,765,18,School screening
766,766,11,School screening
767,767,4,School screening
768,768,11,School screening
769,769,11,School screening
770,770,0,-
771,771,11,School screening
772,772,4,School screening
773,773,11,School screening
774,774,18,School screening
775,775,0,-
776,776,18,School screening
777,777,11,School screening
778,778,0,-
779,779,4,School screening
780,780,11,School screening
781,781,4,School screening
782,782,4,School screening
783,783,18,School screening
784,784,0,-
785,785,18,School screening
786,786,11,School screening
787,787,11,School screening
788,788,4,School screening
789,789,4,School screening
790,790,11,School screening
791,791,0,-
792,792,0,-
793,793,4,School screening
794,794,4,School screening
795,795,11,School screening
796,796,18,School screening
797,797,11,School screening
798,798,11,School screening
799,799,4,School screening
800,800,4,School screening
801,801,4,School screening
802,802,4,School screening
803,803,11,School screening
804,804,4,School screening
805,805,0,-
806,806,4,School screening
807,807,11,School screening
808,808,11,School screening
809,809,4,School screening
810,810,18,School screening
811,811,11,School screening
812,812,11,School screening
813,813,11,School screening
814,814,18,School screening
815,815,4,School screening
816,816,11,School screening
817,817,4,School screening
818,818,11,School screening
819,819,0,-
820,820,0,-
821,821,18,School screening
822,822,11,School screening
823,823,18,School screening
824,824,4,School screening
825,825,4,School screening
826,826,4,School screening
827,827,18,School screening
828,828,11,School screening
829,829,11,School screening
830,830,0,-
831,831,4,School screening
832,832,11,School screening
833,833,11,School screening
834,834,11,School screening
835,835,11,School screening
836,836,0,-
837,837,0,-
838,838,18,School screening
839,839,4,School screening
840,840,11,School screening
841,841,4,School screening
842,842,4,School screening
843,843,18,School screening
844,844,25,School screening
845,845,0,-
846,846,11,School screening
847,847,11,School screening
848,848,18,School screening
849,849,4,School screening
850,850,18,School screening
851,851,4,School screening
852,852,11,School screening
853,853,4,School screening
854,854,11,School screening
855,855,11,School screening
856,856,11,School screening
857,857,11,School screening
858,858,11,School screening
859,859,4,School screening
860,860,4,School screening
861,861,4,School screening
862,862,4,School screening
863,863,11,School screening
864,864,11,School screening
865,865,11,School screening
866,866,18,School screening
867,867,18,School screening
868,868,4,School screening
869,869,4,School screening
870,870,4,School screening
871,871,18,School screening
872,872,4,School screening
873,873,18,School screening
874,874,4,School screening
875,875,4,School screening
876,876,11,School screening
877,877,4,School screening
878,878,0,-
879,879,11,School screening
880,880,11,School screening
881,881,0,-
882,882,4,School screening
883,883,11,School screening
884,884,4,School screening
885,885,11,School screening
886,886,0,-
887,887,4,School screening
888,888,25,School screening
889,889,18,School screening
890,890,4,School screening
891,891,18,School screening
892,892,4,School screening
893,893,25,School screening
894,894,0,-
895,895,18,School screening
896,896,18,School screening
897,897,11,School screening
898,898,0,-
899,899,11,School screening
900,900,11,School screening
901,901,4,School screening
902,902,4,School screening
903,903,18,School screening
904,904,11,School screening
905,905,0,-
906,906,11,School screening
907,907,18,School screening
908,908,11,School screening
909,909,11,School screening
910,910,18,School screening
911,911,11,School screening
912,912,18,School screening
913,913,11,School screening
914,914,0,-
915,915,4,School screening
916,916,11,School screening
917,917,25,School screening
918,918,25,School screening
919,919,4,School screening
920,920,18,School screening
921,921,4,School screening
922,922,4,School screening
923,923,4,School screening
924,924,4,School screening
925,925,4,School screening
926,926,11,School screening
927,927,11,School screening
928,928,11,School screening
929,929,18,School screening
930,930,11,School screening
931,931,4,School screening
932,932,0,-
933,933,4,School screening
934,934,0,-
935,935,11,School screening
936,936,25,School screening
937,937,11,School screening
938,938,4,School screening
939,939,11,School screening
940,940,0,-
941,941,11,School screening
942,942,11,School screening
943,943,11,School screening
944,944,0,-
945,945,4,School screening
946,946,4,School screening
947,947,0,-
948,948,25,School screening
949,949,18,School screening
950,950,11,School screening
951,951,4,School screening
952,952,11,School screening
953,953,0,-
954,954,18,School screening
955,955,4,School screening
956,956,18,School screening
957,957,11,School screening
958,958,4,School screening
959,959,18,School screening
960,960,25,School screening
961,961,4,School screening
962,962,4,School screening
963,963,11,School screening
964,964,11,School screening
965,965,4,School screening
966,966,4,School screening
967,967,0,-
968,968,11,School screening
969,969,11,School screening
970,970,11,School screening
971,971,11,School screening
972,972,4,School screening
973,973,4,School screening
974,974,11,School screening
975,975,4,School screening
976,976,4,School screening
977,977,11,School screening
978,978,0,-
979,979,11,School screening
980,980,4,School screening
981,981,11,School screening
982,982,11,School screening
983,983,4,School screening
984,984,0,-
985,985,18,School screening
986,986,25,School screening
987,987,4,School screening
988,988,11,School screening
989,989,4,School screening
990,990,0,-
991,991,4,School screening
992,992,11,School screening
993,993,0,-
994,994,0,-
995,995,4,School screening
996,996,4,School screening
997,997,4,School screening
998,998,18,School screening
999,999,4,School screening
