,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,238.2299,0.8815,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9780,0.0441,0.0000,0.0000,0.0000,0.0000,1.0000
2,2,237.3927,1.5529,1.1190,0.1626,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9549,0.0683,0.0108,0.0000,0.0000,0.0000,0.9235
3,3,236.4346,2.1213,1.4517,0.3131,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9202,0.0890,0.0359,0.0030,0.0000,0.0000,0.9186
4,4,230.3531,1.5945,0.8910,0.4045,6.3544,0.6250,1.0371,0.1406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.4864,0.0000,0.0000,49.9083,0.0819,0.0547,0.0079,0.0000,0.4051,0.9241
5,5,229.6002,1.9389,1.2109,0.5306,6.3544,0.4407,1.0607,0.3063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.4864,0.0000,0.0000,49.8809,0.0920,0.0708,0.0174,0.0000,0.4051,0.9474
6,6,229.6002,1.3813,1.6207,0.6859,6.3544,0.3239,1.0150,0.4682,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.4864,0.0000,0.0000,49.8809,0.0601,0.0964,0.0238,0.0000,0.4051,0.9969
7,7,229.6002,0.9995,1.8074,0.8797,6.3544,0.2361,0.9719,0.6013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.4864,0.0000,0.0000,49.8809,0.0464,0.1064,0.0279,0.0000,0.4051,1.0266
8,8,228.5593,1.7949,1.8672,1.1203,6.3544,0.1849,0.9077,0.7160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.4864,0.0000,0.0000,49.8325,0.0949,0.1019,0.0436,0.0000,0.4051,1.0279
9,9,227.4951,2.4232,2.1201,1.3695,6.3544,0.1344,0.8506,0.8251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,0.0000,0.4864,0.0000,0.0000,49.7734,0.1389,0.1166,0.0573,0.0000,0.4051,1.0460
