,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,238.1742,0.8258,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9670,0.0330,0.0000,0.0000,0.0000,0.0000,1.0000
2,2.0000,237.3013,1.4745,1.0831,0.1411,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9399,0.0541,0.0060,0.0000,0.0000,0.0000,0.9029
3,3.0000,233.3343,1.5716,1.0290,0.2613,3.2472,0.1702,0.3634,0.0230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,0.0000,0.0000,0.1982,0.0000,0.0000,49.9069,0.0661,0.0260,0.0010,0.0000,0.1902,0.8929
4,4.0000,232.3864,2.0581,1.3383,0.4134,3.2472,0.1261,0.3544,0.0761,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,0.0000,0.0000,0.1982,0.0000,0.0000,49.8809,0.0731,0.0420,0.0040,0.0000,0.1902,0.8869
5,5.0000,229.2623,1.9520,1.2092,0.5295,5.5756,0.4094,0.8408,0.2212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.6196,0.0000,0.0000,0.3744,0.0000,0.0000,49.8539,0.0811,0.0541,0.0110,0.0000,0.3524,0.9089
6,6.0000,229.2623,1.4134,1.5766,0.7007,5.5756,0.2923,0.8418,0.3373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.6196,0.0000,0.0000,0.3744,0.0000,0.0000,49.8539,0.0531,0.0761,0.0170,0.0000,0.3524,0.9409
7,7.0000,229.2623,1.0080,1.7868,0.8959,5.5756,0.2142,0.8148,0.4424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.6196,0.0000,0.0000,0.3744,0.0000,0.0000,49.8539,0.0350,0.0911,0.0200,0.0000,0.3524,0.9740
8,8.0000,228.1692,1.7988,1.8849,1.1001,5.5756,0.1522,0.7437,0.5756,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.6196,0.0000,0.0000,0.3744,0.0000,0.0000,49.7988,0.0811,0.0861,0.0340,0.0000,0.3524,0.9800
9,9.0000,227.0300,2.4164,2.1712,1.3353,5.5756,0.1051,0.6897,0.6767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.6196,0.0000,0.0000,0.3744,0.0000,0.0000,49.7347,0.1211,0.0981,0.0460,0.0000,0.3524,1.0090
10,10.0000,223.0290,1.5135,1.0290,0.8749,9.0100,0.8979,2.1391,1.5065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,94.5626,0.0000,0.0000,0.7818,0.0000,0.0000,49.7057,0.1151,0.1211,0.0581,0.0000,0.6777,1.0571
11,11.0000,222.4254,1.6997,1.2973,1.0240,9.0100,0.6296,2.1271,1.7868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,94.5626,0.0000,0.0000,0.7818,0.0000,0.0000,49.6637,0.1231,0.1361,0.0771,0.0000,0.6777,1.1011
12,12.0000,220.1692,1.2793,0.8889,0.7858,10.8038,0.8799,2.7027,2.4905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.2072,0.0000,0.0000,0.9600,0.0000,0.0000,49.6436,0.1111,0.1461,0.0991,0.0000,0.8438,1.1471
13,13.0000,220.1692,0.9189,1.1261,0.9089,10.8038,0.6507,2.5606,2.8619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.2072,0.0000,0.0000,0.9600,0.0000,0.0000,49.6436,0.0801,0.1612,0.1151,0.0000,0.8438,1.1802
14,14.0000,220.1692,0.6687,1.2172,1.0681,10.8038,0.4795,2.4064,3.1872,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.2072,0.0000,0.0000,0.9600,0.0000,0.0000,49.6436,0.0581,0.1672,0.1311,0.0000,0.8438,1.1712
15,15.0000,219.5546,1.0801,1.2533,1.2352,10.8038,0.3363,2.2052,3.5315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.2072,0.0000,0.0000,0.9600,0.0000,0.0000,49.6036,0.0821,0.1612,0.1532,0.0000,0.8438,1.1722
16,16.0000,218.9019,1.4224,1.4064,1.3924,10.8038,0.2272,2.0090,3.8368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.2072,0.0000,0.0000,0.9600,0.0000,0.0000,49.5656,0.0981,0.1642,0.1722,0.0000,0.8438,1.1612
17,17.0000,219.5866,1.0400,0.7888,1.5475,9.7037,0.5365,2.5736,4.2232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151.2462,0.0000,0.0000,1.2002,0.0000,0.0000,49.5425,0.0951,0.1612,0.2012,0.0000,0.8519,1.1141
18,18.0000,219.1572,1.1782,0.9730,1.6547,9.7037,0.3744,2.3914,4.5676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151.2462,0.0000,0.0000,1.2002,0.0000,0.0000,49.5275,0.0831,0.1652,0.2242,0.0000,0.8519,1.1041
