,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,237.0410,0.7281,0.9398,0.0000,0.8594,0.0000,0.0452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0000,0.0000,0.0452,0.0000,0.0000,49.9579,0.0206,0.0000,0.0000,0.0000,0.0452,1.0000
2,2.0000,235.1480,1.2354,0.9132,0.1113,1.7187,0.0205,0.1008,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.0000,0.0000,0.0000,0.0937,0.0000,0.0000,49.9287,0.0369,0.0012,0.0000,0.0000,0.0927,0.8806
3,3.0000,232.4946,1.4343,0.9618,0.2158,3.3495,0.0983,0.2695,0.0277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.8796,0.0000,0.0000,0.1933,0.0000,0.0000,49.8951,0.0448,0.0157,-0.0010,0.0000,0.1888,0.8577
4,4.0000,230.8328,1.7354,1.1087,0.3420,4.1065,0.1431,0.3703,0.0852,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.7542,0.0000,0.0000,0.2446,0.0000,0.0000,49.8678,0.0513,0.0276,-0.0001,0.0000,0.2374,0.8414
5,5.0000,229.1651,1.9612,1.2533,0.4883,4.8573,0.1898,0.5141,0.1702,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.6112,0.0000,0.0000,0.3008,0.0000,0.0000,49.8294,0.0662,0.0369,0.0041,0.0000,0.2894,0.8525
6,6.0000,229.1651,1.4088,1.6263,0.6602,4.8573,0.1321,0.4980,0.2450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.6112,0.0000,0.0000,0.3008,0.0000,0.0000,49.8294,0.0413,0.0580,0.0080,0.0000,0.2894,0.8774
7,7.0000,229.1651,1.0018,1.8291,0.8625,4.8573,0.0947,0.4735,0.3079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.6112,0.0000,0.0000,0.3008,0.0000,0.0000,49.8294,0.0237,0.0730,0.0101,0.0000,0.2894,0.9094
8,8.0000,226.9087,1.4931,1.5410,0.9329,6.1162,0.1615,0.7869,0.5314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,71.3002,0.0000,0.0000,0.4116,0.0000,0.0000,49.7750,0.0598,0.0692,0.0211,0.0000,0.3841,0.9091
9,9.0000,224.9379,1.6502,1.3834,0.9582,7.2144,0.2730,1.1159,0.8104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,82.9574,0.0000,0.0000,0.5239,0.0000,0.0000,49.7286,0.0778,0.0805,0.0302,0.0000,0.4767,0.9269
10,10.0000,222.5706,1.3416,0.9557,0.7973,8.9500,0.5552,1.7412,1.3040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,102.1809,0.0000,0.0000,0.7153,0.0000,0.0000,49.7009,0.0762,0.0939,0.0417,0.0000,0.6364,0.9549
11,11.0000,221.4699,1.3228,0.9693,0.8281,9.5005,0.5051,1.9147,1.6468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,109.7660,0.0000,0.0000,0.7727,0.0000,0.0000,49.6642,0.0810,0.1035,0.0562,0.0000,0.6880,0.9845
12,12.0000,220.3067,1.3059,0.9862,0.8352,10.0964,0.4850,2.0292,2.0477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.2988,0.0000,0.0000,0.8317,0.0000,0.0000,49.6405,0.0764,0.1081,0.0736,0.0000,0.7432,1.0135
13,13.0000,220.3067,0.9439,1.1912,0.9910,10.0964,0.3514,1.8877,2.3267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.2988,0.0000,0.0000,0.8317,0.0000,0.0000,49.6405,0.0526,0.1196,0.0877,0.0000,0.7432,1.0374
14,14.0000,220.3067,0.6825,1.2907,1.1533,10.0964,0.2592,1.7409,2.5691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.2988,0.0000,0.0000,0.8317,0.0000,0.0000,49.6405,0.0345,0.1265,0.0997,0.0000,0.7432,1.0327
15,15.0000,219.9662,0.9101,1.0420,1.1809,9.7576,0.2467,1.8430,2.9895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,128.7123,0.0000,0.0000,0.9103,0.0000,0.0000,49.6034,0.0528,0.1213,0.1159,0.0000,0.7515,1.0209
16,16.0000,219.6844,0.9689,0.8840,1.2029,9.4448,0.2671,1.9549,3.3668,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.1103,0.0000,0.0000,0.9940,0.0000,0.0000,49.5716,0.0629,0.1223,0.1313,0.0000,0.7611,0.9963
17,17.0000,219.8545,0.8355,0.6646,1.3449,8.7132,0.3491,2.1269,3.6698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,159.0110,0.0000,0.0000,1.1118,0.0000,0.0000,49.5491,0.0602,0.1179,0.1565,0.0000,0.7517,0.9717
18,18.0000,219.8140,0.8558,0.6702,1.5530,8.3077,0.3078,2.0503,3.8839,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,166.5766,0.0000,0.0000,1.1525,0.0000,0.0000,49.5303,0.0546,0.1200,0.1756,0.0000,0.7359,0.9340
19,19.0000,219.8119,0.8762,0.6580,1.8574,7.8644,0.2830,1.9576,4.0297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,174.1078,0.0000,0.0000,1.1905,0.0000,0.0000,49.5137,0.0493,0.1171,0.1993,0.0000,0.7148,0.9148
20,20.0000,219.8119,0.6259,0.8193,1.9500,7.8644,0.1985,1.7757,4.3017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,174.1078,0.0000,0.0000,1.1905,0.0000,0.0000,49.5137,0.0347,0.1143,0.2179,0.0000,0.7148,0.9307
21,21.0000,219.8119,0.4483,0.8984,2.0539,7.8644,0.1332,1.6041,4.5443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,174.1078,0.0000,0.0000,1.1905,0.0000,0.0000,49.5137,0.0240,0.1093,0.2341,0.0000,0.7148,0.9238
22,22.0000,220.1374,0.6159,0.7146,2.6279,7.0969,0.1377,1.5486,4.3727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,185.6355,0.0000,0.0000,1.2455,0.0000,0.0000,49.4889,0.0354,0.1031,0.2482,0.0000,0.6651,0.8627
23,23.0000,220.4309,0.6715,0.6068,3.3029,6.4283,0.1697,1.4613,4.0969,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,197.1523,0.0000,0.0000,1.2994,0.0000,0.0000,49.4733,0.0339,0.1029,0.2626,0.0000,0.6149,0.7881
