,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,238.1932,0.8068,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
2,2.0000,237.3514,1.4234,1.1031,0.1221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9129
3,3.0000,236.3614,2.0160,1.3423,0.2803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8719
4,4.0000,235.2032,2.6266,1.7147,0.4555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8909
5,5.0000,224.5876,0.8188,0.3323,0.3073,10.3774,1.2653,1.9550,0.3564,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120.0000,0.0000,0.0000,1.1261,0.0000,0.0000,0.6977,0.9309
6,6.0000,224.5876,0.5856,0.5155,0.3574,10.3774,0.9249,2.0280,0.6236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120.0000,0.0000,0.0000,1.1261,0.0000,0.0000,0.6977,0.9670
7,7.0000,224.5876,0.4244,0.6096,0.4244,10.3774,0.6597,2.0110,0.9059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120.0000,0.0000,0.0000,1.1261,0.0000,0.0000,0.6977,0.9900
8,8.0000,224.1582,0.7588,0.6446,0.4845,10.3774,0.4855,1.9219,1.1692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120.0000,0.0000,0.0000,1.1261,0.0000,0.0000,0.6977,0.9910
9,9.0000,223.6867,1.0100,0.7728,0.5766,10.3774,0.3483,1.7978,1.4304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120.0000,0.0000,0.0000,1.1261,0.0000,0.0000,0.6977,1.0020
10,10.0000,223.1351,1.2923,0.9499,0.6687,10.3774,0.2462,1.6627,1.6677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120.0000,0.0000,0.0000,1.1261,0.0000,0.0000,0.6977,1.0220
11,11.0000,222.5726,1.4905,1.1852,0.7978,10.3774,0.1682,1.5165,1.8919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120.0000,0.0000,0.0000,1.1261,0.0000,0.0000,0.6977,1.0280
12,12.0000,218.3143,0.3944,0.1682,0.3223,14.5255,0.8929,2.6416,2.7407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,233.0230,0.0000,0.0000,1.8188,0.0000,0.0000,1.0400,1.0490
13,13.0000,218.3143,0.2753,0.2643,0.3453,14.5255,0.6436,2.5205,3.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,233.0230,0.0000,0.0000,1.8188,0.0000,0.0000,1.0400,1.0581
14,14.0000,218.3143,0.1862,0.3213,0.3774,14.5255,0.4494,2.3964,3.4294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,233.0230,0.0000,0.0000,1.8188,0.0000,0.0000,1.0400,1.0511
15,15.0000,218.0681,0.3814,0.3343,0.4154,14.5255,0.3283,2.1842,3.7628,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,233.0230,0.0000,0.0000,1.8188,0.0000,0.0000,1.0400,1.0240
16,16.0000,217.8368,0.4915,0.4214,0.4494,14.5255,0.2332,1.9900,4.0521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,233.0230,0.0000,0.0000,1.8188,0.0000,0.0000,1.0400,1.0030
17,17.0000,217.5676,0.6096,0.5105,0.5115,14.5255,0.1582,1.8038,4.3133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,233.0230,0.0000,0.0000,1.8188,0.0000,0.0000,1.0400,0.9680
18,18.0000,217.3003,0.7047,0.6056,0.5886,14.5255,0.1131,1.6216,4.5405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,233.0230,0.0000,0.0000,1.8188,0.0000,0.0000,1.0400,0.9409
19,19.0000,225.6577,0.1562,0.0851,3.8509,6.1191,0.4494,1.5305,2.1512,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,349.5996,0.0000,0.0000,2.1692,0.0000,0.0000,0.5125,0.5325
20,20.0000,225.6577,0.1181,0.1141,3.8599,6.1191,0.3123,1.4515,2.3674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,349.5996,0.0000,0.0000,2.1692,0.0000,0.0000,0.5125,0.5225
21,21.0000,225.6577,0.0841,0.1351,3.8729,6.1191,0.2252,1.3273,2.5786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,349.5996,0.0000,0.0000,2.1692,0.0000,0.0000,0.5125,0.5105
22,22.0000,225.5726,0.1451,0.1391,3.8929,6.1191,0.1722,1.1922,2.7668,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,349.5996,0.0000,0.0000,2.1692,0.0000,0.0000,0.5125,0.5015
23,23.0000,225.4725,0.2002,0.1622,3.9149,6.1191,0.1291,1.0751,2.9269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,349.5996,0.0000,0.0000,2.1692,0.0000,0.0000,0.5125,0.4855
24,24.0000,225.3544,0.2523,0.1992,3.9439,6.1191,0.0981,0.9640,3.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,349.5996,0.0000,0.0000,2.1692,0.0000,0.0000,0.5125,0.4685
25,25.0000,225.2332,0.3053,0.2452,3.9660,6.1191,0.0681,0.8739,3.1892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,349.5996,0.0000,0.0000,2.1692,0.0000,0.0000,0.5125,0.4494
26,26.0000,228.5245,0.0490,0.0220,6.5195,2.8178,0.2092,0.7097,1.1481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,467.8979,0.0000,0.0000,2.3263,0.0000,0.0000,0.2442,0.2362
27,27.0000,228.5245,0.0390,0.0290,6.5225,2.8178,0.1401,0.6657,1.2613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,467.8979,0.0000,0.0000,2.3263,0.0000,0.0000,0.2442,0.2332
28,28.0000,228.5245,0.0250,0.0390,6.5265,2.8178,0.1001,0.6116,1.3554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,467.8979,0.0000,0.0000,2.3263,0.0000,0.0000,0.2442,0.2352
29,29.0000,228.5065,0.0330,0.0410,6.5345,2.8178,0.0731,0.5596,1.4344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,467.8979,0.0000,0.0000,2.3263,0.0000,0.0000,0.2442,0.2262
30,30.0000,228.4815,0.0460,0.0450,6.5425,2.8178,0.0531,0.5075,1.5065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,467.8979,0.0000,0.0000,2.3263,0.0000,0.0000,0.2442,0.2172
31,31.0000,228.4635,0.0521,0.0511,6.5485,2.8178,0.0420,0.4525,1.5726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,467.8979,0.0000,0.0000,2.3263,0.0000,0.0000,0.2442,0.2052
32,32.0000,228.4354,0.0641,0.0591,6.5566,2.8178,0.0260,0.3984,1.6426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,467.8979,0.0000,0.0000,2.3263,0.0000,0.0000,0.2442,0.2032
33,33.0000,230.1391,0.0100,0.0100,7.9389,1.1111,0.0531,0.2533,0.4845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,587.1572,0.0000,0.0000,2.3664,0.0000,0.0000,0.0951,0.0931
34,34.0000,230.1391,0.0080,0.0100,7.9409,1.1111,0.0350,0.2412,0.5145,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,587.1572,0.0000,0.0000,2.3664,0.0000,0.0000,0.0951,0.0901
35,35.0000,230.1391,0.0070,0.0110,7.9409,1.1111,0.0280,0.2152,0.5475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,587.1572,0.0000,0.0000,2.3664,0.0000,0.0000,0.0951,0.0881
