,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,75.5772,0.3781,0.2265,0.0000,81.7824,0.0000,0.2265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3073.8549,0.0000,0.0000,0.2265,0.0000,0.0000,0.2265,0.0000
2,2,69.0667,0.9389,0.4162,0.0391,81.7824,0.0000,0.2430,0.0731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3073.8549,0.0000,0.0000,0.2265,0.0000,0.0000,0.2265,0.1056
3,3,62.3552,1.7688,0.6840,0.0853,81.7824,0.0000,0.2466,0.1319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3073.8549,0.0000,0.0000,0.2265,0.0000,0.0000,0.2265,0.1825
4,4,55.0614,2.9734,1.1532,0.1564,81.7824,0.0000,0.2422,0.1650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3073.8549,0.0000,0.0000,0.2265,0.0000,0.0000,0.2265,0.2251
5,5,48.0238,4.3890,2.1773,0.2691,81.7824,0.0000,0.2317,0.1933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3073.8549,0.0000,0.0000,0.2265,0.0000,0.0000,0.2265,0.2746
6,6,48.0238,2.6228,3.3588,0.5080,81.7824,0.0000,0.2156,0.2152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3073.8549,0.0000,0.0000,0.2265,0.0000,0.0000,0.2265,0.3317
7,7,48.0238,1.6047,3.9016,0.8612,81.7824,0.0000,0.1998,0.2278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3073.8549,0.0000,0.0000,0.2265,0.0000,0.0000,0.2265,0.3739
8,8,46.0556,0.5670,0.2342,0.2641,44.4505,0.7508,3.5110,0.9699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10802.6825,0.0000,0.0000,0.6480,0.0000,0.0000,0.1390,0.3972
9,9,45.0192,0.7851,0.4223,0.3055,44.4505,0.4827,3.3690,1.4019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10802.6825,0.0000,0.0000,0.6480,0.0000,0.0000,0.1390,0.4092
10,10,44.0145,1.0668,0.5715,0.3836,44.4505,0.3063,3.1683,1.8138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10802.6825,0.0000,0.0000,0.6480,0.0000,0.0000,0.1390,0.4252
11,11,43.0964,1.6427,0.8500,0.5103,44.4505,0.2050,2.7569,2.4118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10802.6825,0.0000,0.0000,0.6480,0.0000,0.0000,0.1390,0.4479
12,12,43.4059,2.2048,1.3352,0.6426,44.4505,0.1234,2.3663,3.0332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10802.6825,0.0000,0.0000,0.6480,0.0000,0.0000,0.1390,0.4745
13,13,43.4059,1.1723,2.0703,0.8303,44.4505,0.0830,2.0946,3.4771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10802.6825,0.0000,0.0000,0.6480,0.0000,0.0000,0.1390,0.4710
14,14,43.4059,0.6339,2.4074,1.1386,44.4505,0.0447,1.7581,4.0332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10802.6825,0.0000,0.0000,0.6480,0.0000,0.0000,0.1390,0.4911
15,15,190.1411,0.1484,0.0812,0.3584,100.1185,0.2591,3.9531,6.9723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26011.5481,0.0000,0.0000,1.1467,0.0000,0.0000,0.4889,0.4853
16,16,191.8250,0.2341,0.1130,0.4107,100.1185,0.1500,3.5107,8.1361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26011.5481,0.0000,0.0000,1.1467,0.0000,0.0000,0.4889,0.4745
17,17,194.0070,0.3973,0.1615,0.4305,100.1185,0.0878,3.0258,9.1850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26011.5481,0.0000,0.0000,1.1467,0.0000,0.0000,0.4889,0.4565
18,18,196.5352,0.6502,0.2749,0.4519,100.1185,0.0525,2.4885,10.3803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26011.5481,0.0000,0.0000,1.1467,0.0000,0.0000,0.4889,0.4481
19,19,200.2831,0.8540,0.6257,0.4804,100.1185,0.0308,2.0414,11.3629,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26011.5481,0.0000,0.0000,1.1467,0.0000,0.0000,0.4889,0.4580
20,20,200.2831,0.4850,0.8619,0.6036,100.1185,0.0195,1.7413,12.2433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26011.5481,0.0000,0.0000,1.1467,0.0000,0.0000,0.4889,0.4620
21,21,200.2831,0.3094,0.8642,0.7672,100.1185,0.0108,1.4651,13.1193,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26011.5481,0.0000,0.0000,1.1467,0.0000,0.0000,0.4889,0.4464
22,22,131.0890,0.0944,0.0521,10.1397,53.6375,0.1078,1.8358,5.5551,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47326.9221,0.0000,0.0000,1.4719,0.0000,0.0000,0.2738,0.2654
23,23,132.2027,0.1040,0.1024,10.1493,53.6375,0.0703,1.5841,6.2603,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47326.9221,0.0000,0.0000,1.4719,0.0000,0.0000,0.2738,0.2613
24,24,135.2455,0.2700,0.1320,10.1742,53.6375,0.0344,1.4007,6.8028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47326.9221,0.0000,0.0000,1.4719,0.0000,0.0000,0.2738,0.2433
25,25,137.8360,0.3461,0.2438,10.1800,53.6375,0.0315,1.1417,7.2578,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47326.9221,0.0000,0.0000,1.4719,0.0000,0.0000,0.2738,0.2479
26,26,140.1825,0.4072,0.3787,10.2528,53.6375,0.0227,0.8909,7.9277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47326.9221,0.0000,0.0000,1.4719,0.0000,0.0000,0.2738,0.2539
27,27,140.1825,0.2291,0.4774,10.3363,53.6375,0.0148,0.6671,8.6991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47326.9221,0.0000,0.0000,1.4719,0.0000,0.0000,0.2738,0.2328
28,28,140.1825,0.0974,0.6499,10.4338,53.6375,0.0109,0.4927,9.3487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47326.9221,0.0000,0.0000,1.4719,0.0000,0.0000,0.2738,0.2139
29,29,83.2147,0.0784,0.0318,18.6780,21.6600,0.0334,1.0356,2.8496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74691.5373,0.0000,0.0000,1.7633,0.0000,0.0000,0.1221,0.1081
30,30,83.9617,0.1271,0.0506,18.6780,21.6600,0.0256,0.7660,3.2432,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74691.5373,0.0000,0.0000,1.7633,0.0000,0.0000,0.1221,0.1044
31,31,85.0898,0.1448,0.1510,18.7110,21.6600,0.0080,0.7307,3.5283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74691.5373,0.0000,0.0000,1.7633,0.0000,0.0000,0.1221,0.1201
32,32,87.2720,0.3035,0.2329,18.7416,21.6600,0.0050,0.5373,3.8764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74691.5373,0.0000,0.0000,1.7633,0.0000,0.0000,0.1221,0.1236
33,33,88.2179,0.4461,0.3448,18.7682,21.6600,0.0030,0.4472,4.0805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74691.5373,0.0000,0.0000,1.7633,0.0000,0.0000,0.1221,0.1265
34,34,88.2179,0.3409,0.3670,18.9002,21.6600,0.0030,0.3596,4.3807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74691.5373,0.0000,0.0000,1.7633,0.0000,0.0000,0.1221,0.1059
35,35,88.2179,0.1549,0.5329,18.9692,21.6600,0.0010,0.2846,4.6487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74691.5373,0.0000,0.0000,1.7633,0.0000,0.0000,0.1221,0.1072
