,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,238.2102,0.7898,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
2,2.0000,237.3704,1.4074,1.0771,0.1451,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9009
3,3.0000,222.2482,0.1632,0.0000,0.1712,15.1221,0.8308,1.3343,0.1301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.3343,0.0000,0.0000,0.8709,0.8709
4,4.0000,222.2132,0.1481,0.0501,0.1712,15.1221,0.5996,1.4184,0.2773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.3343,0.0000,0.0000,0.8709,0.8749
5,5.0000,222.1562,0.1632,0.0861,0.1772,15.1221,0.4214,1.4154,0.4585,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.3343,0.0000,0.0000,0.8709,0.8639
6,6.0000,222.1562,0.1201,0.1231,0.1832,15.1221,0.3043,1.3493,0.6416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.3343,0.0000,0.0000,0.8709,0.8458
7,7.0000,222.1562,0.0841,0.1471,0.1952,15.1221,0.2242,1.2643,0.8068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.3343,0.0000,0.0000,0.8709,0.8158
8,8.0000,222.0561,0.1622,0.1471,0.2172,15.1221,0.1572,1.1522,0.9860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.3343,0.0000,0.0000,0.8709,0.7798
9,9.0000,221.9560,0.2132,0.1792,0.2342,15.1221,0.1121,1.0541,1.1291,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,240.0000,0.0000,0.0000,1.3343,0.0000,0.0000,0.8709,0.7538
