,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,13.6557,0.7032,0.0390,0.0000,14.0698,0.0000,0.0390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0390,0.0000,0.0000,0.0390,0.0000
2,2.0000,25.7855,1.4350,0.3597,0.1131,27.2283,0.0346,0.1168,0.0077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0816,0.0000,0.0000,0.0786,0.1152
3,3.0000,38.0120,2.2961,0.8564,0.1883,40.5530,0.1145,0.3072,0.0305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1411,0.0000,0.0000,0.1230,0.1789
4,4.0000,50.0240,3.7872,1.6071,0.2569,53.4483,0.2732,0.7322,0.0801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2268,0.0000,0.0000,0.1718,0.2109
5,5.0000,61.2429,5.1807,2.4882,0.3942,65.2007,0.5815,1.5267,0.2164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3401,0.0000,0.0000,0.2242,0.2565
6,6.0000,61.2429,3.0741,4.2139,0.6218,65.2007,0.3791,1.5251,0.3741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3401,0.0000,0.0000,0.2242,0.3158
7,7.0000,61.2429,1.8148,5.1496,0.9260,65.2007,0.2424,1.5486,0.5323,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3401,0.0000,0.0000,0.2242,0.3824
8,8.0000,65.9158,3.8704,4.2058,1.2388,66.7027,0.3450,2.5860,0.9390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9744,0.0000,0.0000,0.4197,0.0000,0.0000,0.2412,0.3881
9,9.0000,74.9560,5.6556,4.4962,1.5241,69.2354,0.5974,3.6281,1.6159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9642,0.0000,0.0000,0.5276,0.0000,0.0000,0.2649,0.4566
10,10.0000,86.4311,6.3765,4.7348,1.7975,71.8079,0.9262,4.9847,2.3644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0742,0.0000,0.0000,0.6431,0.0000,0.0000,0.2889,0.5330
11,11.0000,101.0332,6.3259,5.3176,2.0714,74.5332,1.1928,6.1117,3.4290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.2950,0.0000,0.0000,0.7655,0.0000,0.0000,0.3145,0.5884
12,12.0000,116.9062,6.1477,5.1947,2.3020,78.0496,1.3819,7.4892,4.6911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6054,0.0000,0.0000,0.8882,0.0000,0.0000,0.3425,0.6918
13,13.0000,116.9062,3.5132,6.9080,3.0795,78.0496,0.8674,6.8713,6.0752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6054,0.0000,0.0000,0.8882,0.0000,0.0000,0.3425,0.7620
14,14.0000,116.9062,2.0771,7.5860,4.2005,78.0496,0.5188,6.1106,7.4771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6054,0.0000,0.0000,0.8882,0.0000,0.0000,0.3425,0.8115
15,15.0000,150.7537,3.7304,5.7160,4.3315,81.7238,0.4975,7.0441,9.9904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0295,0.0000,0.0000,1.0083,0.0000,0.0000,0.3980,0.8510
16,16.0000,188.1009,4.3965,5.0214,4.1754,86.6674,0.6358,7.9182,12.8257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6212,0.0000,0.0000,1.1368,0.0000,0.0000,0.4657,0.9440
